run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
0,2025-05-29 01:00:00,2025-06-08 00:50:00,2025-06-08 01:00:00,2025-06-09 00:50:00,1440,144,0.44185567328346464,0.5589775698220109,0.9799386096005342,34.54612715558391,70.49501297295983,0.9193272084408112,0.0049811947166706755,0.008684001513004962,0.9486803065613689,4.625435309191764,5.9322250801384175,0.6597543277655247
1,2025-05-29 01:00:00,2025-06-09 00:50:00,2025-06-09 01:00:00,2025-06-10 00:50:00,1584,144,0.2731576004140638,0.3542847643370688,0.9916937987013538,23.46746099288649,35.2544974568933,0.9775216961021713,0.0031285499723423837,0.005381948249344538,0.9793654057248984,1.8903619237453146,2.4548832775832623,0.9356368249527665
2,2025-05-29 01:00:00,2025-06-10 00:50:00,2025-06-10 01:00:00,2025-06-11 00:50:00,1728,144,0.3980690624139966,0.49905342349239046,0.9851894033913848,21.706860758068462,35.233005808016,0.9785493433795126,0.003896505831387593,0.006700923656264721,0.9701961802235488,3.205491724843556,4.275863734619438,0.8642099543573084
3,2025-05-29 01:00:00,2025-06-11 00:50:00,2025-06-11 01:00:00,2025-06-12 00:50:00,1872,144,0.3331229732870721,0.41280409861342326,0.9909306987470777,27.737878120055548,55.71429700481505,0.9499071854634642,0.0059601369852362585,0.008743078231313315,0.9495468625996527,3.2695412014748615,3.736237616081632,0.85971338508254
4,2025-05-29 01:00:00,2025-06-12 00:50:00,2025-06-12 01:00:00,2025-06-13 00:50:00,2016,144,0.3283568523241332,0.48883645539752457,0.9869271811361899,35.16872128096556,58.47942249319033,0.9412939858158832,0.0032070483412938097,0.005334477508783352,0.9820562657737157,2.6865779310882334,3.4279470075939735,0.891880008547239
5,2025-05-29 01:00:00,2025-06-13 00:50:00,2025-06-13 01:00:00,2025-06-14 00:50:00,2160,144,0.3104629945809621,0.4221999302437309,0.9904302224422963,17.072378641923024,29.004603609664926,0.9866218634817278,0.002934928444133589,0.004841178128314292,0.9842132509216017,1.9076251208568453,3.0127981250995006,0.894400365119611
6,2025-05-29 01:00:00,2025-06-14 00:50:00,2025-06-14 01:00:00,2025-06-15 00:50:00,2304,144,0.3424946176519578,0.41979125047485927,0.9893577629662944,17.275793063974778,32.627610203695454,0.9834172895245927,0.0036308907552815312,0.005989512118154354,0.9760477588091143,1.624543063956882,2.016922302510451,0.9603370048098105
7,2025-05-29 01:00:00,2025-06-15 00:50:00,2025-06-15 01:00:00,2025-06-16 00:50:00,2448,144,0.2950326787057864,0.3825819813080582,0.9916734122310752,15.692047905771233,28.049117537105246,0.9862552285065104,0.0030061307010451465,0.004220042483316949,0.9884785780901415,2.0095872848000247,2.5518839087820253,0.9275117813664998
8,2025-05-29 01:00:00,2025-06-16 00:50:00,2025-06-16 01:00:00,2025-06-17 01:00:00,2592,144,0.2793399238636356,0.34859048544793425,0.992599778447155,18.94040321795632,33.256440354292984,0.9788485619119323,0.0022374899772829118,0.003792006237141213,0.9911355518025643,2.5491754295133617,2.9910409242358744,0.9288501765149875
9,2025-05-29 01:00:00,2025-06-17 01:00:00,2025-06-17 01:10:00,2025-06-18 01:00:00,2736,144,0.33788526453039286,0.44404114652653653,0.9877309545834027,15.527839432672092,25.834537629028713,0.987452980885664,0.0030653379067059564,0.004292571043254847,0.9876898935980843,2.952289715222869,4.0766667119480715,0.8738085881943267
