run,train_start,train_end,test_start,test_end,train_rows,test_rows,train_rows_internal_air_temp_c,test_rows_internal_air_temp_c,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,train_rows_ET0,test_rows_ET0,mae_ET0,rmse_ET0,r2_ET0,train_rows_internal_rh_pct,test_rows_internal_rh_pct,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct,train_rows_internal_radiation,test_rows_internal_radiation,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,train_rows_soil_temp_C,test_rows_soil_temp_C,mae_soil_temp_C,rmse_soil_temp_C,r2_soil_temp_C
0,2025-05-29 01:00:00,2025-06-08 00:50:00,2025-06-08 01:00:00,2025-06-11 00:50:00,1440,432,1440,432,0.5944014106478038,0.7122292114442871,0.9679823214217693,1440,432,0.00543732590301695,0.0097409238052768,0.9350466674537169,1440,432,5.2465649332864315,6.214268972274383,0.6631193139418585,1440,432,32.616692294658606,67.47636672799172,0.9219200750885479,0,0,,,
1,2025-05-29 01:00:00,2025-06-11 00:50:00,2025-06-11 01:00:00,2025-06-14 00:50:00,1872,432,1872,432,0.34313250246232774,0.47573800087175633,0.9878178666967322,1872,432,0.005595066884152982,0.008104381878438184,0.9570436892988465,1872,432,2.8066759633081984,3.6678353626576916,0.863429567432007,1872,432,34.0459663980107,62.53107620184206,0.9359584152289313,0,0,,,
2,2025-05-29 01:00:00,2025-06-14 00:50:00,2025-06-14 01:00:00,2025-06-17 00:50:00,2304,432,2304,431,0.32125721131060025,0.40189222578161926,0.9904026917965734,2304,431,0.003419020989396888,0.005334760736361981,0.9817349320700453,2304,431,2.0144817303682974,2.561450442857015,0.9386157085140726,2304,431,18.696725220840364,33.53282821092752,0.9806046639807361,0,0,,,
3,2025-05-29 01:00:00,2025-06-17 00:50:00,2025-06-17 01:00:00,2025-06-20 00:50:00,2736,432,2735,432,0.37291429407946164,0.4883496706954807,0.9870798825998464,2735,432,0.002751430408496014,0.004096259751282095,0.9895352795914228,2735,432,2.4816727523861073,3.5084651521296024,0.8759557155477026,2735,432,16.78833003223949,27.988650199401686,0.9875371579186321,0,0,,,
4,2025-05-29 01:00:00,2025-06-20 00:50:00,2025-06-20 01:00:00,2025-06-23 00:50:00,3168,432,3167,432,0.3480248687505363,0.43664677315780964,0.9887865174461822,3167,432,0.0021289893380182817,0.0033426671859318655,0.9929522605690958,3167,432,1.917009537678372,3.007544310020799,0.8996436064626593,3167,432,14.367220239928631,24.332621257388155,0.9899637740925511,0,0,,,
5,2025-05-29 01:00:00,2025-06-23 00:50:00,2025-06-23 01:00:00,2025-06-26 00:50:00,3600,432,3599,432,0.3658615693984271,0.5136462067903296,0.9796819379606132,3599,432,0.002853808678977804,0.004513062746540089,0.9868928468834414,3599,432,1.6524116147618555,2.1466820695394033,0.9612083927888293,3599,432,20.252548085939253,35.00001847745003,0.9777715866348328,0,0,,,
6,2025-05-29 01:00:00,2025-06-26 00:50:00,2025-06-26 01:00:00,2025-06-29 00:50:00,4032,432,4031,432,0.48393046969557796,0.6771374169836032,0.9790258186911085,4031,432,0.0052793712685946575,0.007659400539955277,0.9696594615027041,4031,432,3.089670286457464,4.357349003353213,0.8641225174908084,4031,432,32.178520787945324,68.10776689195359,0.9431565293422671,0,0,,,
7,2025-05-29 01:00:00,2025-06-29 00:50:00,2025-06-29 01:00:00,2025-07-02 00:50:00,4464,432,4463,431,0.4689305765548706,0.6870566101761746,0.9755903035976483,4463,431,0.0034265336611222887,0.005463354654067917,0.9846489317807061,4463,431,3.130081446127676,4.033895818237579,0.8984253050199219,4463,431,21.72726256935248,39.39756883572804,0.9779147102213468,0,0,,,
8,2025-05-29 01:00:00,2025-07-02 00:50:00,2025-07-02 01:00:00,2025-07-05 00:50:00,4896,432,4894,432,0.3979620710288187,0.5346101665472537,0.9839635676867639,4894,432,0.002237097258992717,0.00344418716046967,0.9937304985820807,4894,432,1.8679868592428932,2.3443343274583444,0.9427991710254131,4894,432,14.892558970489935,25.381566349355133,0.9917252464224682,0,0,,,
9,2025-05-29 01:00:00,2025-07-05 00:50:00,2025-07-05 01:00:00,2025-07-08 00:50:00,5328,432,5326,432,0.291872954691574,0.3889374665214713,0.9905260591709982,5326,432,0.002778170842226712,0.00445305684024726,0.9873169208506551,5326,432,1.456387336794281,1.882180686759956,0.9650996864568786,5326,432,23.449739823174966,42.151303440848544,0.9683442414600277,0,0,,,
10,2025-05-29 01:00:00,2025-07-08 00:50:00,2025-07-08 01:00:00,2025-07-11 00:50:00,5760,432,5758,432,0.20935335903733485,0.2924822223155711,0.9947585135262739,5758,432,0.002144070799736835,0.003297370074162904,0.9933566674632718,5758,432,1.3081911108071376,1.7554687529389765,0.9718278612951889,5758,432,14.249807588700822,25.582027329922877,0.9890104337909943,0,0,,,
11,2025-05-29 01:00:00,2025-07-11 00:50:00,2025-07-11 01:00:00,2025-07-14 00:50:00,6192,432,6190,432,0.2776798250032804,0.37049189830809653,0.9908730443020306,6190,432,0.002349921775603835,0.0034880390258292602,0.9933683391107732,6190,432,1.6707027168175101,2.2717999589672004,0.9569864159310725,6190,432,14.344602959141888,24.684745485691653,0.99273126947976,0,0,,,
12,2025-05-29 01:00:00,2025-07-14 00:50:00,2025-07-14 01:00:00,2025-07-17 00:50:00,6624,432,6622,431,0.2488133074942444,0.32121881625777765,0.9939540234650726,6622,431,0.0018075498937474503,0.002908282738186615,0.9954280343690745,6622,431,1.2048339880127132,1.6546915115594125,0.9724233740914983,6622,431,14.973443934859505,30.33081287491886,0.9866714070899174,0,0,,,
13,2025-05-29 01:00:00,2025-07-17 00:50:00,2025-07-17 01:00:00,2025-07-20 00:50:00,7056,432,7053,432,0.4302890549227257,0.6552734733256927,0.9772788221096623,7053,432,0.0027139830210493074,0.004561077329891983,0.9897253701860531,7053,432,1.7043367754122816,2.384499607393154,0.9498674839160643,7053,432,16.98032851829477,28.50287502418226,0.9909341432116886,0,0,,,
14,2025-05-29 01:00:00,2025-07-20 00:50:00,2025-07-20 01:00:00,2025-07-23 00:50:00,7488,432,7485,432,0.22165345773714082,0.303330039200883,0.9928368024060608,7485,432,0.002169147819885432,0.0036115489567316982,0.9928480349061349,7485,432,1.2054075076852908,1.5886049888084386,0.9762207268289179,7485,432,14.240420168768924,25.841046712618713,0.9920160849743255,0,0,,,
15,2025-05-29 01:00:00,2025-07-23 00:50:00,2025-07-23 01:00:00,2025-07-26 00:50:00,7920,432,7917,432,0.29643340581557387,0.4162665074642136,0.9893877346736811,7917,432,0.0026978113147262174,0.004600715353780472,0.988019483461895,7917,432,2.040159233439772,2.594794576793086,0.9128944262526153,7917,432,18.992743977414097,34.63544850161379,0.983834027214306,0,0,,,
16,2025-05-29 01:00:00,2025-07-26 00:50:00,2025-07-26 01:00:00,2025-07-29 00:50:00,8352,432,8349,432,0.3247487527513686,0.4520713180396575,0.9861676891518446,8349,432,0.002832779592073806,0.004570808647322574,0.9892061964245381,8349,432,1.2228631269775525,1.6554020998231709,0.9783897711599863,8349,432,14.799204314216286,27.46280076083168,0.989841746652893,0,0,,,
17,2025-05-29 01:00:00,2025-07-29 00:50:00,2025-07-29 01:00:00,2025-08-01 00:50:00,8784,432,8781,431,0.2365331952327004,0.35142624636036257,0.9856974206283855,8781,431,0.0029369851760859635,0.0047005534949323595,0.9873151230538451,8781,431,1.5950091977777567,1.9538466704316109,0.9640864041200269,8781,431,25.71321477067435,52.212997285761844,0.9652156152665101,0,0,,,
18,2025-05-29 01:00:00,2025-08-01 00:50:00,2025-08-01 01:00:00,2025-08-04 00:50:00,9216,432,9212,425,0.21328342676721276,0.29342111439707474,0.9920089303085762,9212,425,0.0019947219717193635,0.003360325614212964,0.9938821250136146,9212,425,1.237470571820002,1.5942380853330904,0.9688195241646507,9212,425,15.241625193650098,30.66604514515611,0.9887974777806361,0,0,,,
19,2025-05-29 01:00:00,2025-08-04 00:50:00,2025-08-04 01:00:00,2025-08-07 00:50:00,9648,432,9637,432,0.21814287872541285,0.2964736799458534,0.9930205224622083,9637,432,0.0021131307774454084,0.0036753959925801796,0.9925480416100065,9637,432,1.2714265519340904,1.6499398200787754,0.9598351295771921,9637,432,11.847088865965933,23.20809727896695,0.9934264734866681,0,0,,,
