,ph_xgb_gain_importance,ec_xgb_gain_importance
ph0,0.19564206689823205,0.01268951372186881
photo_temp_interaction,0.12399782688672985,0.0755033519448315
soil_temp_mean,0.09712253812765226,0.05925562948411925
ET0_per_hour,0.09507703829647024,0.01136205815956955
transpiration_pull,0.04643532862504947,0.04523377639586447
temp_x_canopy,0.04532802890012344,0.027623403071298496
hist_salt_buildup,0.03818400413876115,0.03319155350941679
ec_log_anchor,0.02854749566798872,0.068474904889785
gap_hours,0.03448334819716797,0.011422173004377067
temp_trend,0.030599547825999506,0.023827922244785072
ec0,0.017947148812351866,0.06455962671442653
ec0_x_p48_salt,0.0054243828625058195,0.10857393719380393
log_ec_drive,0.008085219606586305,0.09337597277397336
soil_delta,0.02308584915772119,0.013741716735187533
hour_sin_b,0.023357997067321005,0.010661041606440286
prev_ec_slope,0.007630771812328384,0.08715560367821966
hist_dark_recent_6h,0.022568295409095083,0.0028211569017169
irr_to_et0,0.016459063014491012,0.029804438379714655
hist48_irr_prevday,0.013863554792619364,0.02873831639118478
rad_morning,0.017901709968659356,0.007139521035815864
hist_hrs_since_fert,0.015368268442387267,0.009651453143369081
rad_t1_log,0.011288475388956916,0.025021793100333842
hist_irr_prior,0.01032218284629479,0.026189469514338624
salt_event_pos,0.010532523543307764,0.008177990490058793
ET0_sum_t0_t1,0.010854005821485924,0.006040278009439565
salt_conc_t0_t1,0.0073781344856532335,0.019723739990888636
hrs_since_fert,0.008652399534039243,0.011175812140594594
hist_irr_recent,0.0075988772049117035,0.012541055079005674
stage_x_salt_conc,0.005046405706848214,0.019055511451064547
fert_salt_total_t0_t1,0.006473194301951894,0.00255214243701598
hour_cos_b,0.0035178296811953463,0.012960003779850321
salt_recency_pressure,0.002309877457858973,0.015606033114706798
irr_total_t0_t1,0.002941392413393547,0.01216466020883029
irr_after_last_salt,0.00414873882080932,0.0023769595007206577
t1_early_day,0.001809420429664724,0.0003919520544341829
t1_morning_short,1.705785338709902e-05,0.0012155281489489129
