,ph_xgb_gain_importance,ec_xgb_gain_importance
ET0_per_hour,0.21100783604532944,0.012067317694303884
ph0,0.17399158877120777,0.007634510232699374
soil_temp_mean,0.1135247152130043,0.030073078522023226
climate_demand_soil,0.07352615870138175,0.01233480128446748
climate_demand_pull,0.057687139024870146,0.014244817997829855
ec0,0.025084184168556397,0.1389665105042897
ec0_x_p48_salt,0.01602808885265299,0.17349886032877548
soil_delta,0.04050536410555763,0.006540714155862149
hist_salt_buildup,0.029870187652821175,0.04470194407849708
temp_x_canopy,0.01999232237560271,0.03575987361881156
log_ec_drive,0.004719819608870028,0.10548100216373603
rad_t1_log,0.022591483280134113,0.021966910201824563
stage_x_salt_conc,0.013712894456054371,0.05331549894458405
hour_sin_b,0.022013362673466586,0.007268223183872754
pre_anchor_salt_buildup,0.01954411764542458,0.011109963589761322
ec_log_anchor,0.009822213289231704,0.05026960759665039
pre_salt_irr_ratio_24h,0.014697924379347783,0.015741703298243655
hist_hrs_since_fert,0.013405310706017706,0.020068516496755336
hist_dark_recent_6h,0.01383021580045034,0.010570336316735077
hist48_irr_prevday,0.008369156780724888,0.031392584115544485
irr_to_et0,0.00891540572580192,0.026389259305139214
hrs_since_fert,0.00847806565589601,0.018719508461638244
hist_irr_prior,0.009309287068572402,0.012059404521461729
hour_cos_b,0.004493227398324562,0.029644701812767592
salt_event_pos,0.009075035304053495,0.007779389799012436
salt_recency_pressure,0.0077391047658412985,0.01396827783628695
rad_morning,0.008092729938889334,0.006111009250108152
fert_salt_total_t0_t1,0.007197581885344701,0.006470216325013298
temp_trend,0.007677651295504165,0.00412552375803366
salt_conc_t0_t1,0.005116253602762372,0.010137827929507999
pre_salt_irr_ratio_6h,0.002813594630164934,0.017387391928562007
ET0_sum_t0_t1,0.004078712808007194,0.0034153232798536134
hist_irr_recent,0.001726337441224447,0.01373407715585342
ec_salt_carryover_pressure,0.0029827982485323232,0.0038530863938638325
gap_hours,0.0025000162390095494,0.004765158244261636
salt_carryover_pressure,0.002082112369950628,0.005931192377539263
irr_after_last_salt,0.0021880003118488578,0.0045094478889805625
irr_total_t0_t1,0.0013964549251761914,0.004506587472694627
t1_early_day,0.00021032125466349425,0.0034693004504866326
t1_morning_short,3.225599725641372e-06,1.654148366763651e-05
high_ec_salt_carryover,0.0,0.0
