run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
0,2025-05-29 01:00:00,2025-06-08 00:50:00,2025-06-08 01:00:00,2025-06-09 00:50:00,1440,144,4.940462903481378,6.229020502009931,0.6248569636537771
1,2025-05-29 01:00:00,2025-06-09 00:50:00,2025-06-09 01:00:00,2025-06-10 00:50:00,1584,144,2.225365128187391,2.8883842822857106,0.9108983573208334
2,2025-05-29 01:00:00,2025-06-10 00:50:00,2025-06-10 01:00:00,2025-06-11 00:50:00,1728,144,3.504473374586317,4.45115750749188,0.8528480077785812
3,2025-05-29 01:00:00,2025-06-11 00:50:00,2025-06-11 01:00:00,2025-06-12 00:50:00,1872,144,2.740351871222602,3.3366723914274257,0.8881143486296673
4,2025-05-29 01:00:00,2025-06-12 00:50:00,2025-06-12 01:00:00,2025-06-13 00:50:00,2016,144,2.537786581117418,3.0433915263972358,0.9147776594065109
5,2025-05-29 01:00:00,2025-06-13 00:50:00,2025-06-13 01:00:00,2025-06-14 00:50:00,2160,144,2.0936503294016524,3.005907401055049,0.8948828573286498
6,2025-05-29 01:00:00,2025-06-14 00:50:00,2025-06-14 01:00:00,2025-06-15 00:50:00,2304,144,1.6523499508497452,2.0489376382740474,0.9590678410993061
7,2025-05-29 01:00:00,2025-06-15 00:50:00,2025-06-15 01:00:00,2025-06-16 00:50:00,2448,144,1.772805488979763,2.228449612965039,0.944722137913399
8,2025-05-29 01:00:00,2025-06-16 00:50:00,2025-06-16 01:00:00,2025-06-17 01:00:00,2592,144,2.2833946163974335,2.818088033702592,0.9368405661781114
9,2025-05-29 01:00:00,2025-06-17 01:00:00,2025-06-17 01:10:00,2025-06-18 01:00:00,2736,144,3.2754355390201138,4.419032381813992,0.8517230128791801
10,2025-05-29 01:00:00,2025-06-18 01:00:00,2025-06-18 01:10:00,2025-06-19 01:00:00,2880,144,1.578812453801473,2.0898858630176016,0.9558799310394261
11,2025-05-29 01:00:00,2025-06-19 01:00:00,2025-06-19 01:10:00,2025-06-20 01:00:00,3024,144,2.2675672743242057,3.2072727941838153,0.8424339389305903
12,2025-05-29 01:00:00,2025-06-20 01:00:00,2025-06-20 01:10:00,2025-06-21 01:00:00,3168,144,2.0161861913231744,3.3858814516568456,0.8770019173824994
13,2025-05-29 01:00:00,2025-06-21 01:00:00,2025-06-21 01:10:00,2025-06-22 01:00:00,3312,144,2.2342324495730925,3.768359485537251,0.8463100754452748
14,2025-05-29 01:00:00,2025-06-22 01:00:00,2025-06-22 01:10:00,2025-06-23 01:00:00,3456,144,1.8606325802578398,2.6053246506180563,0.9196851819552755
15,2025-05-29 01:00:00,2025-06-23 01:00:00,2025-06-23 01:10:00,2025-06-24 01:00:00,3600,144,2.387782010672675,2.81704119266965,0.9413420400248943
16,2025-05-29 01:00:00,2025-06-24 01:00:00,2025-06-24 01:10:00,2025-06-25 01:00:00,3744,144,1.4284044349975589,1.8260455444641912,0.9706645941451844
17,2025-05-29 01:00:00,2025-06-25 01:00:00,2025-06-25 01:10:00,2025-06-26 01:00:00,3888,144,1.2948012763146297,1.6395064146288536,0.97504941421256
18,2025-05-29 01:00:00,2025-06-26 01:00:00,2025-06-26 01:10:00,2025-06-27 01:00:00,4032,144,1.9997031749267578,2.6929244860730988,0.9208810470414157
19,2025-05-29 01:00:00,2025-06-27 01:00:00,2025-06-27 01:10:00,2025-06-28 01:00:00,4176,144,2.532439175755819,3.3594881239244314,0.8982250678384793
20,2025-05-29 01:00:00,2025-06-28 01:00:00,2025-06-28 01:10:00,2025-06-29 01:00:00,4320,144,3.2944943213399247,5.157235966731062,0.8740781393563778
21,2025-05-29 01:00:00,2025-06-29 01:00:00,2025-06-29 01:10:00,2025-06-30 01:00:00,4464,144,2.428099842395359,3.4462564206453394,0.9203042016343084
22,2025-05-29 01:00:00,2025-06-30 01:00:00,2025-06-30 01:10:00,2025-07-01 01:10:00,4608,144,1.8232024271223277,2.5168268877488953,0.9500623257655335
23,2025-05-29 01:00:00,2025-07-01 01:10:00,2025-07-01 01:20:00,2025-07-02 01:10:00,4752,144,3.6283823875037293,4.45049914018583,0.880035091192276
24,2025-05-29 01:00:00,2025-07-02 01:10:00,2025-07-02 01:20:00,2025-07-03 01:10:00,4896,144,1.5998814915228945,2.138862729226262,0.9486815813695876
25,2025-05-29 01:00:00,2025-07-03 01:10:00,2025-07-03 01:20:00,2025-07-04 01:10:00,5040,144,1.4557389445139568,2.116458991193182,0.9538355583891323
26,2025-05-29 01:00:00,2025-07-04 01:10:00,2025-07-04 01:20:00,2025-07-05 01:10:00,5184,144,1.089992618142022,1.4764975083637093,0.977781172735574
27,2025-05-29 01:00:00,2025-07-05 01:10:00,2025-07-05 01:20:00,2025-07-06 01:10:00,5328,144,1.3828668937530517,1.9683712454744307,0.957523057988201
28,2025-05-29 01:00:00,2025-07-06 01:10:00,2025-07-06 01:20:00,2025-07-07 01:10:00,5472,144,1.27942484451633,1.6654851524176388,0.973360786335781
29,2025-05-29 01:00:00,2025-07-07 01:10:00,2025-07-07 01:20:00,2025-07-08 01:10:00,5616,144,1.5500417111918128,1.916775564691691,0.9650610675210561
30,2025-05-29 01:00:00,2025-07-08 01:10:00,2025-07-08 01:20:00,2025-07-09 01:10:00,5760,144,1.0104371908620189,1.328401109321133,0.9780788861108802
