,importance
stage_x_salt_conc,0.13174495
ec0_x_p48_salt,0.11031035
last_event_salt_conc,0.07709213
soil_temp_mean,0.07095022
ec0,0.07035043
irr_to_et0,0.06393099
prev_ec_slope,0.057786454
log_ec_drive,0.055994384
ec_log_anchor,0.05446391
hrs_since_fert,0.030893836
timing_balance,0.02659622
temp_trend,0.026347667
salt_recency_pressure,0.025817553
rad_t1_log,0.023470143
irr_total_t0_t1,0.022460384
salt_conc_t0_t1,0.02241528
hist_hrs_since_fert,0.020374482
hrs_since_irr,0.02007088
hour_cos_b,0.01614941
hist_major_last_event_salt_conc_t1,0.015912693
recent_salt_conc_2h,0.013655322
hrs_since_last_salt_event,0.0127880005
hour_sin_b,0.012181944
salt_event_pos,0.009575705
irr_after_last_salt,0.008666603
