experiment,feature_set,n_features,prior_n,prior_weight,mae,rmse,naive_mae,r2,sep21_0720_pred,sep21_0720_true,runtime_s,gain_mae,sep21_0720_abs_err
current25|no_prior,current25,25,0,1.0,0.18674144925586775,0.4727576118417183,0.24989794871794865,0.8384750808851812,0.6754707576336924,4.23,14.197657585144043,0.0631564994620809,3.554529242366308
cur_drop5_add_shock5|no_prior,cur_drop5_add_shock5,25,0,1.0,0.1906110001957685,0.4690001310824252,0.24989794871794865,0.8410324795667836,0.7166460229448726,4.23,14.29291319847107,0.059286948522180166,3.513353977055128
cur_drop4_add_shock4|no_prior,cur_drop4_add_shock4,25,0,1.0,0.19400911720481134,0.4683142593031739,0.24989794871794865,0.8414970918534468,0.7356278969807277,4.23,14.293943405151367,0.05588883151313731,3.4943721030192725
cur_drop6_add_shock6|no_prior,cur_drop6_add_shock6,25,0,1.0,0.19631979914092978,0.47285971305083524,0.24989794871794865,0.8384053044500555,0.728852466061893,4.23,14.256252765655518,0.05357814957701887,3.5011475339381075
cur_drop4_add_shock4|prior72w2,cur_drop4_add_shock4,25,72,2.0,0.203131136629177,0.4052112265949355,0.24989794871794865,0.8813342439923868,3.1428203109563597,4.23,15.637811422348022,0.04676681208877165,1.0871796890436407
cur_drop4_add_shock4|prior72w1,cur_drop4_add_shock4,25,72,1.0,0.2039853382924857,0.40156010031418615,0.24989794871794865,0.8834630681054865,3.1730538884237394,4.23,15.755995273590088,0.04591261042546296,1.056946111576261
cur_drop6_add_shock6|prior72w2,cur_drop6_add_shock6,25,72,2.0,0.21481956197538515,0.43483509589843183,0.24989794871794865,0.8633493662500406,3.136043831899907,4.23,15.694738626480103,0.0350783867425635,1.0939561681000933
cur_drop6_add_shock6|prior72w1,cur_drop6_add_shock6,25,72,1.0,0.21573971927957686,0.44087955402312223,0.24989794871794865,0.8595239168635546,3.049443921422042,4.23,15.57054352760315,0.034158229438371795,1.1805560785779585
cur_drop5_add_shock5|prior72w2,cur_drop5_add_shock5,25,72,2.0,0.2234635094666541,0.4548636282896277,0.24989794871794865,0.8504711839982411,3.00924594851442,4.23,15.650237083435059,0.026434439251294545,1.2207540514855806
cur_drop5_add_shock5|prior72w1,cur_drop5_add_shock5,25,72,1.0,0.22517520723436826,0.4582579145140807,0.24989794871794865,0.8482312278173064,2.864379227672918,4.23,15.647657632827759,0.02472274148358039,1.3656207723270826
current25|prior72w1,current25,25,72,1.0,0.2826192456745164,0.5737240645228477,0.24989794871794865,0.7621141527319204,1.0580972049787276,4.23,15.429480075836182,-0.03272129695656775,3.171902795021273
current25|prior72w2,current25,25,72,2.0,0.2860498017185969,0.5781186849172129,0.24989794871794865,0.758455871982576,1.1068093968185075,4.23,15.58529019355774,-0.03615185300064824,3.123190603181493
