,importance
stage_x_salt_conc,0.13980617
ec0_x_p48_salt,0.11002761
phys_dry_salt_pressure,0.08193951
ec0,0.06798674
phys_salt_add_per_water,0.06218749
phys_water_min_frac,0.061319984
ec_log_anchor,0.059286162
prev_ec_slope,0.044295497
soil_temp_mean,0.03353784
irr_total_t0_t1,0.030015716
phys_water_t0_frac,0.029938111
phys_water_t1_frac,0.028701017
phys_theory_ec_t1,0.024878861
hist_major_last_event_salt_conc_t1,0.019578766
log_ec_drive,0.019483527
irr_to_et0,0.019106857
hrs_since_fert,0.017667562
salt_event_pos,0.01498771
phys_theory_ec_delta,0.013748021
temp_trend,0.012825469
hour_sin_b,0.011183338
hrs_since_irr,0.011104341
phys_leach_salt_ecml,0.010999993
salt_recency_pressure,0.009873439
salt_conc_t0_t1,0.008486023
irr_after_last_salt,0.008221726
hour_cos_b,0.007843619
timing_balance,0.0075079678
rad_t1_log,0.0072272616
hist_hrs_since_fert,0.006565553
last_event_salt_conc,0.005028604
phys_salt_added_ecml,0.004352351
hrs_since_last_salt_event,0.0041108932
recent_salt_conc_2h,0.0034618026
phys_leach_ml,0.002714464
