experiment,feature_mode,capacity_ml,et_scale,salt_to_ecml,lookback_h,init_frac,n_features,n_eval,mae,mae_nonzero,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_true,sep21_0720_pred,sep21_0720_err,retrains
add10_keep_p48|huber2_cfg19|cap2500|et250|alpha4|lb48|init0.65,add10_keep_p48,2500,250,4.0,48,0.65,35,78,0.19130650580397354,0.1937591533142809,0.4531138202442786,0.24673468354430375,0.8529951659048761,0.26034250069642034,0.36981619827733236,11,0.18235841346151732,21,4.23,0.8597905742650956,3.3702094257349047,79
add10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb48|init0.65,add10_keep_p48,4000,250,4.0,48,0.65,35,78,0.19560189132969902,0.19810960788520804,0.45250435122013305,0.24673468354430375,0.8533903630194044,0.3062383659672507,0.4230912868149227,11,0.20768376803438718,21,4.23,0.9058727313868888,3.3241272686131116,79
add10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb48|init0.65,add10_keep_p48,4000,250,8.0,48,0.65,35,78,0.19655176858338574,0.19907166305240354,0.46039339644134986,0.24673468354430375,0.8482337614064743,0.3543550424255778,0.47991516483619395,11,0.23323516087261226,21,4.23,0.840368354594157,3.3896316454058435,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb48|init0.65,replace10_keep_p48,4000,250,8.0,48,0.65,25,78,0.19819572456543072,0.20073669539319264,0.45223807955714906,0.24673468354430375,0.8535628542053345,0.39075142121122913,0.5008475388722704,11,0.25263461508130397,21,4.23,0.9066797731900412,3.323320226809959,79
replace10_keep_p48|huber2_cfg19|cap2500|et250|alpha8|lb48|init0.65,replace10_keep_p48,2500,250,8.0,48,0.65,25,78,0.19826774774404982,0.20080964194589665,0.4499878866642434,0.24673468354430375,0.8550164781549644,0.3284037107432793,0.41061676491339494,11,0.21971789627719687,21,4.23,0.8830118495697944,3.346988150430206,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb48|init0.45,replace10_keep_p48,4000,250,8.0,48,0.45,25,78,0.19916354085114474,0.20171691958000557,0.44443104596191824,0.24673468354430375,0.8585751335078746,0.3474681441257952,0.4236400576637394,11,0.22867802709264037,21,4.23,0.9184248289279346,3.311575171072066,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb48|init0.8,replace10_keep_p48,4000,250,4.0,48,0.8,25,78,0.20165162148110394,0.20423689867957964,0.4563638809744633,0.24673468354430375,0.8508787523680854,0.3689766112407123,0.4713396231069238,11,0.24136632751615902,21,4.23,0.8889539082288596,3.341046091771141,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb48|init0.65,replace10_keep_p48,4000,250,4.0,48,0.65,25,78,0.20264306764554052,0.2052410556922782,0.4530491783543727,0.24673468354430375,0.8530371067684921,0.37186336822919674,0.4734293376426424,11,0.2425975160094373,21,4.23,0.888725147034513,3.3412748529654874,79
top25_from_add10_limited48|huber2_cfg19|cap4000|et250|alpha4|lb48|init0.65,top25_limited48,4000,250,4.0,48,0.65,25,78,0.20348453641210004,0.20609331251994747,0.46463319977526996,0.24673468354430375,0.8454256332070618,0.3352169208267633,0.4175708456781838,11,0.22346646854593588,21,4.23,0.7919782190982045,3.4380217809017957,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb48|init0.45,replace10_keep_p48,4000,250,4.0,48,0.45,25,78,0.20362548733029764,0.20623607050119888,0.45341896946325405,0.24673468354430375,0.8527970986059368,0.35077924024254714,0.4447289290374352,11,0.23140570313282927,21,4.23,0.8946895711182447,3.3353104288817557,79
replace10_keep_p48|huber2_cfg19|cap2500|et250|alpha4|lb48|init0.65,replace10_keep_p48,2500,250,4.0,48,0.65,25,78,0.20425100086713305,0.20686960344235272,0.45680499439045497,0.24673468354430375,0.8505903370210823,0.33157870795856614,0.42315405574134396,11,0.22259914550730028,21,4.23,0.8686827950467996,3.3613172049532007,79
top25_from_add10_limited48|huber2_cfg19|cap4000|et250|alpha8|lb48|init0.65,top25_limited48,4000,250,8.0,48,0.65,25,78,0.2052719111071999,0.2079036022752409,0.46136054216961925,0.24673468354430375,0.8475954627666342,0.36848355112110637,0.45880405418912157,11,0.23905246816305303,21,4.23,0.8035922729222656,3.4264077270777347,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb48|init0.8,replace10_keep_p48,4000,250,8.0,48,0.8,25,78,0.21325190127892016,0.2159859000132653,0.46836048461062096,0.24673468354430375,0.8429356966281258,0.4563802353111598,0.582229364889331,11,0.2869625805561561,21,4.23,0.9342571572129461,3.295742842787054,79
