experiment,interval,t0,t1,ec0,ec_true,p24_salt,phys_water_t0_frac,phys_water_t1_frac,phys_water_min_frac,phys_leach_ml,phys_leach_salt_ecml,phys_salt_added_ecml,phys_theory_ec_t1,phys_theory_ec_delta,phys_salt_add_per_water,phys_dry_salt_pressure
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb0|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.65,0.702270610937346,0.6362128165952565,0.0,0.0,3906.5999999999995,1.3907032200826828,1.3907032200826828,1.347103448275862,0.47148620689655163
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb0|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.65,0.9593750061528135,0.6133201644405342,38.67088151557027,12.46876098274151,1302.1999999999998,0.3360863142008476,0.3360863142008476,0.2553333333333333,0.08936666666666665
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb0|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.65,0.702270610937346,0.6362128165952565,0.0,0.0,7813.199999999999,2.7814064401653655,2.7814064401653655,2.694206896551724,0.9429724137931033
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb0|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.65,0.9593750061528135,0.6133201644405342,38.67088151557027,24.93752196548302,2604.3999999999996,0.6721726284016952,0.6721726284016952,0.5106666666666666,0.1787333333333333
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb6|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.6447401575780152,0.6970107685153611,0.6309529741732718,0.0,0.0,3906.5999999999995,1.4011978639587916,1.4011978639587916,1.3569480453703007,0.48206914877307333
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb6|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6267300725738798,0.9457727991055859,0.5900502370144141,0.0,0.0,1302.1999999999998,0.34421586273983723,0.34421586273983723,0.2600800341327465,0.09708005546571315
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb6|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.6447401575780152,0.6970107685153611,0.6309529741732718,0.0,0.0,7813.199999999999,2.8023957279175833,2.8023957279175833,2.7138960907406013,0.9641382975461467
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb6|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6267300725738798,0.9457727991055859,0.5900502370144141,0.0,0.0,2604.3999999999996,0.6884317254796745,0.6884317254796745,0.520160068265493,0.1941601109314263
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb12|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.6324547919655336,0.6847254029028795,0.6186676085607901,0.0,0.0,3906.5999999999995,1.4263382019412627,1.4263382019412627,1.3805122406289125,0.5074006586760811
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb12|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6551675994199563,0.9593750061528135,0.6184877638604905,59.3412791953956,19.036146126536252,1302.1999999999998,0.33437494349031316,0.33437494349031316,0.2543026398633324,0.08769178977791524
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb12|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.6324547919655336,0.6847254029028795,0.6186676085607901,0.0,0.0,7813.199999999999,2.8526764038825254,2.8526764038825254,2.761024481257825,1.0148013173521622
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb12|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6551675994199563,0.9593750061528135,0.6184877638604905,59.3412791953956,38.072292253072504,2604.3999999999996,0.6687498869806263,0.6687498869806263,0.5086052797266648,0.17538357955583048
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.5483094831213949,0.6005800940587409,0.5345222997166514,0.0,0.0,3906.5999999999995,1.626177773225492,1.626177773225492,1.5668781342923814,0.7077439943643101
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6471117580700552,0.9593750061528135,0.6104319225105894,27.117913795791083,8.768789020035088,1302.1999999999998,0.33705047626963647,0.33705047626963647,0.25591305004042886,0.09030870631569694
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.5483094831213949,0.6005800940587409,0.5345222997166514,0.0,0.0,7813.199999999999,3.252355546450984,3.252355546450984,3.133756268584763,1.4154879887286203
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6471117580700552,0.9593750061528135,0.6104319225105894,27.117913795791083,17.537578040070176,2604.3999999999996,0.6741009525392729,0.6741009525392729,0.5118261000808577,0.1806174126313939
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb0|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.65,0.702270610937346,0.6362128165952565,0.0,0.0,3906.5999999999995,1.3907032200826828,1.3907032200826828,1.347103448275862,0.47148620689655163
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb0|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.65,0.9593750061528135,0.6133201644405342,38.67088151557027,12.46876098274151,1302.1999999999998,0.3360863142008476,0.3360863142008476,0.2553333333333333,0.08936666666666665
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb0|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.65,0.702270610937346,0.6362128165952565,0.0,0.0,7813.199999999999,2.7814064401653655,2.7814064401653655,2.694206896551724,0.9429724137931033
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb0|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.65,0.9593750061528135,0.6133201644405342,38.67088151557027,24.93752196548302,2604.3999999999996,0.6721726284016952,0.6721726284016952,0.5106666666666666,0.1787333333333333
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb6|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.6447401575780152,0.6970107685153611,0.6309529741732718,0.0,0.0,3906.5999999999995,1.4011978639587916,1.4011978639587916,1.3569480453703007,0.48206914877307333
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb6|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6267300725738798,0.9457727991055859,0.5900502370144141,0.0,0.0,1302.1999999999998,0.34421586273983723,0.34421586273983723,0.2600800341327465,0.09708005546571315
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb6|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.6447401575780152,0.6970107685153611,0.6309529741732718,0.0,0.0,7813.199999999999,2.8023957279175833,2.8023957279175833,2.7138960907406013,0.9641382975461467
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb6|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6267300725738798,0.9457727991055859,0.5900502370144141,0.0,0.0,2604.3999999999996,0.6884317254796745,0.6884317254796745,0.520160068265493,0.1941601109314263
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb12|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.6324547919655336,0.6847254029028795,0.6186676085607901,0.0,0.0,3906.5999999999995,1.4263382019412627,1.4263382019412627,1.3805122406289125,0.5074006586760811
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb12|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6551675994199563,0.9593750061528135,0.6184877638604905,59.3412791953956,19.036146126536252,1302.1999999999998,0.33437494349031316,0.33437494349031316,0.2543026398633324,0.08769178977791524
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb12|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.6324547919655336,0.6847254029028795,0.6186676085607901,0.0,0.0,7813.199999999999,2.8526764038825254,2.8526764038825254,2.761024481257825,1.0148013173521622
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb12|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6551675994199563,0.9593750061528135,0.6184877638604905,59.3412791953956,38.072292253072504,2604.3999999999996,0.6687498869806263,0.6687498869806263,0.5086052797266648,0.17538357955583048
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.5483094831213949,0.6005800940587409,0.5345222997166514,0.0,0.0,3906.5999999999995,1.626177773225492,1.626177773225492,1.5668781342923814,0.7077439943643101
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6471117580700552,0.9593750061528135,0.6104319225105894,27.117913795791083,8.768789020035088,1302.1999999999998,0.33705047626963647,0.33705047626963647,0.25591305004042886,0.09030870631569694
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.5483094831213949,0.6005800940587409,0.5345222997166514,0.0,0.0,7813.199999999999,3.252355546450984,3.252355546450984,3.133756268584763,1.4154879887286203
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6471117580700552,0.9593750061528135,0.6104319225105894,27.117913795791083,17.537578040070176,2604.3999999999996,0.6741009525392729,0.6741009525392729,0.5118261000808577,0.1806174126313939
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.45,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.34830948312139526,0.4005800940587411,0.33452229971665165,0.0,0.0,3906.5999999999995,2.4380891973548335,2.4380891973548335,2.3071772283445857,1.5035655204704297
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.45,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.4471117580700563,0.7661544846017625,0.4104319225105908,0.0,0.0,1302.1999999999998,0.4249143045468392,0.4249143045468392,0.30365304507622715,0.16788619824886916
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.45,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.34830948312139526,0.4005800940587411,0.33452229971665165,0.0,0.0,7813.199999999999,4.876178394709667,4.876178394709667,4.614354456689171,3.0071310409408594
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.45,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.4471117580700563,0.7661544846017625,0.4104319225105908,0.0,0.0,2604.3999999999996,0.8498286090936784,0.8498286090936784,0.6073060901524543,0.3357723964977383
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.6983094831213951,0.750580094058741,0.6845222997166516,0.0,0.0,3906.5999999999995,1.3011935804462813,1.3011935804462813,1.2629484330876675,0.3810195655692426
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.7971117580700552,0.9593750061528135,0.7604319225105894,627.1179137957911,161.82728118218967,1302.1999999999998,0.297165527427803,0.297165527427803,0.2289201240005238,0.04644520150085124
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.6983094831213951,0.750580094058741,0.6845222997166516,0.0,0.0,7813.199999999999,2.6023871608925626,2.6023871608925626,2.525896866175335,0.7620391311384852
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.7971117580700552,0.9593750061528135,0.7604319225105894,627.1179137957911,323.65456236437933,2604.3999999999996,0.594331054855606,0.594331054855606,0.4578402480010476,0.09289040300170248
deploy35_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.5483094831213949,0.6005800940587409,0.5345222997166514,0.0,0.0,3906.5999999999995,1.626177773225492,1.626177773225492,1.5668781342923814,0.7077439943643101
deploy35_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6471117580700552,0.9593750061528135,0.6104319225105894,27.117913795791083,8.768789020035088,1302.1999999999998,0.33705047626963647,0.33705047626963647,0.25591305004042886,0.09030870631569694
deploy35_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.5483094831213949,0.6005800940587409,0.5345222997166514,0.0,0.0,7813.199999999999,3.252355546450984,3.252355546450984,3.133756268584763,1.4154879887286203
deploy35_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6471117580700552,0.9593750061528135,0.6104319225105894,27.117913795791083,17.537578040070176,2604.3999999999996,0.6741009525392729,0.6741009525392729,0.5118261000808577,0.1806174126313939
deploy25_p24|huber2_cfg19|cap2500|et250|alpha4|lb24|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.4872951729942324,0.5709281504939858,0.4652356795466427,0.0,0.0,3906.5999999999995,2.7370169059766143,2.7370169059766143,2.573114474622772,1.3192482115775048
deploy25_p24|huber2_cfg19|cap2500|et250|alpha4|lb24|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6453788129120901,0.9350000098445016,0.5866910760169454,552.1179137957984,244.04046214482617,1302.1999999999998,0.45268856757815623,0.45268856757815623,0.3165714763751669,0.11226295275033392
deploy25_p24|huber2_cfg19|cap2500|et250|alpha8|lb24|init0.65,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.0,0.4872951729942324,0.5709281504939858,0.4652356795466427,0.0,0.0,7813.199999999999,5.474033811953229,5.474033811953229,5.146228949245544,2.6384964231550097
deploy25_p24|huber2_cfg19|cap2500|et250|alpha8|lb24|init0.65,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,325.54999999999995,0.6453788129120901,0.9350000098445016,0.5866910760169454,552.1179137957984,488.08092428965233,2604.3999999999996,0.9053771351563125,0.9053771351563125,0.6331429527503338,0.22452590550066784
