experiment,feature_mode,capacity_ml,et_scale,salt_to_ecml,lookback_h,init_frac,n_features,n_eval,mae,mae_nonzero,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_true,sep21_0720_pred,sep21_0720_err,retrains
deploy35_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.65,deploy35_p24,4000,250,4.0,24,0.65,35,78,0.19175411660568245,0.19421250271601173,0.44438860068762015,0.24673468354430375,0.8586021457099096,0.36676612718359364,0.47889656245461354,11,0.24393914459318009,21,4.23,0.8920647722264244,3.337935227773576,79
deploy35_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.65,deploy35_p24,4000,250,8.0,24,0.65,35,78,0.1991350026613579,0.20168801551599064,0.4569416370331607,0.24673468354430375,0.850500938766279,0.40207099617368863,0.5344076114150169,11,0.26150231490648795,21,4.23,0.8713068586938227,3.3586931413061776,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb12|init0.65,replace10_keep_p48,4000,250,8.0,12,0.65,25,78,0.19929682869863577,0.20185191624605422,0.4854537268598367,0.24673468354430375,0.8312620851339072,0.3659210985342332,0.5209217152862889,11,0.23816943287895903,21,4.23,0.590273160315599,3.6397268396844016,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb12|init0.65,deploy25_p24,4000,250,8.0,12,0.65,25,78,0.20064421559782658,0.2032165773362602,0.493707647975927,0.24673468354430375,0.8254753768912023,0.37788879825008587,0.5528173431206912,11,0.2467248335496113,21,4.23,0.5382761158109751,3.691723884189025,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb12|init0.65,deploy25_p24,4000,250,4.0,12,0.65,25,78,0.20294002924686874,0.20554182449362343,0.49281898651296907,0.24673468354430375,0.8261030913918206,0.37561581944969863,0.5525086162682407,11,0.24486782651339084,21,4.23,0.5703104839393062,3.6596895160606944,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb6|init0.65,replace10_keep_p48,4000,250,8.0,6,0.65,25,78,0.20458113696206515,0.20720397205132238,0.492150729794136,0.24673468354430375,0.8265743759508724,0.4034442605220582,0.5383089543290698,11,0.2587191008534817,21,4.23,0.5968369390155026,3.633163060984498,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb12|init0.65,replace10_keep_p48,4000,250,4.0,12,0.65,25,78,0.20773255558625858,0.2103957934783901,0.4919790818594063,0.24673468354430375,0.8266953265347511,0.3973989110297543,0.5360181841905798,11,0.254701417460852,21,4.23,0.6379575311948259,3.5920424688051744,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb6|init0.65,deploy25_p24,4000,250,4.0,6,0.65,25,78,0.20916784538761787,0.21184948443104887,0.5015945949009472,0.24673468354430375,0.8198547999149826,0.4187795766117391,0.5746918934519407,11,0.2682066015672386,21,4.23,0.5547157852831232,3.675284214716877,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb6|init0.65,deploy25_p24,4000,250,8.0,6,0.65,25,78,0.21069562330832603,0.21339684924817634,0.5036155400605576,0.24673468354430375,0.818400250813528,0.4342368487072792,0.5895630302087344,11,0.2753818052195443,21,4.23,0.5571616135273677,3.6728383864726326,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb6|init0.65,replace10_keep_p48,4000,250,4.0,6,0.65,25,78,0.2108935494632344,0.21359731291789125,0.4963695342360732,0.24673468354430375,0.8235883610532913,0.43350448368544564,0.5524069519547078,11,0.27526560245996706,21,4.23,0.5915296573641815,3.638470342635819,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb0|init0.65,replace10_keep_p48,4000,250,8.0,0,0.65,25,78,0.21135096117239147,0.2140605888797298,0.48696867673902255,0.24673468354430375,0.8302072848941562,0.5020257210033772,0.6367709354486316,11,0.31209821071145644,21,4.23,0.6719326865633182,3.5580673134366823,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb0|init0.65,deploy25_p24,4000,250,8.0,0,0.65,25,78,0.21649774861841997,0.21927336078019458,0.5010144598095153,0.24673468354430375,0.8202712641944969,0.48140566821219544,0.6357914748147424,11,0.3053668665500502,21,4.23,0.5666671870382692,3.6633328129617313,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb0|init0.65,replace10_keep_p48,4000,250,4.0,0,0.65,25,78,0.218074215158113,0.22087003842937086,0.49657183297226887,0.24673468354430375,0.8234445362551968,0.5458307536062692,0.6654898219406468,11,0.3348929800945484,21,4.23,0.6565032461523576,3.573496753847643,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb0|init0.65,deploy25_p24,4000,250,4.0,0,0.65,25,78,0.21854881631639772,0.22135072421788998,0.5082584858672818,0.24673468354430375,0.8150363974054835,0.5302505641092913,0.6719240791473533,11,0.3316007284839996,21,4.23,0.5572432764453835,3.672756723554617,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.45,deploy25_p24,4000,250,4.0,24,0.45,25,78,0.22962039480311994,0.23256424601854456,0.5218004065842491,0.24673468354430375,0.8050488392397521,0.38262651250193347,0.5132853602894315,11,0.2497839804266472,21,4.23,0.8421853357750533,3.387814664224947,79
deploy25_p24|huber2_cfg19|cap2500|et250|alpha8|lb24|init0.65,deploy25_p24,2500,250,8.0,24,0.65,25,78,0.23027436397672485,0.23322659941232388,0.5354899375428842,0.24673468354430375,0.7946854971744218,0.3843079374635463,0.5168181539845299,11,0.25069948903547273,21,4.23,0.8187633157482768,3.4112366842517234,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.8,deploy25_p24,4000,250,8.0,24,0.8,25,78,0.23110654828553082,0.23406945275072993,0.5280031055980148,0.24673468354430375,0.8003864800577167,0.4319804134755071,0.5731551233546309,11,0.2751266414349513,21,4.23,0.828886854288117,3.4011131457118835,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.8,deploy25_p24,4000,250,4.0,24,0.8,25,78,0.23229863337437262,0.23527682098173636,0.5301230562130929,0.24673468354430375,0.7987803519022366,0.4264794272069363,0.5621482193239947,11,0.27401595747596635,21,4.23,0.8556432013728363,3.374356798627164,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.65,deploy25_p24,4000,250,4.0,24,0.65,25,78,0.2326582761729407,0.23564107458541428,0.5389866589543386,0.24673468354430375,0.7919953564916643,0.3917623772080477,0.5160044858505946,11,0.2553378194128787,21,4.23,0.7834268173873935,3.4465731826126067,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.65,replace10_keep_p48,4000,250,8.0,24,0.65,25,78,0.2333869037623087,0.23637904355413314,0.5400815155238412,0.24673468354430375,0.7911494485320074,0.40912845873381565,0.5149517264994945,11,0.26248448234271293,21,4.23,0.842949783373484,3.387050216626516,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.45,deploy25_p24,4000,250,8.0,24,0.45,25,78,0.23489343582036978,0.23790489012575916,0.526982268019072,0.24673468354430375,0.8011575967182866,0.39534833172001543,0.528143291208522,11,0.25549779003676987,21,4.23,0.8974262618054664,3.332573738194534,79
deploy25_p24|huber2_cfg19|cap2500|et250|alpha4|lb24|init0.65,deploy25_p24,2500,250,4.0,24,0.65,25,78,0.236607129416953,0.23964055415306776,0.5382362807282144,0.24673468354430375,0.7925741222325117,0.39427037927969477,0.5293843221335379,11,0.25603089359466985,21,4.23,0.8348717801344775,3.395128219865523,79
replace10_keep_p48|huber2_cfg19|cap4000|et250|alpha4|lb24|init0.65,replace10_keep_p48,4000,250,4.0,24,0.65,25,78,0.23818331961479913,0.24123695191755296,0.5362831832225602,0.24673468354430375,0.7940767631517045,0.38034589312542944,0.47317461986337905,11,0.24842140331290563,21,4.23,0.8356068405952904,3.39439315940471,79
deploy25_p24|huber2_cfg19|cap4000|et250|alpha8|lb24|init0.65,deploy25_p24,4000,250,8.0,24,0.65,25,78,0.23970909610228802,0.24278228964206094,0.5438069445174704,0.24673468354430375,0.7882582502197666,0.43894924361302773,0.5917402531082592,11,0.2792504926791577,21,4.23,0.8315789597961702,3.3984210402038304,79
