experiment,feature_set,params,n_features,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,logger_period_mae,logger_period_n,sep21_0720_pred,sep21_0720_err
base25_no_logger|base,base25_no_logger,base,25,0.17985319361338775,0.46736784537115417,0.24673468354430375,0.8436007526288571,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.13789149031942413,71,0.6798783732118225,3.5501216267881777
base25_no_logger|cfg19_balanced,base25_no_logger,cfg19_balanced,25,0.17940949410749904,0.4671668543285362,0.24673468354430375,0.8437352423625591,0.35737779200176667,0.5623730617929276,11,0.24098429624700923,21,0.13868764643587053,71,0.6724995351548595,3.557500464845141
base25_no_logger|cfg39_aug_focus,base25_no_logger,cfg39_aug_focus,25,0.1877360963561572,0.4752187425324788,0.24673468354430375,0.8383021964484918,0.3216343825959559,0.5191573879775396,11,0.22089117468138122,21,0.1298941472301718,71,0.6256002729583312,3.6043997270416694
base_plus_vwc35|base,base_plus_vwc35,base,35,0.1977839806336466,0.4909840130207328,0.24673468354430375,0.8273956639643664,0.38505661401377983,0.5699742858288206,11,0.2575025910199449,21,0.14476971267445507,71,0.5217782311132124,3.708221768886788
base_plus_res35|base,base_plus_res35,base,35,0.20932779361320536,0.4948417652671363,0.24673468354430375,0.8246726397570969,0.3882741267355785,0.5709188635091816,11,0.2589296874074624,21,0.1529600231278881,71,0.5687105678895847,3.661289432110416
base_plus_logger42|base,base_plus_logger42,base,46,0.2009940842331183,0.4980495667927542,0.24673468354430375,0.8223921600712785,0.3668706932193065,0.5753379900264649,11,0.2442394569521992,21,0.14387415241523685,71,0.5512485796112588,3.6787514203887417
base_plus_logger42|cfg19_balanced,base_plus_logger42,cfg19_balanced,46,0.19574456157667483,0.49292732793032157,0.24673468354430375,0.826026623930184,0.35480366959806026,0.582858071740034,11,0.2393764328227397,21,0.14332519290945722,71,0.5506455807125044,3.6793544192874963
base_plus_logger42|cfg39_aug_focus,base_plus_logger42,cfg39_aug_focus,46,0.19956565850410918,0.48633183480071895,0.24673468354430375,0.83065109338436,0.3544009759103877,0.5296866551191818,11,0.2363389296141698,21,0.14228148563067938,71,0.5330441951972082,3.6969558048027924
compact25_logger|base,compact25_logger,base,25,0.21010526027470647,0.4937595505730005,0.24673468354430375,0.8254386800428947,0.4743554774214909,0.6176357513588191,11,0.3025248872144529,21,0.1620047970469163,71,0.5437399333330367,3.686260066666964
compact25_logger|cfg19_balanced,compact25_logger,cfg19_balanced,25,0.21133756452835756,0.494996535048162,0.24673468354430375,0.8245629496598901,0.4703409235732773,0.6261992449982586,11,0.30138499663748175,21,0.1610408082535952,71,0.5526874467640271,3.677312553235973
compact25_logger|cfg39_aug_focus,compact25_logger,cfg39_aug_focus,25,0.21550592930646223,0.4965344795778319,0.24673468354430375,0.8234710971569438,0.48400376801374745,0.599085361644518,11,0.3078069655044314,21,0.1618282350860414,71,0.5134516692337878,3.7165483307662126
