experiment,objective,params,n_eval,mae,mae_nonzero,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_true,sep21_0720_pred,sep21_0720_err,retrains
custom_asym_under3|base,custom_asym_under3,base,78,0.21079469801305772,0.21349719414143017,0.49990122436426,0.24673468354430375,0.8210690779490655,0.45860316778430615,0.6328923637413609,11,0.30117475058548276,21,4.23,0.6684546495598965,3.561545350440104,79
custom_directional_asym3|base,custom_directional_asym3,base,78,0.20075716096296367,0.2033309707188991,0.4885558700017292,0.24673468354430375,0.8290986590152338,0.49208411194079266,0.6799365420020331,11,0.31533478440463575,21,4.23,0.6930415095688071,3.5369584904311933,79
custom_mag_directional_asym3|base,custom_mag_directional_asym3,base,78,0.21156834009725,0.21428075471388142,0.4976823708645268,0.24673468354430375,0.822653952627029,0.5085759646300037,0.6601540855444014,11,0.32391575810584605,21,4.23,0.5874414683624702,3.64255853163753,79
custom_asym_under3|cfg19_balanced,custom_asym_under3,cfg19_balanced,78,0.21079469801305772,0.21349719414143017,0.49990122436426,0.24673468354430375,0.8210690779490655,0.45860316778430615,0.6328923637413609,11,0.30117475058548276,21,4.23,0.6684546495598965,3.561545350440104,79
custom_directional_asym3|cfg19_balanced,custom_directional_asym3,cfg19_balanced,78,0.20075716096296367,0.2033309707188991,0.4885558700017292,0.24673468354430375,0.8290986590152338,0.49208411194079266,0.6799365420020331,11,0.31533478440463575,21,4.23,0.6930415095688071,3.5369584904311933,79
custom_mag_directional_asym3|cfg19_balanced,custom_mag_directional_asym3,cfg19_balanced,78,0.21156834009725,0.21428075471388142,0.4976823708645268,0.24673468354430375,0.822653952627029,0.5085759646300037,0.6601540855444014,11,0.32391575810584605,21,4.23,0.5874414683624702,3.64255853163753,79
custom_asym_under3|cfg39_aug_focus,custom_asym_under3,cfg39_aug_focus,78,0.19138668499066316,0.1938403604392614,0.48657747734094686,0.24673468354430375,0.8304799764704607,0.434695549277165,0.6348472263211637,11,0.2852946389500005,21,4.23,0.6185488930748391,3.6114511069251614,79
custom_directional_asym3|cfg39_aug_focus,custom_directional_asym3,cfg39_aug_focus,78,0.21311800657385832,0.2158502887094206,0.4943434133561534,0.24673468354430375,0.8250256040131352,0.5006737773484432,0.6335913323445365,11,0.3155480443575812,21,4.23,0.6268251643797956,3.6031748356202047,79
custom_mag_directional_asym3|cfg39_aug_focus,custom_mag_directional_asym3,cfg39_aug_focus,78,0.20821717626761357,0.21088662724540347,0.48766256126564084,0.24673468354430375,0.8297230628810601,0.47088947406409626,0.5965685649048179,11,0.29996294843666993,21,4.23,0.5978335201233829,3.6321664798766173,79
custom_asym_under2|cfg19_balanced,custom_asym_under2,cfg19_balanced,78,0.20537487269869734,0.20800788388714217,0.49219435791726074,0.24673468354430375,0.8265436269571746,0.45563589305380225,0.6520196876239319,11,0.2966697037146943,21,4.23,0.6603921639035173,3.569607836096483,79
custom_asym_under5|cfg19_balanced,custom_asym_under5,cfg19_balanced,78,0.21649728792309136,0.21927289417851561,0.5207771693782164,0.24673468354430375,0.8058126780167947,0.42532689317616873,0.629570094485886,11,0.28396794309532664,21,4.23,0.6544372916987548,3.575562708301246,79
custom_asym_over3|cfg19_balanced,custom_asym_over3,cfg19_balanced,78,0.2138235588670962,0.21656488654487946,0.5010107280301772,0.24673468354430375,0.8202739415842278,0.4769577736235817,0.6723498865061229,11,0.30840545019468246,21,4.23,0.6207016866589132,3.609298313341087,79
custom_directional_asym5|cfg19_balanced,custom_directional_asym5,cfg19_balanced,78,0.21390339299654,0.21664574418880334,0.504168461584131,0.24673468354430375,0.818001273726821,0.5111891550622036,0.6908664013749924,11,0.3235010328663275,21,4.23,0.6376912932399011,3.5923087067600994,79
