label,t0,t1,capacity_ml,et_scale,ec0,ec1_true,irr_total,salt_total,pot_water_t0_frac,pot_water_end_frac,pot_leach_ml,pot_salt_per_water_end,pot_expected_ec_proxy,pot_dry_salt_pressure
aug18_to_aug19_drop,2025-08-18 14:40:00,2025-08-19 12:30:00,2500,150,2.93,1.752,1900.0,325.54999999999995,0.9736023833553807,0.9156245675094961,1548.7237199802867,0.14215775932084926,1.2748247425168147,0.0035292497207453878
aug19_to_aug20_drop,2025-08-19 17:30:00,2025-08-20 12:00:00,2500,150,1.354,0.9119,1200.0,0.0,0.9947328897845938,0.9296239384634917,960.9310286656209,0.0,0.8886094792445834,0.0
sep21_spike,2025-09-21 06:30:00,2025-09-21 07:20:00,2500,150,0.501,4.23,300.0,976.6499999999999,0.884607066886747,0.9914501570778744,1.4474369207969175,0.3938699784561586,0.8404072613217182,0.050936772074151336
sep21_followup,2025-09-21 07:20:00,2025-09-21 08:40:00,2500,150,4.23,4.97,0.0,0.0,0.9914501570778744,0.9605665028368463,0.0,0.0,4.364183509059776,0.0
aug18_to_aug19_drop,2025-08-18 14:40:00,2025-08-19 12:30:00,1200,80,2.93,1.752,1900.0,325.54999999999995,0.9706693148393115,0.9062495194549954,1712.652650656151,0.29908146299175337,-1.1756082989129428,0.008190580310496885
aug19_to_aug20_drop,2025-08-19 17:30:00,2025-08-20 12:00:00,1200,80,1.354,0.9119,1200.0,0.0,0.9941476553162154,0.9218043760705461,1072.4965486216636,0.0,0.14734095324503002,0.0
sep21_spike,2025-09-21 06:30:00,2025-09-21 07:20:00,1200,80,0.501,4.23,300.0,976.6499999999999,0.9665142272527407,0.9905001745309715,254.4462832120514,0.8209901042822455,1.2022869147037205,0.028173155549349904
sep21_followup,2025-09-21 07:20:00,2025-09-21 08:40:00,1200,80,4.23,4.97,0.0,0.0,0.9905001745309715,0.956185003152051,0.0,0.0,4.377988987810786,0.0
aug18_to_aug19_drop,2025-08-18 14:40:00,2025-08-19 12:30:00,4000,250,2.93,1.752,1900.0,325.54999999999995,0.9417156818657575,0.9121089244890582,1191.3923301160885,0.08920557229774329,2.156957654750529,0.005035868114382843
aug19_to_aug20_drop,2025-08-19 17:30:00,2025-08-20 12:00:00,4000,250,1.354,0.9119,1200.0,0.0,0.994513426858952,0.9266916025661369,801.5517144427049,0.0,1.159993166399549,0.0
sep21_spike,2025-09-21 06:30:00,2025-09-21 07:20:00,4000,250,0.501,4.23,300.0,976.6499999999999,0.5742049039389019,0.6361028882716584,0.0,0.38369040904826895,0.8357613624067473,0.1809771218404904
sep21_followup,2025-09-21 07:20:00,2025-09-21 08:40:00,4000,250,4.23,4.97,0.0,0.0,0.6361028882716584,0.6039324151039207,0.0,0.0,4.453481515059167,0.0
