experiment,feature_set,params,capacity_ml,et_scale,n_features,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_pred,sep21_0720_err
base25_no_pot|base,base25_no_pot,base,,,25,0.17985319361338775,0.46736784537115417,0.24673468354430375,0.8436007526288571,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.6798783732118225,3.5501216267881777
base25_no_pot|cfg19_balanced,base25_no_pot,cfg19_balanced,,,25,0.17940949410749904,0.4671668543285362,0.24673468354430375,0.8437352423625591,0.35737779200176667,0.5623730617929276,11,0.24098429624700923,21,0.6724995351548595,3.557500464845141
base25_no_pot|cfg39_aug_focus,base25_no_pot,cfg39_aug_focus,,,25,0.1877360963561572,0.4752187425324788,0.24673468354430375,0.8383021964484918,0.3216343825959559,0.5191573879775396,11,0.22089117468138122,21,0.6256002729583312,3.6043997270416694
base_plus_pot35|base|cap1200|et80,base_plus_pot35,base,1200,80,35,0.2021587439514582,0.4953885617697131,0.24673468354430375,0.8242849547998028,0.41443012814038266,0.5729263825186581,11,0.27425710267387726,21,0.49600541180686336,3.733994588193137
base_plus_pot35|base|cap1200|et150,base_plus_pot35,base,1200,150,35,0.19900875682078914,0.48621891259746025,0.24673468354430375,0.8307297270667815,0.37902949062630387,0.5411310140923797,11,0.25974606907106645,21,0.5682540804150231,3.6617459195849773
base_plus_pot35|base|cap1200|et250,base_plus_pot35,base,1200,250,35,0.20151596990113393,0.46589836390645856,0.24673468354430375,0.8445826964758928,0.4171265679970452,0.5264660531045032,11,0.2730149440015956,21,0.7609767615730397,3.469023238426961
base_plus_pot35|base|cap1800|et80,base_plus_pot35,base,1800,80,35,0.2110657065666264,0.5026977645522076,0.24673468354430375,0.8190615327772673,0.4451699627503059,0.6023202798799221,11,0.2894808713275684,21,0.5176150653084929,3.7123849346915074
base_plus_pot35|base|cap1800|et150,base_plus_pot35,base,1800,150,35,0.19976491416887232,0.48749485182290303,0.24673468354430375,0.829840160817426,0.37807771689791037,0.5455698938292417,11,0.2589186747542162,21,0.5411131466336572,3.688886853366343
base_plus_pot35|base|cap1800|et250,base_plus_pot35,base,1800,250,35,0.2153826179500719,0.48417636645659684,0.24673468354430375,0.8321489072885759,0.4010649307818865,0.5077399120330124,11,0.2630111325020107,21,0.7619417988819996,3.4680582011180006
base_plus_pot35|base|cap2500|et80,base_plus_pot35,base,2500,80,35,0.1991589184849748,0.4900394768349723,0.24673468354430375,0.8280591243641264,0.4140547598571874,0.5709823810672376,11,0.2742269955559438,21,0.5281628454825747,3.701837154517426
base_plus_pot35|base|cap2500|et150,base_plus_pot35,base,2500,150,35,0.19939705009775358,0.48403967371531215,0.24673468354430375,0.8322436693992418,0.36704567653373843,0.5227654398337722,11,0.2502680891139156,21,0.5709012762921175,3.659098723707883
base_plus_pot35|base|cap2500|et250,base_plus_pot35,base,2500,250,35,0.2216753946030503,0.4814616139409453,0.24673468354430375,0.834025895661362,0.42272259027294656,0.529777774607644,11,0.27449973417959894,21,0.8268665926192291,3.4031334073807713
base_plus_pot35|base|cap3200|et80,base_plus_pot35,base,3200,80,35,0.20185099077304294,0.4949084010507797,0.24673468354430375,0.8246254171356848,0.4093330571813685,0.5683260842619949,11,0.27189848019883683,21,0.4892809592382021,3.7407190407617983
base_plus_pot35|base|cap3200|et150,base_plus_pot35,base,3200,150,35,0.20264037795939277,0.4882906577124782,0.24673468354430375,0.8292841560537435,0.37639861624432014,0.5309640933742769,11,0.2562551969428482,21,0.5772951454875325,3.652704854512468
base_plus_pot35|base|cap3200|et250,base_plus_pot35,base,3200,250,35,0.2308583188382842,0.4947731549661664,0.24673468354430375,0.8247212550109586,0.4457766207561802,0.5502866857128893,11,0.28607990895408497,21,0.8291812590521886,3.4008187409478117
base_plus_pot35|base|cap4000|et80,base_plus_pot35,base,4000,80,35,0.2052150234770833,0.49805559203581,0.24673468354430375,0.8223878627605343,0.4156442035509214,0.5764559453213052,11,0.27528637980043996,21,0.47797957362750426,3.7520204263724963
base_plus_pot35|base|cap4000|et150,base_plus_pot35,base,4000,150,35,0.20168312788908724,0.4852552435168246,0.24673468354430375,0.8314000378031582,0.3759304709556194,0.5272633756566579,11,0.25600892619978993,21,0.5832432584430488,3.6467567415569517
