timestamp,train_class_acc,train_class_f1_macro,train_n_drop,train_n_stable,train_n_jump,experiment
2025-08-14 12:30:00,1.0,1.0,9,12,16,proba_feature_t12|base
2025-08-14 16:20:00,1.0,1.0,9,13,16,proba_feature_t12|base
2025-08-17 08:10:00,1.0,1.0,10,13,16,proba_feature_t12|base
2025-08-17 12:40:00,1.0,1.0,10,13,17,proba_feature_t12|base
2025-08-18 08:30:00,1.0,1.0,11,13,17,proba_feature_t12|base
2025-08-18 14:40:00,0.9767441860465116,0.9786453119786452,11,14,18,proba_feature_t12|base
2025-08-19 12:30:00,0.9772727272727273,0.9786453119786452,12,14,18,proba_feature_t12|base
2025-08-19 17:30:00,0.9777777777777777,0.9786453119786452,13,14,18,proba_feature_t12|base
2025-08-20 12:00:00,0.9787234042553191,0.9786453119786452,15,14,18,proba_feature_t12|base
2025-08-20 12:20:00,1.0,1.0,17,15,18,proba_feature_t12|base
2025-08-21 13:00:00,0.9803921568627451,0.9794967381174278,18,15,18,proba_feature_t12|base
2025-08-21 15:00:00,0.9807692307692307,0.980238302818948,18,16,18,proba_feature_t12|base
2025-08-25 09:00:00,0.9811320754716981,0.980238302818948,19,16,18,proba_feature_t12|base
2025-08-25 16:00:00,0.9814814814814815,0.9808899808899808,19,17,18,proba_feature_t12|base
2025-08-26 12:00:00,0.9818181818181818,0.9808899808899808,20,17,18,proba_feature_t12|base
2025-08-26 16:30:00,0.9824561403508771,0.981929181929182,20,18,19,proba_feature_t12|base
2025-08-27 11:40:00,0.9827586206896551,0.981929181929182,21,18,19,proba_feature_t12|base
2025-08-27 14:10:00,0.9833333333333333,0.9832390530064948,21,19,20,proba_feature_t12|base
2025-08-28 13:30:00,0.9516129032258065,0.9525836618859875,21,19,22,proba_feature_t12|base
2025-08-28 15:00:00,0.953125,0.9524410774410774,23,19,22,proba_feature_t12|base
2025-08-31 08:20:00,0.9538461538461539,0.954296039101075,23,20,22,proba_feature_t12|base
2025-08-31 12:30:00,0.9545454545454546,0.955173232083531,23,21,22,proba_feature_t12|base
2025-09-01 08:30:00,0.9264705882352942,0.926415711947627,23,21,24,proba_feature_t12|base
2025-09-01 12:30:00,0.927536231884058,0.9276664936862135,23,22,24,proba_feature_t12|base
2025-09-02 08:30:00,0.9295774647887324,0.9295605671912294,25,22,24,proba_feature_t12|base
2025-09-02 15:00:00,0.9305555555555556,0.9303608873192806,25,22,25,proba_feature_t12|base
2025-09-03 09:00:00,0.9324324324324325,0.9334904601571269,25,23,26,proba_feature_t12|base
2025-09-03 15:20:00,0.8947368421052632,0.8945689386865857,25,25,26,proba_feature_t12|base
2025-09-07 08:50:00,0.9090909090909091,0.9092394533571003,25,26,26,proba_feature_t12|base
2025-09-07 15:30:00,0.9102564102564102,0.9104726510386888,26,26,26,proba_feature_t12|base
2025-09-08 09:30:00,0.9,0.9000570950566303,26,27,27,proba_feature_t12|base
2025-09-08 13:50:00,0.9012345679012346,0.9012006056341031,27,27,27,proba_feature_t12|base
2025-09-09 08:30:00,0.891566265060241,0.890952380952381,27,28,28,proba_feature_t12|base
2025-09-09 14:10:00,0.8928571428571429,0.8921839080459769,28,28,28,proba_feature_t12|base
2025-09-09 15:40:00,0.8953488372093024,0.8947976384016428,28,29,29,proba_feature_t12|base
2025-09-09 18:40:00,0.8876404494382022,0.8865219212374469,31,29,29,proba_feature_t12|base
2025-09-10 07:50:00,0.9032258064516129,0.9031647790268479,31,32,30,proba_feature_t12|base
2025-09-10 11:30:00,0.90625,0.9058818427188725,33,33,30,proba_feature_t12|base
2025-09-10 13:50:00,0.92,0.9204791035776951,33,37,30,proba_feature_t12|base
2025-09-10 15:50:00,0.9142857142857143,0.9150195900785988,33,42,30,proba_feature_t12|base
2025-09-11 07:50:00,0.9174311926605505,0.9179487179487179,33,45,31,proba_feature_t12|base
2025-09-11 11:20:00,0.9026548672566371,0.9028619528619529,37,45,31,proba_feature_t12|base
2025-09-11 13:30:00,0.9230769230769231,0.9234994374958639,37,47,33,proba_feature_t12|base
