experiment,model_type,params,threshold,mode,n_eval,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_pred,sep21_0720_err,retrains,last_train_class_acc,last_train_f1_macro,last_train_n_drop,last_train_n_stable,last_train_n_jump
standard|base,standard,base,,,78,0.1821590037879184,0.47035425176632084,0.24989794871794865,0.8401131963953181,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.6798783732118225,3.5501216267881777,79,,,,,
standard|cfg19_balanced,standard,cfg19_balanced,,,78,0.18170961582682596,0.47015197642282297,0.24989794871794865,0.8402506851236893,0.35737779200176667,0.5623730617929276,11,0.24098429624700923,21,0.6724995351548595,3.557500464845141,79,,,,,
standard|cfg39_aug_focus,standard,cfg39_aug_focus,,,78,0.19014296938636435,0.47825531491514883,0.24989794871794865,0.834696487391674,0.3216343825959559,0.5191573879775396,11,0.22089117468138122,21,0.6256002729583312,3.6043997270416694,79,,,,,
proba_feature_t12|base,regime,base,0.12,proba_feature,78,0.23184115006602424,0.5141486410940456,0.24989794871794865,0.8089531609170265,0.4820170270788195,0.6702546493296061,11,0.29417054206009424,21,0.7425687662371941,3.4874312337628064,79,0.8502024291497976,0.8493067385296289,75.0,88.0,84.0
proba_feature_t18|base,regime,base,0.18,proba_feature,78,0.22748907085802847,0.5133280679190856,0.24989794871794865,0.8095624898123205,0.48223326356598756,0.6702813081051598,11,0.29518103817366564,21,0.7259382821701904,3.50406171782981,79,0.8582995951417004,0.8522878325833991,61.0,113.0,73.0
proba_feature_t25|base,regime,base,0.25,proba_feature,78,0.2441988336748912,0.5435887641978534,0.24989794871794865,0.7864481122488729,0.5223707069628044,0.7339297268395815,11,0.3244723645544914,21,0.8062424448217655,3.423757555178235,79,0.8866396761133604,0.8799048044027963,56.0,126.0,65.0
proba_feature_t18|cfg19_balanced,regime,cfg19_balanced,0.18,proba_feature,78,0.22807604306060666,0.5108674388073039,0.24989794871794865,0.8113838317852197,0.47765124204700543,0.647845868529081,11,0.293715620668193,21,0.7456270436989164,3.484372956301084,79,0.8582995951417004,0.8522878325833991,61.0,113.0,73.0
proba_feature_t18|cfg39_aug_focus,regime,cfg39_aug_focus,0.18,proba_feature,78,0.22817978793503826,0.516485880986638,0.24989794871794865,0.807212274455809,0.48959484792631475,0.6631294182077794,11,0.29662086769517726,21,0.7335288262330615,3.496471173766939,79,0.8582995951417004,0.8522878325833991,61.0,113.0,73.0
soft_experts_t18|base,regime,base,0.18,soft_experts,78,0.230355378964629,0.528305873901749,0.24989794871794865,0.7982872497932817,0.5789915319440617,0.7799748376615172,11,0.34754807950636635,21,0.6626814346400874,3.567318565359913,79,0.8582995951417004,0.8522878325833991,61.0,113.0,73.0
soft_experts_t18|cfg19_balanced,regime,cfg19_balanced,0.18,soft_experts,78,0.23004845038786115,0.5285664141241606,0.24989794871794865,0.7980882467297947,0.5772838528870873,0.7820353732308543,11,0.34652143951211434,21,0.6624009851231352,3.5675990148768655,79,0.8582995951417004,0.8522878325833991,61.0,113.0,73.0
soft_experts_t18|cfg39_aug_focus,regime,cfg39_aug_focus,0.18,soft_experts,78,0.23213481455888305,0.5319861790542872,0.24989794871794865,0.7954671023937792,0.5858204257084707,0.794903638236518,11,0.35165578083811083,21,0.6870220249299669,3.5429779750700336,79,0.8582995951417004,0.8522878325833991,61.0,113.0,73.0
hard_experts_t18|base,regime,base,0.18,hard_experts,78,0.3052510082421974,0.6263499995952679,0.24989794871794865,0.7164715557015544,0.7235576126490982,0.9794684681082665,11,0.43723346514996236,21,0.929499883827244,3.3005001161727563,79,0.8582995951417004,0.8522878325833991,61.0,113.0,73.0
