experiment,policy,params,skip_cap,label_aware,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_pred,sep21_0720_err,retrains
current_recent_cap1|base,current_recent_cap1,base,1,False,0.19403519113703102,0.4932925067793891,0.24673468354430375,0.8257687565860614,0.3548431742005807,0.5668046546512737,11,0.2410953911304961,21,0.5143920988325457,3.7156079011674548,79
current_recent_cap1|cfg19_balanced,current_recent_cap1,cfg19_balanced,1,False,0.19178775003797804,0.4865462332270841,0.24673468354430375,0.8305017462116193,0.34745514058638494,0.555765268163214,11,0.24024589684113243,21,0.5343919573031777,3.695608042696823,79
current_recent_cap1|cfg39_aug_focus,current_recent_cap1,cfg39_aug_focus,1,False,0.1836575910657078,0.4811760462405582,0.24673468354430375,0.8342227245912831,0.3224163115924034,0.5196848020106947,11,0.22019044372451035,21,0.49793003770785044,3.73206996229215,79
current_recent_cap2|base,current_recent_cap2,base,2,False,0.18376733576957605,0.4807173242682989,0.24673468354430375,0.8345386564869834,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.5611062056826452,3.668893794317355,79
current_recent_cap2|cfg19_balanced,current_recent_cap2,cfg19_balanced,2,False,0.18607542550486192,0.4828603684053306,0.24673468354430375,0.8330601104485523,0.35737779200176667,0.5623730617929276,11,0.24098429624700923,21,0.5431853932167037,3.6868146067832965,79
current_recent_cap2|cfg39_aug_focus,current_recent_cap2,cfg39_aug_focus,2,False,0.19091343840475147,0.48916656603178266,0.24673468354430375,0.8286711377940529,0.3216343825959559,0.5191573879775396,11,0.22089117468138122,21,0.5334565773918138,3.696543422608187,79
current_recent_cap4|base,current_recent_cap4,base,4,False,0.17985319361338775,0.46736784537115417,0.24673468354430375,0.8436007526288571,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.6798783732118225,3.5501216267881777,79
current_recent_cap4|cfg19_balanced,current_recent_cap4,cfg19_balanced,4,False,0.17940949410749904,0.4671668543285362,0.24673468354430375,0.8437352423625591,0.35737779200176667,0.5623730617929276,11,0.24098429624700923,21,0.6724995351548595,3.557500464845141,79
current_recent_cap4|cfg39_aug_focus,current_recent_cap4,cfg39_aug_focus,4,False,0.1877360963561572,0.4752187425324788,0.24673468354430375,0.8383021964484918,0.3216343825959559,0.5191573879775396,11,0.22089117468138122,21,0.6256002729583312,3.6043997270416694,79
rare_event_4|base,rare_event_4,base,4,False,0.18031166953185143,0.4677867959250982,0.24673468354430375,0.8433202330348417,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.6837465782261437,3.546253421773857,79
rare_event_4|cfg19_balanced,rare_event_4,cfg19_balanced,4,False,0.18134245159412304,0.46955691599782273,0.24673468354430375,0.8421322271382301,0.35737779200176667,0.5623730617929276,11,0.24098429624700923,21,0.6575353894358964,3.5724646105641042,79
rare_event_4|cfg39_aug_focus,rare_event_4,cfg39_aug_focus,4,False,0.1869383077649902,0.4735897472185464,0.24673468354430375,0.8394088594637699,0.3216343825959559,0.5191573879775396,11,0.22089117468138122,21,0.6282851477499924,3.6017148522500078,79
feature_balanced_6|base,feature_balanced_6,base,6,False,0.1893783809173992,0.4728736273188714,0.24673468354430375,0.8398941552873709,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.7096250158709478,3.5203749841290524,79
feature_balanced_6|cfg19_balanced,feature_balanced_6,cfg19_balanced,6,False,0.19097397667919735,0.4739766514578443,0.24673468354430375,0.8391463589611547,0.35737779200176667,0.5623730617929276,11,0.24098429624700923,21,0.6897320304644998,3.540267969535501,79
feature_balanced_6|cfg39_aug_focus,feature_balanced_6,cfg39_aug_focus,6,False,0.18922502583863174,0.47819022856765514,0.24673468354430375,0.8362737202008024,0.3216343825959559,0.5191573879775396,11,0.22089117468138122,21,0.6092030370798207,3.6207969629201795,79
label_dynamics_4|base,label_dynamics_4,base,4,True,0.19060735942817714,0.47501809163717656,0.24673468354430375,0.8384387144625611,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.6822428601243592,3.547757139875641,79
label_dynamics_4|cfg19_balanced,label_dynamics_4,cfg19_balanced,4,True,0.1850776069190939,0.4705050941706853,0.24673468354430375,0.8414940173584294,0.35737779200176667,0.5623730617929276,11,0.24098429624700923,21,0.6717160172774858,3.558283982722515,79
label_dynamics_4|cfg39_aug_focus,label_dynamics_4,cfg39_aug_focus,4,True,0.19272884998710355,0.48115641636598133,0.24673468354430375,0.8342362502884624,0.3216343825959559,0.5191573879775396,11,0.22089117468138122,21,0.6252316109982596,3.604768389001741,79
