,importance
stage_x_salt_conc,0.16333562
ec0_x_p48_salt,0.106216304
ec0,0.08677633
ec_log_anchor,0.05876027
phys_dry_salt_pressure,0.05459171
soil_temp_mean,0.049003042
irr_to_et0,0.044119243
phys_water_min_frac,0.042842515
log_ec_drive,0.039421637
prev_ec_slope,0.03846552
phys_salt_add_per_water,0.030877907
phys_water_t1_frac,0.029032044
phys_water_t0_frac,0.027311662
salt_conc_t0_t1,0.025011476
temp_trend,0.023542114
irr_total_t0_t1,0.019510115
rad_t1_log,0.015757125
salt_event_pos,0.013012356
salt_recency_pressure,0.012840821
timing_balance,0.011150393
phys_salt_added_ecml,0.010299729
hrs_since_fert,0.010018079
phys_theory_ec_t1,0.009971278
hist_hrs_since_fert,0.009763755
phys_leach_salt_ecml,0.008647692
hrs_since_irr,0.008625964
hour_cos_b,0.0084706005
hour_sin_b,0.007762204
irr_after_last_salt,0.0067622955
hist_major_last_event_salt_conc_t1,0.0058060167
hrs_since_last_salt_event,0.005766772
phys_theory_ec_delta,0.0056737093
recent_salt_conc_2h,0.004588464
phys_leach_ml,0.0037824854
last_event_salt_conc,0.002482813
