experiment,feature_mode,params,capacity_ml,et_scale,salt_to_ecml,n_features,n_eval,mae,mae_nonzero,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_true,sep21_0720_pred,sep21_0720_err,retrains
replace10|huber2_cfg19|cap4000|et250|alpha8,replace10,huber2_cfg19,4000,250,8.0,25,78.0,0.1736448698484201,0.1758710861285281,0.4408004629632935,0.2467346835443037,0.8608763116088824,0.3358375830704113,0.4889222188962133,11.0,0.2223890871048915,21.0,4.23,0.839223255277745,3.390776744722255,79.0
replace10|huber2_cfg19|cap4000|et250|alpha4,replace10,huber2_cfg19,4000,250,4.0,25,78.0,0.1767005357003874,0.1789659271837257,0.4431513842166236,0.2467346835443037,0.8593883775362163,0.3396995086981531,0.4935648381067252,11.0,0.2235718939462272,21.0,4.23,0.8506366309860244,3.379363369013976,79.0
add10|huber2_cfg19|cap4000|et250|alpha8,add10,huber2_cfg19,4000,250,8.0,35,78.0,0.1781781182659876,0.1804624531155516,0.4540635245971489,0.2467346835443037,0.852378290260692,0.3172919676078394,0.4894727860335894,11.0,0.2174997987606802,21.0,4.23,0.7444085172929594,3.485591482707041,79.0
add10|huber2_cfg19|cap4000|et250|alpha4,add10,huber2_cfg19,4000,250,4.0,35,78.0,0.1798199158698193,0.1821252994066118,0.4555342035972589,0.2467346835443037,0.8514204694755744,0.3002098717124328,0.4811556367034956,11.0,0.2092019857876885,21.0,4.23,0.7409244402147094,3.489075559785291,79.0
add10_importance_source|huber2_cfg19|cap4000|et250|alpha4,,,4000,250,4.0,35,,0.1798199158698193,0.18212529940661185,0.45553420359725894,,0.8514204694755744,0.30020987171243285,,,0.2092019857876885,,,0.7409244402147094,3.489075559785291,
top25_from_add10|huber2_cfg19|cap4000|et250|alpha8,,,4000,250,8.0,25,,0.1815085177596738,0.18383555003864396,0.4499283850258152,,0.8550548177947412,0.34395576144608975,,,0.22555172160881987,,,0.7676043444666348,3.4623956555333657,
add10|huber2_cfg19|cap2500|et250|alpha4,add10,huber2_cfg19,2500,250,4.0,35,78.0,0.1816469339301223,0.1839757407753802,0.453389668365584,0.2467346835443037,0.8528161232498811,0.3153975771555825,0.4875360095690511,11.0,0.2160726804521308,21.0,4.23,0.7828112845882237,3.4471887154117766,79.0
add10|huber2_cfg19|cap1200|et250|alpha4,add10,huber2_cfg19,1200,250,4.0,35,78.0,0.1845356833007082,0.186901525394307,0.4596991536598177,0.2467346835443037,0.8486911232040627,0.320253021726346,0.4783307959876757,11.0,0.2136757866071337,21.0,4.23,0.6911176442410447,3.538882355758956,79.0
add10|huber2_cfg19|cap1200|et250|alpha8,add10,huber2_cfg19,1200,250,8.0,35,78.0,0.1859049755005088,0.1882883726223102,0.4626849301125924,0.2467346835443037,0.8467192177506132,0.3228868766717332,0.4827064971502787,11.0,0.2169697364873815,21.0,4.23,0.6725502882481075,3.557449711751893,79.0
top25_from_add10|huber2_cfg19|cap4000|et250|alpha4,,,4000,250,4.0,25,,0.1868170018924363,0.18921209166028805,0.45404836317828845,,0.8523881484284876,0.3560794975454412,,,0.23256754150130876,,,0.770369833835582,3.4596301661644184,
replace10|huber2_cfg19|cap2500|et250|alpha8,replace10,huber2_cfg19,2500,250,8.0,25,78.0,0.1907030101720256,0.1931479205588464,0.4577147075674226,0.2467346835443037,0.8499946549201853,0.3511159156338805,0.4885127150482179,11.0,0.2315506487598277,21.0,4.23,0.7714617398789197,3.458538260121081,79.0
top25_from_add10|huber2_cfg19|cap1200|et250|alpha4,,,1200,250,4.0,25,,0.19237167861754856,0.19483798218956844,0.46043128886314044,,0.8482087783071136,0.342559137254054,,,0.2228501320719658,,,0.7367832671647663,3.493216732835234,
