experiment,target_mode,weight_mode,params,n_eval,mae,mae_nonzero,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_pred,sep21_0720_err,retrains
log_ratio|base|base,log_ratio,base,base,78,0.17985319361338775,0.1821590037879184,0.46736784537115417,0.24673468354430375,0.8436007526288571,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.6798783732118225,3.5501216267881777,79
log_ratio|event_dates_x5|base,log_ratio,event_dates_x5,base,78,0.18975081958126458,0.19218352239640904,0.4781620296866499,0.24673468354430375,0.8362930295110995,0.34008877401438115,0.5614929295889137,11,0.2270481861927744,21,0.6366264607492849,3.593373539250716,79
log_ratio|mechanism_x5|base,log_ratio,mechanism_x5,base,78,0.2099627377767949,0.21265456774829225,0.49818450497264666,0.24673468354430375,0.8222959073010468,0.49577410527847515,0.6599421023610369,11,0.30807713873445663,21,0.6320933905254198,3.5979066094745806,79
log_ratio|spike_flush_x8|base,log_ratio,spike_flush_x8,base,78,0.21428692604871857,0.21703419433139445,0.5277239906295286,0.24673468354430375,0.8005974651620471,0.3950914739934124,0.5659637840303108,11,0.25887681900486936,21,0.6104665566698944,3.619533443330106,79
delta|base|base,delta,base,base,78,0.20616474593405953,0.20880788370244494,0.48415766159108103,0.24673468354430375,0.8321618759986893,0.4366482362672415,0.5822829694986008,11,0.28418140587766605,21,0.6136316264271736,3.616368373572827,79
delta|event_dates_x5|base,delta,event_dates_x5,base,78,0.21083503815685234,0.21353805146655555,0.4770476268645985,0.24673468354430375,0.8370552101394029,0.41162069612264623,0.5222706995656041,11,0.27414536259923666,21,0.6248521933555603,3.6051478066444402,79
delta|mechanism_x5|base,delta,mechanism_x5,base,78,0.2197879341852292,0.22260572821324495,0.4949759735284476,0.24673468354430375,0.8245775242162496,0.47052943287448445,0.6167620059146689,11,0.33512239388249465,21,0.6053452322483063,3.6246547677516943,79
delta|spike_flush_x8|base,delta,spike_flush_x8,base,78,0.21216480260364706,0.21488486417548877,0.4730250456432933,0.24673468354430375,0.8397916042515727,0.414163833895163,0.5397763411374354,11,0.2780636583573478,21,0.6758688668012619,3.5541311331987386,79
asinh_delta_0p5|base|base,asinh_delta_0p5,base,base,78,0.20672611564114068,0.20937645045705275,0.4850984569279114,0.24673468354430375,0.8315089699284793,0.45637823661995436,0.5739142509506419,11,0.2889777331933884,21,0.6303488397599609,3.5996511602400396,79
asinh_delta_0p5|event_dates_x5|base,asinh_delta_0p5,event_dates_x5,base,78,0.21363391754795433,0.21637281392677415,0.48364400161118654,0.24673468354430375,0.832517817881679,0.452787648128213,0.5552844276864368,11,0.28481814460735333,21,0.6238678381327111,3.6061321618672895,79
asinh_delta_0p5|mechanism_x5|base,asinh_delta_0p5,mechanism_x5,base,78,0.22454577429394973,0.2274245662720773,0.5014413441894274,0.24673468354430375,0.8199648615582696,0.5276124827494212,0.6352381695117265,11,0.33029546943431426,21,0.5919685606040683,3.638031439395932,79
asinh_delta_0p5|spike_flush_x8|base,asinh_delta_0p5,spike_flush_x8,base,78,0.21004201401737096,0.212734860350927,0.4735772044989795,0.24673468354430375,0.8394173656570709,0.4277143042889025,0.5405233605223162,11,0.2774632387774349,21,0.6795152095117296,3.550484790488271,79
log_ratio|base|cfg19_balanced,log_ratio,base,cfg19_balanced,78,0.17940949410749904,0.18170961582682596,0.4671668543285362,0.24673468354430375,0.8437352423625591,0.35737779200176667,0.5623730617929276,11,0.24098429624700923,21,0.6724995351548595,3.557500464845141,79
log_ratio|base|cfg39_aug_focus,log_ratio,base,cfg39_aug_focus,78,0.1877360963561572,0.19014296938636435,0.4752187425324788,0.24673468354430375,0.8383021964484918,0.3216343825959559,0.5191573879775396,11,0.22089117468138122,21,0.6256002729583312,3.6043997270416694,79
log_ratio|mechanism_x5|cfg19_balanced,log_ratio,mechanism_x5,cfg19_balanced,78,0.20953343166642155,0.21221975771342697,0.49743107706551665,0.24673468354430375,0.8228330014070926,0.47773828016492775,0.6412929821879442,11,0.2986188289439348,21,0.6260384602483062,3.603961539751694,79
log_ratio|mechanism_x5|cfg39_aug_focus,log_ratio,mechanism_x5,cfg39_aug_focus,78,0.19419617133624348,0.1966858658405543,0.47868629391190687,0.24673468354430375,0.8359338510191398,0.4486837493508103,0.6061529160029159,11,0.28231532195324077,21,0.6418461205496917,3.5881538794503087,79
log_ratio|spike_flush_x8|cfg19_balanced,log_ratio,spike_flush_x8,cfg19_balanced,78,0.21070325769843762,0.21340458151508424,0.5235141709462022,0.24673468354430375,0.8037661687197759,0.3711677717218519,0.5551661261860175,11,0.24483514638489706,21,0.6069694404424887,3.623030559557512,79
log_ratio|spike_flush_x8|cfg39_aug_focus,log_ratio,spike_flush_x8,cfg39_aug_focus,78,0.19831001888463146,0.200852455024178,0.47938517659845403,0.24673468354430375,0.8354544276619327,0.3662452678257051,0.5407963557399568,11,0.2431030208237333,21,0.6392778192553336,3.5907221807446668,79
delta|base|cfg19_balanced,delta,base,cfg19_balanced,78,0.2075284179340737,0.21018903867681824,0.4860842701298686,0.24673468354430375,0.8308234618477197,0.4645823538526623,0.6067796107974358,11,0.29936264371815896,21,0.6266418079137802,3.6033581920862203,79
delta|base|cfg39_aug_focus,delta,base,cfg39_aug_focus,78,0.2208706849925173,0.2237023604411393,0.4855108117667778,0.24673468354430375,0.8312223987375532,0.451997162228931,0.5497679374370603,11,0.2912593959600088,21,0.6997640261650085,3.530235973834992,79
delta|mechanism_x5|cfg19_balanced,delta,mechanism_x5,cfg19_balanced,78,0.22234377154483867,0.22519433271849046,0.4968794764505136,0.24673468354430375,0.823225704018942,0.47156687874632136,0.6207554855590123,11,0.3320996650065943,21,0.6038089001774788,3.6261910998225217,79
delta|mechanism_x5|cfg39_aug_focus,delta,mechanism_x5,cfg39_aug_focus,78,0.22555877460647747,0.22845055376809897,0.49238222882218446,0.24673468354430375,0.8264111848657082,0.4520560931840809,0.5877450849124329,11,0.3091115609080735,21,0.6956544945240021,3.5343455054759985,79
delta|spike_flush_x8|cfg19_balanced,delta,spike_flush_x8,cfg19_balanced,78,0.20855326665406929,0.21122702648296765,0.4697007321961552,0.24673468354430375,0.8420355086402258,0.40375494750044555,0.5292148769439818,11,0.2725437609070824,21,0.6854959110021591,3.5445040889978414,79
delta|spike_flush_x8|cfg39_aug_focus,delta,spike_flush_x8,cfg39_aug_focus,78,0.22928451313589565,0.23222405817609945,0.49037405277504026,0.24673468354430375,0.8278242579042396,0.4691722080497307,0.5648424811623252,11,0.3075089221497377,21,0.6785602400302887,3.551439759969712,79
asinh_delta_0p5|base|cfg19_balanced,asinh_delta_0p5,base,cfg19_balanced,78,0.2054187659235028,0.20805233984559898,0.4851513261181588,0.24673468354430375,0.8314722414267837,0.4478319343703564,0.5708514904548874,11,0.2883589688037008,21,0.6163844882266167,3.613615511773384,79
asinh_delta_0p5|base|cfg39_aug_focus,asinh_delta_0p5,base,cfg39_aug_focus,78,0.19767404992793783,0.20020833261932164,0.48160245217553027,0.24673468354430375,0.8339287792222033,0.40817911518379996,0.5491027625925746,11,0.2548375556019745,21,0.6666527479781656,3.5633472520218348,79
asinh_delta_0p5|mechanism_x5|cfg19_balanced,asinh_delta_0p5,mechanism_x5,cfg19_balanced,78,0.2244100951701465,0.22728714767232788,0.4982507672813433,0.24673468354430375,0.8222486321794117,0.5273690007700913,0.6251454164316902,11,0.3298510784927975,21,0.6036417441687907,3.6263582558312097,79
asinh_delta_0p5|mechanism_x5|cfg39_aug_focus,asinh_delta_0p5,mechanism_x5,cfg39_aug_focus,78,0.21816032109042893,0.22095724828389599,0.49110471083435514,0.24673468354430375,0.8273107914385976,0.5002673203020782,0.6035879427905639,11,0.2975586058059049,21,0.6756817030433968,3.5543182969566036,79
asinh_delta_0p5|spike_flush_x8|cfg19_balanced,asinh_delta_0p5,spike_flush_x8,cfg19_balanced,78,0.20635757838916935,0.20900318836851767,0.47109210655813855,0.24673468354430375,0.8410982596124801,0.41792840065598275,0.5302826008083522,11,0.2694361425938589,21,0.6842443898666333,3.545755610133367,79
asinh_delta_0p5|spike_flush_x8|cfg39_aug_focus,asinh_delta_0p5,spike_flush_x8,cfg39_aug_focus,78,0.20982355112789217,0.21251359665517283,0.4797567082405734,0.24673468354430375,0.8351992776089933,0.4270697980131958,0.5503011750200661,11,0.2738223206213677,21,0.6720617052425855,3.557938294757415,79
