target,model,selection_basis,rows,mae,rmse,r2
ph,kalman_selected_seasonal24h,best_pre_holdout_cv,54,0.4514329233773676,0.5939722418505885,0.8625803369641705
ph,kalman_best_holdout_seasonal24h,exploratory_holdout_best,54,0.4514329233773676,0.5939722418505885,0.8625803369641705
ph,v7_24h,committed_export,54,0.33205311411370847,0.42920354011461614,0.9282464866098395
ph,v7_48h,committed_export,54,0.3400887216572408,0.44953166017135077,0.9212886885335079
ph,naive_previous_value,committed_export,54,0.8266666666666665,1.0566491411094827,0.5651112342386773
ec,kalman_selected_delta_regression,best_pre_holdout_cv,69,0.3313362813627449,0.6992995371494597,0.6398787858638735
ec,kalman_best_holdout_local_trend,exploratory_holdout_best,69,0.2511530090208538,0.610419274643625,0.72560341563372
ec,v7_24h,committed_export,69,0.17906202291977955,0.49292257937014045,0.8210714473716223
ec,v7_48h,committed_export,69,0.17906202291977955,0.49292257937014045,0.8210714473716223
ec,naive_previous_value,committed_export,69,0.18136289855072465,0.48750419373595644,0.8249835235003402
