timestamp,ph,ec_ms
2025-06-12 11:50:00,6.71,0.29
2025-06-29 12:10:00,8.2,0.29
2025-07-07 11:00:00,7.11,0.361
2025-07-16 14:00:00,6.75,0.387
2025-07-20 12:50:00,6.86,0.52
2025-07-23 11:30:00,6.81,0.325
2025-07-23 17:30:00,8.14,0.3605
2025-07-24 11:00:00,9.49,0.5821
2025-07-24 15:10:00,9.22,0.5503
2025-07-27 14:10:00,7.65,0.3771
2025-07-28 09:00:00,7.63,0.5411
2025-07-29 15:20:00,8.06,1.406
2025-07-30 08:30:00,7.78,0.9185
2025-07-31 09:00:00,7.55,2.7
2025-07-31 12:00:00,7.25,0.4112
2025-08-03 09:00:00,7.95,0.911
2025-08-03 14:10:00,8.32,0.8713
2025-08-04 09:20:00,7.83,0.956
2025-08-04 15:30:00,8.74,2.64
2025-08-05 08:00:00,7.72,1.98
2025-08-05 14:10:00,8.5,2.47
2025-08-06 10:00:00,7.75,1.045
2025-08-06 16:30:00,8.83,2.25
2025-08-07 10:00:00,8.05,2.36
2025-08-07 13:00:00,8.11,2.3
2025-08-10 08:20:00,7.48,2.18
2025-08-10 15:20:00,8.7,4.18
2025-08-11 08:10:00,7.44,3.29
2025-08-12 08:30:00,7.81,1.473
2025-08-13 11:20:00,7.41,2.13
2025-08-14 12:30:00,8.12,2.39
2025-08-14 16:20:00,8.63,2.52
2025-08-17 08:10:00,7.07,1.145
2025-08-17 12:40:00,9.3,2.68
2025-08-18 08:30:00,8.29,1.932
2025-08-18 14:40:00,9.19,2.93
2025-08-19 12:30:00,9.61,1.752
2025-08-19 17:30:00,9.08,1.354
2025-08-20 12:00:00,9.21,0.9119
2025-08-20 12:20:00,8.37,0.8451
2025-08-21 13:00:00,8.14,0.738
2025-08-21 15:00:00,7.54,0.82782
2025-08-25 09:00:00,9.07,0.327
2025-08-25 16:00:00,9.86,0.327
2025-08-26 12:00:00,7.37,0.266
2025-08-26 16:30:00,7.36,0.314
2025-08-27 11:40:00,7.76,0.181
2025-08-27 14:10:00,8.93,0.294
2025-08-28 13:30:00,7.62,0.358
2025-08-28 15:00:00,10.29,0.174
2025-08-31 08:20:00,7.73,0.18
2025-08-31 12:30:00,10.49,0.167
2025-09-01 08:30:00,9.76,0.292
2025-09-01 12:30:00,10.38,0.306
2025-09-02 08:30:00,8.0,0.168
2025-09-02 15:00:00,10.34,0.299
2025-09-03 09:00:00,8.87,0.301
2025-09-03 15:20:00,10.32,0.308
2025-09-07 08:50:00,8.25,0.334
2025-09-07 15:30:00,10.01,0.1548
2025-09-08 09:30:00,8.8,0.326
2025-09-08 13:50:00,9.76,0.156
2025-09-09 08:30:00,7.9,0.348
2025-09-09 14:10:00,9.9,0.3
2025-09-09 15:40:00,9.88,0.347
2025-09-09 18:40:00,9.33,0.161
2025-09-10 07:50:00,7.87,0.342
2025-09-10 11:30:00,9.5,0.292
2025-09-10 13:50:00,10.16,0.303
2025-09-10 15:50:00,10.22,0.306
2025-09-11 07:50:00,7.81,0.336
2025-09-11 11:20:00,9.24,0.17
2025-09-11 13:30:00,9.39,0.348
2025-09-11 14:10:00,10.06,0.325
2025-09-11 17:20:00,9.56,0.288
2025-09-11 18:10:00,9.05,0.349
2025-09-14 08:30:00,8.48,0.177
2025-09-14 11:30:00,9.26,0.286
2025-09-14 12:20:00,9.65,0.316
2025-09-14 15:10:00,9.95,0.156
2025-09-14 18:00:00,9.36,0.307
2025-09-15 08:10:00,7.92,0.198
2025-09-15 12:00:00,9.45,0.321
2025-09-15 14:10:00,10.13,0.332
2025-09-15 15:30:00,10.2,0.334
2025-09-15 17:40:00,9.09,0.383
2025-09-16 06:40:00,7.66,0.358
2025-09-16 08:50:00,8.14,0.183
2025-09-16 10:00:00,7.94,0.414
2025-09-16 12:10:00,9.5,0.302
2025-09-16 13:50:00,9.88,0.309
2025-09-17 08:50:00,8.3,0.215
2025-09-17 11:50:00,8.88,0.128
2025-09-17 13:30:00,9.78,0.333
2025-09-17 15:20:00,9.85,0.221
2025-09-18 07:10:00,7.76,0.47
2025-09-18 09:40:00,6.97,0.795
2025-09-18 10:30:00,6.71,0.968
2025-09-18 12:00:00,7.27,0.98
2025-09-18 13:10:00,7.08,0.662
2025-09-18 14:10:00,6.65,0.709
2025-09-18 15:10:00,6.8,0.68
2025-09-21 06:30:00,6.19,0.501
2025-09-21 07:20:00,4.75,4.23
2025-09-21 08:40:00,4.75,4.97
2025-09-21 10:30:00,5.17,4.52
2025-09-21 11:40:00,5.25,4.4
2025-09-21 13:40:00,5.33,4.53
2025-09-21 15:30:00,5.4,3.87
