name,features,params,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,sep21_ec_pred,sep21_ec_err,top_feature,top_importance,t1_morning_importance,top5_sum,top10_sum
ph_priority_default,40,{},0.9404805343881609,0.9748286691054737,0.28966504820549566,0.1278183101123495,3.1880865855404292,1.0419134144595712,t1_morning,0.4396648705005646,0.4396648705005646,0.6562948226928711,0.7494248151779175
ph_priority_depth3_col35,40,"{'max_depth': 3, 'min_child_weight': 5, 'reg_alpha': 4.0, 'reg_lambda': 4.0, 'colsample_bytree': 0.35}",0.9303758868334153,0.9754817924543271,0.3160575783848331,0.1218364310907319,3.1880865855404292,1.0419134144595712,t1_morning,0.27384239435195923,0.27384239435195923,0.537903368473053,0.6617338061332703
ph_priority_depth3_col30,40,"{'max_depth': 3, 'min_child_weight': 5, 'reg_alpha': 4.0, 'reg_lambda': 5.0, 'colsample_bytree': 0.3}",0.9305527741313993,0.9767916081207516,0.31550392423748835,0.12140312109768103,3.1880865855404292,1.0419134144595712,t1_morning,0.3050936758518219,0.3050936758518219,0.5813601613044739,0.711220920085907
ph_priority_depth2_col65,40,"{'max_depth': 2, 'min_child_weight': 4, 'reg_alpha': 4.0, 'reg_lambda': 5.0, 'colsample_bytree': 0.65, 'n_estimators': 850, 'learning_rate': 0.045}",0.930549704716297,0.969531271746097,0.3116454119517184,0.14236698109259083,3.1880865855404292,1.0419134144595712,t1_morning,0.2733789086341858,0.2733789086341858,0.5566240549087524,0.6926435232162476
ph_priority_depth2_col50,40,"{'max_depth': 2, 'min_child_weight': 4, 'reg_alpha': 4.0, 'reg_lambda': 5.0, 'colsample_bytree': 0.5, 'n_estimators': 850, 'learning_rate': 0.045}",0.929353477296242,0.9683809177345155,0.3131002047678449,0.14283398250481663,3.1880865855404292,1.0419134144595712,t1_morning,0.22240298986434937,0.22240298986434937,0.5219002962112427,0.6840245723724365
safe_A_default,40,{},0.935487875814905,0.9829126733334753,0.292649861504944,0.11835328859740127,4.768437400006657,0.5384374000066563,t1_morning,0.38697850704193115,0.38697850704193115,0.6608235836029053,0.7518830895423889
safe_A_depth3_col35,40,"{'max_depth': 3, 'min_child_weight': 5, 'reg_alpha': 4.0, 'reg_lambda': 4.0, 'colsample_bytree': 0.35}",0.9263217666137323,0.980394897537153,0.3162098149093057,0.12227509036740691,4.768437400006657,0.5384374000066563,t1_morning,0.44616377353668213,0.44616377353668213,0.6972894668579102,0.7828202247619629
safe_A_depth3_col30,40,"{'max_depth': 3, 'min_child_weight': 5, 'reg_alpha': 4.0, 'reg_lambda': 5.0, 'colsample_bytree': 0.3}",0.9234556967495102,0.9797181220592613,0.32305808628995814,0.1220234771537284,4.768437400006657,0.5384374000066563,t1_morning,0.47902095317840576,0.47902095317840576,0.6898279786109924,0.7879736423492432
safe_A_depth2_col65,40,"{'max_depth': 2, 'min_child_weight': 4, 'reg_alpha': 4.0, 'reg_lambda': 5.0, 'colsample_bytree': 0.65, 'n_estimators': 850, 'learning_rate': 0.045}",0.9229299967928347,0.9836615906859992,0.3226507351051258,0.11915849756271148,4.768437400006657,0.5384374000066563,t1_morning,0.26799440383911133,0.26799440383911133,0.5717521905899048,0.7135996222496033
safe_A_depth2_col50,40,"{'max_depth': 2, 'min_child_weight': 4, 'reg_alpha': 4.0, 'reg_lambda': 5.0, 'colsample_bytree': 0.5, 'n_estimators': 850, 'learning_rate': 0.045}",0.9223251911682774,0.982320399392731,0.32549693550854003,0.1225644674281224,4.768437400006657,0.5384374000066563,t1_morning,0.208658829331398,0.208658829331398,0.5140054225921631,0.6877924799919128
balanced_I_default,40,{},0.9387467907581885,0.9804051014976117,0.2994636949106424,0.12471308087221837,4.751544296113184,0.5215442961131833,t1_morning,0.3268786370754242,0.3268786370754242,0.6510752439498901,0.7555503845214844
balanced_I_depth3_col35,40,"{'max_depth': 3, 'min_child_weight': 5, 'reg_alpha': 4.0, 'reg_lambda': 4.0, 'colsample_bytree': 0.35}",0.9343931183389236,0.9798168541695121,0.30403344665249726,0.12796739572415652,4.751544296113184,0.5215442961131833,t1_morning,0.447313129901886,0.447313129901886,0.6644263863563538,0.7623558640480042
balanced_I_depth3_col30,40,"{'max_depth': 3, 'min_child_weight': 5, 'reg_alpha': 4.0, 'reg_lambda': 5.0, 'colsample_bytree': 0.3}",0.9271574111939448,0.9808805439455398,0.3122798151582115,0.12527116195475815,4.751544296113184,0.5215442961131833,t1_morning,0.5200182795524597,0.5200182795524597,0.6953393816947937,0.7956132888793945
balanced_I_depth2_col65,40,"{'max_depth': 2, 'min_child_weight': 4, 'reg_alpha': 4.0, 'reg_lambda': 5.0, 'colsample_bytree': 0.65, 'n_estimators': 850, 'learning_rate': 0.045}",0.9266799250225854,0.9838024735624967,0.3258668394798931,0.11971574165446558,4.751544296113184,0.5215442961131833,t1_morning,0.20884674787521362,0.20884674787521362,0.5151115655899048,0.6637828946113586
balanced_I_depth2_col50,40,"{'max_depth': 2, 'min_child_weight': 4, 'reg_alpha': 4.0, 'reg_lambda': 5.0, 'colsample_bytree': 0.5, 'n_estimators': 850, 'learning_rate': 0.045}",0.9283067619323699,0.9814907683799233,0.31553424946510494,0.12412741432230816,4.751544296113184,0.5215442961131833,t1_morning,0.27079346776008606,0.27079346776008606,0.5638017654418945,0.704582154750824
