name,features,blend,removed,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,sep21_ec_pred,sep21_ec_err,sep21_ph_pred,sep21_ph_err,wf_huber
ph_prune_A,40,0.95,recent_salt_conc_2h+timing_balance+hrs_since_irr+hrs_since_fert+irr_total_t0_t1+last_event_salt_conc,0.9400188040300492,0.9677025949119937,0.2913122339703386,0.1330412205593397,2.913429191922265,1.3165708080777354,5.13892112386732,0.3889211238673198,2
ph_prune_A,40,1.0,recent_salt_conc_2h+timing_balance+hrs_since_irr+hrs_since_fert+irr_total_t0_t1+last_event_salt_conc,0.9404805343881609,0.9748286691054737,0.28966504820549566,0.1278183101123495,3.1880865855404292,1.0419134144595712,5.0932342888546485,0.34323428885464846,2
ph_prune_B,40,0.95,recent_salt_conc_2h+timing_balance+hrs_since_irr+hist_hrs_since_irr+irr_total_t0_t1+hist48_acid_prevday,0.9330120929260097,0.845910322697957,0.31124214660411503,0.17228916159334043,7.769416240081469,3.5394162400814686,3.5230588941794605,1.2269411058205395,2
ph_prune_B,40,1.0,recent_salt_conc_2h+timing_balance+hrs_since_irr+hist_hrs_since_irr+irr_total_t0_t1+hist48_acid_prevday,0.9308414729872907,0.7450966863959851,0.3123264114090462,0.19151894658003074,8.89210037675694,4.662100376756939,3.3974896525941363,1.3525103474058637,2
ph_prune_C,40,0.95,timing_balance+hrs_since_irr+hist_hrs_since_irr+hist48_acid_prevday+hour_cos_b+hrs_since_fert,0.9357414227605956,0.9684077428669581,0.30017601450578374,0.13287344474079382,3.1304045164918044,1.099595483508196,3.7938611964500595,0.9561388035499405,2
ph_prune_C,40,1.0,timing_balance+hrs_since_irr+hist_hrs_since_irr+hist48_acid_prevday+hour_cos_b+hrs_since_fert,0.9343421407825016,0.9745401515894482,0.3011754823681082,0.12826322779102936,3.4266996198964654,0.803300380103535,3.681069837737151,1.0689301622628489,2
ph_prune_D,40,0.95,recent_salt_conc_2h+timing_balance+hrs_since_irr+hist_hrs_since_irr+hour_cos_b+hist48_acid_prevday,0.9358927747040036,0.981316922159919,0.29688008843394664,0.1174404153435684,4.123024018986933,0.10697598101306749,3.5256572583981485,1.2243427416018515,2
ph_prune_D,40,1.0,recent_salt_conc_2h+timing_balance+hrs_since_irr+hist_hrs_since_irr+hour_cos_b+hist48_acid_prevday,0.9337644531428546,0.9802160544926951,0.2979064832752258,0.12193956235683545,4.561904628030362,0.3319046280303617,3.402446292834128,1.347553707165872,2
ph_prune_E,40,0.95,timing_balance+hrs_since_irr+hist_hrs_since_irr+hist48_acid_prevday+irr_total_t0_t1+h3po4_total,0.9381014226560042,0.9763483921433928,0.2952815900199406,0.13231185804434642,5.0746405574673945,0.8446405574673941,3.777156038010662,0.9728439619893381,2
ph_prune_E,40,1.0,timing_balance+hrs_since_irr+hist_hrs_since_irr+hist48_acid_prevday+irr_total_t0_t1+h3po4_total,0.9367391809195219,0.9612461553176948,0.29616040905268476,0.14247460323171338,5.677596944150747,1.4475969441507468,3.668457518339727,1.0815424816602728,2
ph_prune_F,40,0.95,timing_balance+hrs_since_irr+hrs_since_fert+hist_hrs_since_irr+hour_cos_b+hist48_acid_prevday,0.9357414227605956,0.9684077428669581,0.30017601450578374,0.13287344474079382,3.1304045164918044,1.099595483508196,3.7938611964500595,0.9561388035499405,2
ph_prune_F,40,1.0,timing_balance+hrs_since_irr+hrs_since_fert+hist_hrs_since_irr+hour_cos_b+hist48_acid_prevday,0.9343421407825016,0.9745401515894482,0.3011754823681082,0.12826322779102936,3.4266996198964654,0.803300380103535,3.681069837737151,1.0689301622628489,2
ph_prune_G,40,0.95,recent_salt_conc_2h+timing_balance+hist_hrs_since_irr+hist48_acid_prevday+hour_cos_b+hour_sin_b,0.9389545549913967,0.9646525674846866,0.29895918218394407,0.13627484577533505,2.914553424349552,1.3154465756504483,4.129389138367287,0.6206108616327128,2
ph_prune_G,40,1.0,recent_salt_conc_2h+timing_balance+hist_hrs_since_irr+hist48_acid_prevday+hour_cos_b+hour_sin_b,0.9381737358632765,0.9714252818444647,0.2994110289650311,0.13136140360182047,3.1735736758413564,1.056426324158644,4.035183889015215,0.7148161109847848,2
