name,features,max_rows,feat_mode,ec_weight,spec_mode,weight_mode,blend,gate_gap,n_train,n_spec,wf_ph_mae,wf_ph_r2,wf_ec_mae,wf_ec_r2,ho_ph_mae,ho_ph_r2,ho_ec_mae,ho_ec_r2,sep21_ec_mae,min_wf_r2,min_ho_r2,score
base_skip8,44,8,none,1.0,union,none,1.0,10.0,256,188,0.2621242018448865,0.9505558835155431,0.15014216129319985,0.9481007862944115,0.3605466401153409,0.9016021873506496,0.3194393693018191,0.6973097205340721,2.178170091963046,0.9481007862944115,0.6973097205340721,2.4995949870038916
base_skipNone,44,-1,none,1.0,union,none,1.0,10.0,256,188,0.2621242018448865,0.9505558835155431,0.15014216129319985,0.9481007862944115,0.3605466401153409,0.9016021873506496,0.3194393693018191,0.6973097205340721,2.178170091963046,0.9481007862944115,0.6973097205340721,2.4995949870038916
base_skip4,44,4,none,1.0,union,none,1.0,10.0,246,178,0.2613246488984017,0.952183930905102,0.14869115105819636,0.9509100046126626,0.3595482654942058,0.8992852696851424,0.3257835082479777,0.6848531843521721,2.2250307700896883,0.9509100046126626,0.6848531843521721,2.4917782617162625
extra_shock6,52,8,pressure,1.0,union,shock6,0.5,10.0,256,188,0.26991923071731877,0.9464729458904004,0.15976244668386275,0.9140082411144133,0.38387972833974693,0.8936767257832584,0.335211673728939,0.6728337632859771,2.2563096088480563,0.9140082411144133,0.6728337632859771,2.4018554214322436
base_skip8,44,8,none,1.0,union,none,0.85,10.0,256,188,0.2599111202902021,0.9519903635239182,0.16090556493061253,0.925005859117533,0.3559786495912262,0.9067048226720706,0.33599718221065533,0.6618791582346439,2.343748221051408,0.925005859117533,0.6618791582346439,2.4125103270414563
base_skipNone,44,-1,none,1.0,union,none,0.85,10.0,256,188,0.2599111202902021,0.9519903635239182,0.16090556493061253,0.925005859117533,0.3559786495912262,0.9067048226720706,0.33599718221065533,0.6618791582346439,2.343748221051408,0.925005859117533,0.6618791582346439,2.4125103270414563
extra_shock_gap,52,8,pressure,1.0,union,shock_gap,0.5,10.0,256,188,0.26732447316813,0.9482398078178853,0.17811160252415828,0.8978758658068701,0.3743033208047454,0.8980208935646457,0.3434593881665992,0.6487665145384688,2.3445450632744307,0.8978758658068701,0.6487665145384688,2.340204048014057
base_skip4,44,4,none,1.0,union,none,0.85,10.0,246,178,0.2587930775285236,0.9538240574149877,0.15945866830552388,0.9279027635373875,0.35477849718166243,0.9045215565556682,0.3422628140430123,0.6485366502641079,2.3898238280400337,0.9279027635373875,0.6485366502641079,2.4039978808691758
extra_shock6,52,8,pressure,1.0,union,shock6,0.7,10.0,256,188,0.26482741014505373,0.9481121321622434,0.14896288386524661,0.9527811816369745,0.39586935377093235,0.8804012343272445,0.34652089941183534,0.6404777710925478,2.3694018656770197,0.9481121321622434,0.6404777710925478,2.4376052787616183
extra_shock3,52,8,pressure,1.0,union,shock3,0.5,10.0,256,188,0.27010996199328347,0.9472112385622268,0.1799886786898727,0.8934209400820584,0.3866608387198247,0.8931831388660818,0.3469283896919147,0.6305891707678744,2.412192343547002,0.8934209400820584,0.6305891707678744,2.312047637255634
extra_shock_gap,52,8,pressure,1.0,union,shock_gap,0.7,10.0,256,188,0.261215816120422,0.9500318456753928,0.16717996389010142,0.9383424042061929,0.38696149927769063,0.8842852601717157,0.35100294732470083,0.6260957063424872,2.4199806548554466,0.9383424042061929,0.6260957063424872,2.3991439325119126
base_skip8,44,8,none,1.0,union,none,0.7,10.0,256,188,0.2576980387355177,0.9516918170581519,0.1696058853366432,0.9022320530942243,0.35141065906711144,0.9115509692657361,0.35126376348933197,0.6253626646420194,2.4964140338381746,0.9022320530942243,0.6253626646420194,2.3256528410652733
base_skipNone,44,-1,none,1.0,union,none,0.7,10.0,256,188,0.2576980387355177,0.9516918170581519,0.1696058853366432,0.9022320530942243,0.35141065906711144,0.9115509692657361,0.35126376348933197,0.6253626646420194,2.4964140338381746,0.9022320530942243,0.6253626646420194,2.3256528410652733
extra_shock6,52,8,pressure,1.0,union,shock6,0.85,10.0,256,188,0.26589209299481553,0.9471154889881688,0.13694418427664512,0.9738183548767323,0.4048615727890241,0.8694304168020768,0.35441493934512736,0.6169861661154026,2.44834226500994,0.9471154889881688,0.6169861661154026,2.4129453193673855
extra_shock3,52,8,pressure,1.0,union,shock3,0.7,10.0,256,188,0.26393309184478886,0.9490139194572138,0.1689969889242285,0.9347566534500071,0.3978862061488463,0.880470037015652,0.351675936944273,0.6156076936458645,2.459667816070585,0.9347566534500071,0.6156076936458645,2.3809864153721785
base_skip4,44,4,none,1.0,union,none,0.7,10.0,246,178,0.25626150615864557,0.9538936520413228,0.16817732575723085,0.9052642242245655,0.35000872886911916,0.9095080281417559,0.3574586835837311,0.6112442876829036,2.5417825234472224,0.9052642242245655,0.6112442876829036,2.3166455342638423
extra_shock_gap,52,8,pressure,1.0,union,shock_gap,0.85,10.0,256,188,0.2624711558093294,0.9490495331434409,0.1547660855767934,0.96110487405633,0.39645513351657014,0.8728940088394318,0.3562841860219783,0.609649853458722,2.4727930418282216,0.9490495331434409,0.609649853458722,2.405538865425849
extra_shock3,52,8,pressure,1.0,union,shock3,0.85,10.0,256,188,0.26520122149009373,0.9480327324688402,0.15637990627959225,0.9584423332997558,0.4063052316172938,0.8700293566294042,0.35494062538909343,0.6048288568822071,2.4923147005187896,0.9480327324688402,0.6048288568822071,2.3986302154861505
extra_skip4,52,4,pressure,1.0,union,none,1.0,10.0,246,178,0.27272948790172663,0.9469935932410503,0.18444750718125813,0.8786074039883808,0.3986359192747709,0.8698150303966121,0.3631442693126196,0.5956414482582726,2.513029113203282,0.8786074039883808,0.5956414482582726,2.2433379009362584
extra_shock3,52,8,pressure,1.0,union,shock3,1.0,10.0,256,188,0.2743159001401003,0.945051661736773,0.15864063646440768,0.9556971476054751,0.41472425708574134,0.8588122298562085,0.35797344189254676,0.594477143831605,2.5226428655533235,0.945051661736773,0.594477143831605,2.3812576516337605
extra_shock6,52,8,pressure,1.0,union,shock6,1.0,10.0,256,188,0.2748033248492791,0.9442108175950045,0.14048738624696996,0.9699424872632985,0.4138537918071158,0.8575902858507898,0.36184499939946574,0.5942322462698053,2.5226428655533235,0.9442108175950045,0.5942322462698053,2.3821874043305273
extra_skip8,52,8,pressure,1.0,union,none,1.0,10.0,256,188,0.2736498529378841,0.9442205560161221,0.1562120772229362,0.9574298816974651,0.40491667709153967,0.865211372413046,0.3624211071011249,0.5941397697035808,2.5226428655533235,0.9442205560161221,0.5941397697035808,2.378854244871013
extra_skipNone,52,-1,pressure,1.0,union,none,1.0,10.0,256,188,0.2736498529378841,0.9442205560161221,0.1562120772229362,0.9574298816974651,0.40491667709153967,0.865211372413046,0.3624211071011249,0.5941397697035808,2.5226428655533235,0.9442205560161221,0.5941397697035808,2.378854244871013
extra_shockwide,52,8,pressure,1.0,shockwide,none,1.0,10.0,256,188,0.2736498529378841,0.9442205560161221,0.1562120772229362,0.9574298816974651,0.40491667709153967,0.865211372413046,0.3624211071011249,0.5941397697035808,2.5226428655533235,0.9442205560161221,0.5941397697035808,2.378854244871013
extra_shock_gap,52,8,pressure,1.0,union,shock_gap,1.0,10.0,256,188,0.2715730445029385,0.9460732140686627,0.15747125404234902,0.9579558442767693,0.4059487677554496,0.8605688779028865,0.36126916839448847,0.5937256565640581,2.5226428655533235,0.9460732140686627,0.5937256565640581,2.3821240002140156
extra_ecw1.5,52,8,pressure,1.5,union,none,1.0,10.0,256,188,0.2731322066428311,0.9443243751806127,0.15852761661552903,0.9546633832757914,0.40352792463105996,0.8654649237577114,0.3672030701868093,0.5913440252579978,2.5232857711120005,0.9443243751806127,0.5913440252579978,2.3748466382587554
extra_ecw2.0,52,8,pressure,2.0,union,none,1.0,10.0,256,188,0.2761456235688972,0.9437256064678348,0.16964412083749583,0.9477532760629229,0.4143915863971122,0.8623578579244683,0.37083756855095923,0.5888808061686122,2.521489984705598,0.9437256064678348,0.5888808061686122,2.368235681226591
extra_ecw3.0,52,8,pressure,3.0,union,none,1.0,10.0,256,188,0.26679382257967554,0.9469302534216419,0.17011504680123324,0.9447070305802685,0.42175286731523354,0.8602966532704553,0.37423754161299005,0.5875114090997575,2.5215446633578074,0.9447070305802685,0.5875114090997575,2.3680549525774497
extra_ecw2.0,52,8,pressure,2.0,union,none,0.85,10.0,256,188,0.2667219306744026,0.9468113268800533,0.16909887307622679,0.9482084396357405,0.40677389641920625,0.8736055373851094,0.3749931120772624,0.5837622881940636,2.563045419968629,0.9468113268800533,0.5837622881940636,2.3685665449234725
extra_ecw3.0,52,8,pressure,3.0,union,none,0.85,10.0,256,188,0.2573397436994864,0.9499998695982595,0.17039718391839648,0.9438237122163621,0.4142503263049252,0.8715494558088003,0.3777528416414639,0.5834729544219821,2.556697663642546,0.9438237122163621,0.5834729544219821,2.3614903737427344
extra_ecw1.5,52,8,pressure,1.5,union,none,0.85,10.0,256,188,0.2638280756642088,0.9473820947164575,0.15686245771610838,0.9566390300092369,0.39540934269013406,0.8773098401511665,0.3733599302371601,0.5814365007640221,2.584854371615508,0.9473820947164575,0.5814365007640221,2.370156212606284
extra_ecw3.0,52,8,pressure,3.0,union,none,0.7,10.0,256,188,0.255732213823999,0.9509921540805721,0.18439024895710024,0.9178778910208889,0.4067477852946168,0.881950466873911,0.38101904124586133,0.5791741124021921,2.5893596596865214,0.9178778910208889,0.5791741124021921,2.3018480364033778
extra_ecw2.0,52,8,pressure,2.0,union,none,0.7,10.0,256,188,0.26514478678460973,0.9477704078545978,0.18259857887145595,0.9226167810484809,0.39915620644130023,0.8840166561690722,0.37886404914150784,0.5782065169056927,2.601754790611083,0.9226167810484809,0.5782065169056927,2.311147553400062
