kind,mask,max_rows,blend,n_train,n_spec,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho
ridge,shock,8,0.85,256,12,0.893334619855468,0.7983222382590102,0.3190218620229963,0.19895899926596575,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.7983222382590102,0.953340315885784
ridge,shock,8,1.0,256,12,0.8850968610392856,0.7953450940732896,0.32300887328201683,0.19957275527228038,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.7953450940732896,0.9479165132770204
huber,shock,8,0.85,256,12,0.8834436052246825,0.8012117209566187,0.32377212697832886,0.19835846832501325,0.9373809657432196,0.9609590311843176,0.3093954670000282,0.1504803572527915,0.48857997147276977,0.8012117209566187,0.9373809657432196
huber,shock,8,0.7,256,12,0.8934832292827097,0.804472708090182,0.3189468336683671,0.1976748438972351,0.9482272313027039,0.9179636921639087,0.2955634333804847,0.20481727077143513,1.0319491066592057,0.804472708090182,0.9179636921639087
huber,shock,8,1.0,256,12,0.8724245187624419,0.7983222032701233,0.3285974202882904,0.19895900650867904,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.7983222032701233,0.9113183249555913
ridge,shock,8,0.7,256,12,0.9009036726102128,0.8017590500947193,0.31503485076397564,0.1982441675717777,0.9559423417045692,0.890660915469517,0.27531858829888345,0.2299573976257197,1.2833503752020516,0.8017590500947193,0.890660915469517
huber,shock,8,0.5,256,12,0.9053457863912173,0.8094733924408,0.31251310932407184,0.19661400609598137,0.9546808987356211,0.7965565321580561,0.2795975167759722,0.2843170448490973,1.8269468474358277,0.8094733924408,0.7965565321580561
ridge,shock,8,0.5,256,12,0.9099555334112155,0.8071694561299044,0.30971883582093507,0.19710467321063288,0.9550222787469719,0.7693555046374655,0.2758907290889927,0.2975269647191582,1.9590460461364363,0.8071694561299044,0.7693555046374655
ridge,union,8,1.0,256,188,0.9411941706796695,0.9240161597948209,0.2800090761814986,0.1643987761937048,0.9013161136973081,0.7120037820332951,0.3596948127712719,0.3159745121071921,2.143521520016775,0.9240161597948209,0.7120037820332951
ridge,shock_plus_acid,8,1.0,256,188,0.9411941706796695,0.9240161597948209,0.2800090761814986,0.1643987761937048,0.9013161136973081,0.7120037820332951,0.3596948127712719,0.3159745121071921,2.143521520016775,0.9240161597948209,0.7120037820332951
huber,union,8,1.0,256,188,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9016021873506496,0.6973097205340721,0.3605466401153409,0.3194393693018191,2.178170091963046,0.9481007862944115,0.6973097205340721
huber,shock_plus_acid,8,1.0,256,188,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9016021873506496,0.6973097205340721,0.3605466401153409,0.3194393693018191,2.178170091963046,0.9481007862944115,0.6973097205340721
ridge,union,8,0.85,256,188,0.9451601410696845,0.9046552913579781,0.2751132634763224,0.1712520180810779,0.906511448999478,0.6731881677432052,0.3552545963487675,0.3332616313557667,2.3163927125025214,0.9046552913579781,0.6731881677432052
ridge,shock_plus_acid,8,0.85,256,188,0.9451601410696845,0.9046552913579781,0.2751132634763224,0.1712520180810779,0.906511448999478,0.6731881677432052,0.3552545963487675,0.3332616313557667,2.3163927125025214,0.9046552913579781,0.6731881677432052
knn3,shock,8,1.0,256,12,0.9330225320387475,0.8359586289190635,0.2901647035839192,0.19071462806247008,0.9573236919148088,0.6660525636780585,0.26410983735889515,0.33835299497717763,2.367306348716631,0.8359586289190635,0.6660525636780585
huber,union,8,0.85,256,188,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9067048226720706,0.6618791582346439,0.3559786495912262,0.33599718221065533,2.343748221051408,0.925005859117533,0.6618791582346439
huber,shock_plus_acid,8,0.85,256,188,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9067048226720706,0.6618791582346439,0.3559786495912262,0.33599718221065533,2.343748221051408,0.925005859117533,0.6618791582346439
ridge,union,8,0.7,256,188,0.9469952378833492,0.8865581132307785,0.27021745077114623,0.1769249566568005,0.911432723009393,0.6338106648312043,0.3508143799262632,0.34916709918995087,2.4754473908443635,0.8865581132307785,0.6338106648312043
ridge,shock_plus_acid,8,0.7,256,188,0.9469952378833492,0.8865581132307785,0.27021745077114623,0.1769249566568005,0.911432723009393,0.6338106648312043,0.3508143799262632,0.34916709918995087,2.4754473908443635,0.8865581132307785,0.6338106648312043
knn3,shock,8,0.85,256,12,0.9322820024434175,0.8343502869338276,0.29110431777961326,0.19108767884078312,0.9568891308694314,0.6333687044616305,0.2676031107954881,0.3509860304871326,2.493636703816181,0.8343502869338276,0.6333687044616305
huber,union,8,0.7,256,188,0.9516918170581519,0.9022320530942243,0.2576980387355177,0.1696058853366432,0.9115509692657361,0.6253626646420194,0.35141065906711144,0.35126376348933197,2.4964140338381746,0.9022320530942243,0.6253626646420194
huber,shock_plus_acid,8,0.7,256,188,0.9516918170581519,0.9022320530942243,0.2576980387355177,0.1696058853366432,0.9115509692657361,0.6253626646420194,0.35141065906711144,0.35126376348933197,2.4964140338381746,0.9022320530942243,0.6253626646420194
knn3,union,8,1.0,256,188,0.9161429198269179,0.8244818728770847,0.30573181099012614,0.18942174766611028,0.8842307909939018,0.6022915951853942,0.353334689726598,0.36039967439312703,2.587773142876125,0.8244818728770847,0.6022915951853942
knn3,shock_plus_acid,8,1.0,256,188,0.9161429198269179,0.8244818728770847,0.30573181099012614,0.18942174766611028,0.8842307909939018,0.6022915951853942,0.353334689726598,0.36039967439312703,2.587773142876125,0.8244818728770847,0.6022915951853942
knn3,shock,8,0.7,256,12,0.9315043330554474,0.8327810415030574,0.2920439319753073,0.19144967146567243,0.955202423690007,0.6008014503207283,0.27863080358826836,0.3627712776373937,2.6114891753187917,0.8327810415030574,0.6008014503207283
ridge,union,8,0.5,256,188,0.9461273416235061,0.8651553114126687,0.26711443667939566,0.18300686684960293,0.9175681039902337,0.5814707362821461,0.34489409181306324,0.3684251909930363,2.6680283088752175,0.8651553114126687,0.5814707362821461
ridge,shock_plus_acid,8,0.5,256,188,0.9461273416235061,0.8651553114126687,0.26711443667939566,0.18300686684960293,0.9175681039902337,0.5814707362821461,0.34489409181306324,0.3684251909930363,2.6680283088752175,0.8651553114126687,0.5814707362821461
knn3,union,8,0.85,256,188,0.9179893059956785,0.8247377004951056,0.30433635901859585,0.19007752535125436,0.8946776679618413,0.5796914793074563,0.34984849176079463,0.368748428777615,2.6712606867210047,0.8247377004951056,0.5796914793074563
knn3,shock_plus_acid,8,0.85,256,188,0.9179893059956785,0.8247377004951056,0.30433635901859585,0.19007752535125436,0.8946776679618413,0.5796914793074563,0.34984849176079463,0.368748428777615,2.6712606867210047,0.8247377004951056,0.5796914793074563
huber,union,8,0.5,256,188,0.9485979362974962,0.874860522018781,0.2670848352602188,0.17869574161263332,0.9176135154453724,0.5761525384802217,0.3453200054850978,0.36979026039267826,2.681679002871637,0.874860522018781,0.5761525384802217
huber,shock_plus_acid,8,0.5,256,188,0.9485979362974962,0.874860522018781,0.2670848352602188,0.17869574161263332,0.9176135154453724,0.5761525384802217,0.3453200054850978,0.36979026039267826,2.681679002871637,0.874860522018781,0.5761525384802217
knn3,shock,8,0.5,256,12,0.9304096674652846,0.8307483926218358,0.29329675097188623,0.1919156918744534,0.9510056977532819,0.5580444736170258,0.29333439442878123,0.37727480422359777,2.756524441180832,0.8307483926218358,0.5580444736170258
knn3,union,8,0.7,256,188,0.9197791498289712,0.8249740883779795,0.30294090704706556,0.19068745582817753,0.903901515428023,0.5572318363164133,0.3463622937949914,0.37664463801661824,2.7502227791110374,0.8249740883779795,0.5572318363164133
knn3,shock_plus_acid,8,0.7,256,188,0.9197791498289712,0.8249740883779795,0.30294090704706556,0.19068745582817753,0.903901515428023,0.5572318363164133,0.3463622937949914,0.37664463801661824,2.7502227791110374,0.8249740883779795,0.5572318363164133
knn3,union,8,0.5,256,188,0.9220776537980567,0.8252679907617504,0.30108030421139803,0.19143398665622638,0.9142974882850776,0.5277017348953456,0.3417140302907263,0.3865173090359072,2.8489494893039264,0.8252679907617504,0.5277017348953456
knn3,shock_plus_acid,8,0.5,256,188,0.9220776537980567,0.8252679907617504,0.30108030421139803,0.19143398665622638,0.9142974882850776,0.5277017348953456,0.3417140302907263,0.3865173090359072,2.8489494893039264,0.8252679907617504,0.5277017348953456
xgb,union,8,1.0,256,188,0.9301908150241677,0.8305302537900425,0.2936173573246708,0.19151345972573314,0.9214986377226021,0.5061248067387436,0.34183567190170294,0.393267151350975,2.916447877883911,0.8305302537900425,0.5061248067387436
xgb,shock_plus_acid,8,1.0,256,188,0.9301908150241677,0.8305302537900425,0.2936173573246708,0.19151345972573314,0.9214986377226021,0.5061248067387436,0.34183567190170294,0.393267151350975,2.916447877883911,0.8305302537900425,0.5061248067387436
knn5,shock,8,1.0,256,12,0.9344302458103962,0.8343756669089147,0.288230146439347,0.19108180814106554,0.956583829794623,0.5050232464242463,0.26439596389639936,0.3934109399638369,2.917885798583224,0.8343756669089147,0.5050232464242463
xgb,union,8,0.85,256,188,0.9297849886030795,0.8298227689007323,0.29403907563951276,0.19174445587087557,0.922978468905198,0.4986424225906726,0.3400743069648743,0.3956259515237808,2.940035820007324,0.8298227689007323,0.4986424225906726
xgb,shock_plus_acid,8,0.85,256,188,0.9297849886030795,0.8298227689007323,0.29403907563951276,0.19174445587087557,0.922978468905198,0.4986424225906726,0.3400743069648743,0.3956259515237808,2.940035820007324,0.8298227689007323,0.4986424225906726
knn5,shock,8,0.85,256,12,0.9335535922440522,0.8330350859757985,0.2894599442067269,0.19139120062602352,0.956206661200949,0.49743707043166396,0.26964332596362395,0.39592403430566303,2.943016742001485,0.8330350859757985,0.49743707043166396
xgb,union,8,0.7,256,188,0.9293738054455299,0.829122862358275,0.2944607939543547,0.19197268481519483,0.9244270817511808,0.4912031957409486,0.3383129777908326,0.39794644379138944,2.9632411003112793,0.829122862358275,0.4912031957409486
xgb,shock_plus_acid,8,0.7,256,188,0.9293738054455299,0.829122862358275,0.2944607939543547,0.19197268481519483,0.9244270817511808,0.4912031957409486,0.3383129777908326,0.39794644379138944,2.9632411003112793,0.829122862358275,0.4912031957409486
knn5,shock,8,0.7,256,12,0.9326133166163387,0.8317225126533127,0.2906897419741068,0.1916927583504007,0.9545962594848719,0.4899764103214742,0.2803109807855567,0.3983307483752013,2.967083882696868,0.8317225126533127,0.4899764103214742
xgb,union,8,0.5,256,188,0.9288172227482806,0.8282013662933132,0.29502309092768914,0.19227273901215303,0.9263100721552182,0.48135475787053394,0.3359645190238953,0.40098193251609804,2.993595600128174,0.8282013662933132,0.48135475787053394
xgb,shock_plus_acid,8,0.5,256,188,0.9288172227482806,0.8282013662933132,0.29502309092768914,0.19227273901215303,0.9263100721552182,0.48135475787053394,0.3359645190238953,0.40098193251609804,2.993595600128174,0.8282013662933132,0.48135475787053394
knn5,shock,8,0.5,256,12,0.9312606480690794,0.8300152691698308,0.29232947239960017,0.19208299009839785,0.9505306943864797,0.4802440364340864,0.2945345209982729,0.4013822825025679,2.997599223970534,0.8300152691698308,0.4802440364340864
knn5,union,8,0.5,256,188,0.9223737609938372,0.8237024016080617,0.3006164372558348,0.19175605719170435,0.9033810791759205,0.44724862683867084,0.35741362315829567,0.41106354259113476,3.094411824856202,0.8237024016080617,0.44724862683867084
knn5,shock_plus_acid,8,0.5,256,188,0.9223737609938372,0.8237024016080617,0.3006164372558348,0.19175605719170435,0.9033810791759205,0.44724862683867084,0.35741362315829567,0.41106354259113476,3.094411824856202,0.8237024016080617,0.44724862683867084
et,union,8,0.5,256,188,0.9323053452733768,0.8323847496939678,0.2915531037603363,0.19073046837917593,0.922382107960291,0.44373335063296027,0.3403903300733281,0.4114762435546503,3.098538834491358,0.8323847496939678,0.44373335063296027
et,shock_plus_acid,8,0.5,256,188,0.9323053452733768,0.8323847496939678,0.2915531037603363,0.19073046837917593,0.922382107960291,0.44373335063296027,0.3403903300733281,0.4114762435546503,3.098538834491358,0.8323847496939678,0.44373335063296027
knn5,union,8,0.7,256,188,0.9201161079560015,0.8228189113710307,0.3022914933092772,0.19112492762199546,0.8886161294281008,0.44341197955903966,0.36834172380958846,0.41212636218548154,3.10504002079967,0.8228189113710307,0.44341197955903966
knn5,shock_plus_acid,8,0.7,256,188,0.9201161079560015,0.8228189113710307,0.3022914933092772,0.19112492762199546,0.8886161294281008,0.44341197955903966,0.36834172380958846,0.41212636218548154,3.10504002079967,0.8228189113710307,0.44341197955903966
knn5,union,8,0.85,256,188,0.9183278053586006,0.8221531916648115,0.30354778519413844,0.1905964297495326,0.876114644277605,0.4405751776470529,0.3765377996356626,0.41290608813491064,3.1128372802939617,0.8221531916648115,0.4405751776470529
knn5,shock_plus_acid,8,0.85,256,188,0.9183278053586006,0.8221531916648115,0.30354778519413844,0.1905964297495326,0.876114644277605,0.4405751776470529,0.3765377996356626,0.41290608813491064,3.1128372802939617,0.8221531916648115,0.4405751776470529
et,union,8,0.7,256,188,0.934127443325928,0.8351332550829775,0.2896028264155793,0.18974523697363624,0.9186731548492211,0.4388640554452896,0.3445091134906339,0.41249477995109907,3.1087241984558456,0.8351332550829775,0.4388640554452896
et,shock_plus_acid,8,0.7,256,188,0.934127443325928,0.8351332550829775,0.2896028264155793,0.18974523697363624,0.9186731548492211,0.4388640554452896,0.3445091134906339,0.41249477995109907,3.1087241984558456,0.8351332550829775,0.4388640554452896
knn5,union,8,1.0,256,188,0.916458020163246,0.8214785228441692,0.30480407707899987,0.19001763487437207,0.8623893539216381,0.43777324562943887,0.38473387546173665,0.41367113602481426,3.1204877591929976,0.8214785228441692,0.43777324562943887
knn5,shock_plus_acid,8,1.0,256,188,0.916458020163246,0.8214785228441692,0.30480407707899987,0.19001763487437207,0.8623893539216381,0.43777324562943887,0.38473387546173665,0.41367113602481426,3.1204877591929976,0.8214785228441692,0.43777324562943887
et,union,8,0.85,256,188,0.9354391229566313,0.8372629025604906,0.288140118251791,0.18897564232411035,0.9157595115629257,0.43538778908931386,0.3475982013912177,0.41316484985944635,3.115424897539319,0.8372629025604906,0.43538778908931386
et,shock_plus_acid,8,0.85,256,188,0.9354391229566313,0.8372629025604906,0.288140118251791,0.18897564232411035,0.9157595115629257,0.43538778908931386,0.3475982013912177,0.41316484985944635,3.115424897539319,0.8372629025604906,0.43538778908931386
et,union,8,1.0,256,188,0.9367037505377092,0.8394519651280332,0.2866774100880028,0.1881787109701358,0.9127327868485231,0.43205884224971913,0.3506872892918015,0.4137556536959746,3.1213329359046007,0.8394519651280332,0.43205884224971913
et,shock_plus_acid,8,1.0,256,188,0.9367037505377092,0.8394519651280332,0.2866774100880028,0.1881787109701358,0.9127327868485231,0.43205884224971913,0.3506872892918015,0.4137556536959746,3.1213329359046007,0.8394519651280332,0.43205884224971913
rf,union,8,0.5,256,188,0.9273250540603015,0.8291487930798692,0.29622050654622367,0.19201447660479629,0.9093056802911363,0.36904443111433805,0.35611047956046865,0.43272735811664786,3.3110499801113336,0.8291487930798692,0.36904443111433805
rf,shock_plus_acid,8,0.5,256,188,0.9273250540603015,0.8291487930798692,0.29622050654622367,0.19201447660479629,0.9093056802911363,0.36904443111433805,0.35611047956046865,0.43272735811664786,3.3110499801113336,0.8291487930798692,0.36904443111433805
rf,union,8,0.7,256,188,0.9272034156237313,0.830473430924005,0.2961371903158216,0.1916036626338407,0.8989944563256154,0.3366977573417781,0.36651732277263066,0.44109343685813285,3.394710767526184,0.830473430924005,0.3366977573417781
