feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,feature_count,n_spec_final,n_shock_final,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,1.0,44,178,12,2,0.9484599871952489,0.9602582607488683,0.9484599871952489,0.2710968658746297,0.13286028400067768,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,1.2,44,178,12,2,0.9480364511695195,0.981590617753649,0.9480364511695195,0.27264290875814884,0.11613450802950144,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,0.8,44,178,12,2,0.9474868704898789,0.9299043929663898,0.9299043929663898,0.2762233725590829,0.1475084527145256,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
current_union,ph_like,50,4,chem_event,salt_shock_strict,8.0,1.0,44,178,12,2,0.9284128342851815,0.9603929342148392,0.9284128342851815,0.29592719659027217,0.131182045383087,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,50,4,chem_event,salt_shock_strict,8.0,1.2,44,178,12,2,0.9279910596008513,0.9816463213420585,0.9279910596008513,0.2974470353571215,0.11473975714023582,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,50,4,chem_event,salt_shock_strict,8.0,0.8,44,178,12,2,0.9274437644391935,0.9301514328821512,0.9274437644391935,0.3009668133309212,0.14558194005093744,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
current_union,ph_like,45,4,chem_event,salt_shock_strict,8.0,1.0,44,178,12,2,0.8549701668898435,0.9593069127839354,0.8549701668898435,0.37903295392002734,0.13148779682489647,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,45,4,chem_event,salt_shock_strict,8.0,1.2,44,178,12,2,0.8545647874626007,0.9802969996788393,0.8545647874626007,0.3804340552832165,0.11633006235101803,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,45,4,chem_event,salt_shock_strict,8.0,0.8,44,178,12,2,0.8540387667994167,0.9294400620553515,0.8540387667994167,0.38367885060281304,0.14476269972182115,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
all_existing,ph_like,51,4,chem_event,salt_shock_strict,8.0,0.8,116,178,12,2,0.8052720673358222,0.9017339219959297,0.8052720673358222,0.41864506450751,0.18000766869564455,4,0.9269204797236058,0.5353837675891164,0.3237185636293601,0.3759410043539111
all_existing,ph_like,50,4,chem_event,salt_shock_strict,8.0,0.8,116,178,12,2,0.7910085137335847,0.902075892282246,0.7910085137335847,0.43692921307676214,0.17771586528248043,4,0.9269204797236058,0.5353837675891164,0.3237185636293601,0.3759410043539111
current_union,ph_like,40,4,chem_event,salt_shock_strict,8.0,1.0,44,178,12,2,0.7790319533631838,0.9579383451613525,0.7790319533631838,0.44623596012220706,0.13072578898953982,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,40,4,chem_event,salt_shock_strict,8.0,1.2,44,178,12,2,0.7786380256384025,0.9788143700517851,0.7786380256384025,0.44753553240110716,0.11666644107173951,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,40,4,chem_event,salt_shock_strict,8.0,0.8,44,178,12,2,0.7781268647133271,0.928233793563706,0.7781268647133271,0.4505451976250807,0.14303874240118003,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
all_existing,ph_like,51,4,chem_event,salt_shock_strict,8.0,1.0,116,178,12,2,0.7637115926350573,0.9237750007261064,0.7637115926350573,0.43399304440686015,0.17295361942011672,4,0.9231980796849687,0.5487530805461007,0.3286455818638486,0.3684650390812674
all_existing,ph_like,50,4,chem_event,salt_shock_strict,8.0,1.0,116,178,12,2,0.7496208748253161,0.9240353775303592,0.7496208748253161,0.452017057723581,0.17078137616416492,4,0.9231980796849687,0.5487530805461007,0.3286455818638486,0.3684650390812674
all_existing,ph_like,45,4,chem_event,salt_shock_strict,8.0,0.8,116,178,12,2,0.7251325422586083,0.9018008633660878,0.7251325422586083,0.5037495759738915,0.174531439883979,4,0.9269204797236058,0.5353837675891164,0.3237185636293601,0.3759410043539111
all_existing,ph_like,51,4,chem_event,salt_shock_strict,8.0,1.2,116,178,12,2,0.7159865940993877,0.9456944577256716,0.7159865940993877,0.4493410243062103,0.16388176808932425,4,0.9192554080206803,0.560427289078899,0.3335726000983373,0.3601887112904889
all_existing,ph_like,50,4,chem_event,salt_shock_strict,8.0,1.2,116,178,12,2,0.7020943482273037,0.9458736912772087,0.7020943482273037,0.46710490237039964,0.16186328502541983,4,0.9192554080206803,0.560427289078899,0.3335726000983373,0.3601887112904889
plus_ph_physics,ph_like,51,4,chem_event,salt_shock_strict,8.0,0.8,83,178,12,2,0.6867050610177706,0.8709944739429591,0.6867050610177706,0.44310992946629263,0.18822331505699735,4,0.9096221998091889,0.4834378213157392,0.3685302835520846,0.3884495503892333
all_existing,ph_like,45,4,chem_event,salt_shock_strict,8.0,1.0,116,178,12,2,0.685353726746695,0.9234883007974108,0.685353726746695,0.5176586827576776,0.1681387077280319,4,0.9231980796849687,0.5487530805461007,0.3286455818638486,0.3684650390812674
plus_ph_physics,ph_like,50,4,chem_event,salt_shock_strict,8.0,0.8,83,178,12,2,0.6717932980571335,0.871468466673768,0.6717932980571335,0.46192271433365933,0.18534033759744475,4,0.9096221998091889,0.4834378213157392,0.3685302835520846,0.3884495503892333
all_existing,ph_like,40,4,chem_event,salt_shock_strict,8.0,0.8,116,178,12,2,0.6632771602009648,0.900591460679085,0.6632771602009648,0.5572951847037828,0.169811349498042,4,0.9269204797236058,0.5353837675891164,0.3237185636293601,0.3759410043539111
all_existing,ph_like,45,4,chem_event,salt_shock_strict,8.0,1.2,116,178,12,2,0.6396746548466383,0.9450560678756983,0.6396746548466383,0.5315677895414637,0.1599173424595013,4,0.9192554080206803,0.560427289078899,0.3335726000983373,0.3601887112904889
all_existing,ph_like,40,4,chem_event,salt_shock_strict,8.0,1.0,116,178,12,2,0.6246220700902567,0.9221610466409192,0.6246220700902567,0.5701963851988886,0.1638818588026707,4,0.9231980796849687,0.5487530805461007,0.3286455818638486,0.3684650390812674
plus_ph_physics,ph_like,45,4,chem_event,salt_shock_strict,8.0,0.8,83,178,12,2,0.6126763992646901,0.871675798936336,0.6126763992646901,0.5241160589640437,0.18063318393918126,4,0.9096221998091889,0.4834378213157392,0.3685302835520846,0.3884495503892333
plus_ph_physics,ph_like,51,4,chem_event,salt_shock_strict,8.0,1.0,83,178,12,2,0.5914628830697435,0.8896540497838688,0.5914628830697435,0.469186405595063,0.182827867082634,4,0.9086072819336993,0.4884691887475928,0.37006659638329004,0.3796140468060497
all_existing,ph_like,40,4,chem_event,salt_shock_strict,8.0,1.2,116,178,12,2,0.580233401957557,0.9436116125490908,0.580233401957557,0.5830975856939947,0.15625624464055535,4,0.9192554080206803,0.560427289078899,0.3335726000983373,0.3601887112904889
plus_ph_physics,ph_like,50,4,chem_event,salt_shock_strict,8.0,1.0,83,178,12,2,0.5769471997358013,0.890058966958743,0.5769471997358013,0.48755721629075566,0.1800363378938333,4,0.9086072819336993,0.4884691887475928,0.37006659638329004,0.3796140468060497
plus_ph_physics,ph_like,40,4,chem_event,salt_shock_strict,8.0,0.8,83,178,12,2,0.5547437883811446,0.8703667600273584,0.5547437883811446,0.5819931497692578,0.1768780628359589,4,0.9096221998091889,0.4834378213157392,0.3685302835520846,0.3884495503892333
plus_ph_physics,ph_like,45,4,chem_event,salt_shock_strict,8.0,1.0,83,178,12,2,0.5215171655738955,0.8900359884941503,0.5215171655738955,0.5477478654557418,0.1757435592124145,4,0.9086072819336993,0.4884691887475928,0.37006659638329004,0.3796140468060497
plus_ph_physics,ph_like,51,4,chem_event,salt_shock_strict,8.0,1.2,83,178,12,2,0.48051098794564506,0.9096034665409717,0.48051098794564506,0.49526288172383337,0.17621756772491567,4,0.907458598126141,0.48870945164043944,0.37160290921449557,0.36887163063073075
plus_ph_physics,ph_like,50,4,chem_event,salt_shock_strict,8.0,1.2,83,178,12,2,0.46645671557634727,0.9099345333204877,0.46645671557634727,0.5131917182478519,0.17353807750827974,4,0.907458598126141,0.48870945164043944,0.37160290921449557,0.36887163063073075
plus_ph_physics,ph_like,40,4,chem_event,salt_shock_strict,8.0,1.0,83,178,12,2,0.4661597431451715,0.888627178677414,0.4661597431451715,0.6039125065151806,0.17234275874156652,4,0.9086072819336993,0.4884691887475928,0.37006659638329004,0.3796140468060497
plus_ph_physics,ph_like,45,4,chem_event,salt_shock_strict,8.0,1.2,83,178,12,2,0.41532167578182555,0.9096653239276611,0.41532167578182555,0.57137967194744,0.16975297541948225,4,0.907458598126141,0.48870945164043944,0.37160290921449557,0.36887163063073075
plus_ph_physics,ph_like,40,4,chem_event,salt_shock_strict,8.0,1.2,83,178,12,2,0.362964206163085,0.9081498465512717,0.362964206163085,0.6258318632611035,0.1667862752234844,4,0.907458598126141,0.48870945164043944,0.37160290921449557,0.36887163063073075
