skip_cap,feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,feature_count,n_spec_final,n_shock_final,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
72.0,current_union,current,50,12,chem_event,salt_shock_strict,8.0,0.8,44,509,12,2,0.8980319012393394,0.9341253999531836,0.8980319012393394,0.3737012849816121,0.14305916337263372,4,0.911087934995682,0.6137028580933236,0.3074364684812344,0.34386469693706023
48.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,1.0,44,251,12,2,0.8964386358742708,0.89692354202926,0.8964386358742708,0.38118772984108784,0.15926581689853578,4,0.9213697728144552,0.721646641241134,0.325595952538068,0.29319499522189935
48.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,1.2,44,251,12,2,0.8951465332338138,0.9115011610680561,0.8951465332338138,0.38604511102642575,0.15802920761242967,4,0.9164056445887511,0.7767578088597011,0.3308932960175826,0.26430328477205256
72.0,current_union,current,50,8,chem_event,salt_shock_strict,8.0,0.8,44,446,12,2,0.8934983051072982,0.9124490544223742,0.8934983051072982,0.3798485842844741,0.14984381405181577,4,0.9189331993973037,0.653293365569154,0.32072065662204263,0.3267985751992576
48.0,current_union,current,50,12,chem_event,salt_shock_strict,8.0,0.8,44,343,12,2,0.8931336840832217,0.9142806779437264,0.8931336840832217,0.38830958550615063,0.16292565954680824,4,0.8987846144409097,0.5964435492702392,0.34264668611539084,0.3362925083719942
48.0,current_union,current,50,8,chem_event,salt_shock_strict,8.0,0.8,44,339,12,2,0.8909855552843998,0.909641461450921,0.8909855552843998,0.3912622489500585,0.15762820850066425,4,0.9032773004600907,0.5979363317918215,0.3225976091925557,0.3349488837504917
48.0,current_union,current,50,12,chem_event,salt_shock_strict,8.0,1.0,44,343,12,2,0.8894681671314588,0.9427364796831372,0.8894681671314588,0.3952973466290451,0.15116289958820658,4,0.8808903203636789,0.6263097313830603,0.35673122841480104,0.3211489438639005
72.0,current_union,current,50,12,chem_event,salt_shock_strict,8.0,1.0,44,509,12,2,0.888418984001167,0.9633552116029991,0.888418984001167,0.3839528992434044,0.1301060621613325,4,0.8982884249163477,0.6276336330504411,0.3176170104523295,0.3334192818781738
48.0,current_union,current,50,8,chem_event,salt_shock_strict,8.0,1.0,44,339,12,2,0.8869819499283175,0.9365947795455123,0.8869819499283175,0.39825185186223133,0.14735466749101736,4,0.8877871243530535,0.6273356525567976,0.3349612953005172,0.31936912886489066
48.0,current_union,current,50,12,chem_event,salt_shock_strict,8.0,1.2,44,343,12,2,0.8832521950126662,0.9680468027306299,0.8832521950126662,0.40228510775193965,0.13943141496223213,4,0.8607772378841549,0.6529482512752907,0.3708157707142112,0.3042653783525483
48.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,0.8,44,251,12,2,0.8963183465079299,0.8828143259851524,0.8828143259851524,0.3787490333602131,0.16030436664594774,4,0.9260500020688449,0.663489130429433,0.3202986090585534,0.31873080784912067
72.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,1.0,44,323,12,2,0.8824157765063889,0.8841112467298156,0.8824157765063889,0.3890689409801659,0.1662693287735922,4,0.9363551655683825,0.7296175145412704,0.30424685704542137,0.2912814844884119
72.0,current_union,current,50,8,chem_event,salt_shock_strict,8.0,1.0,44,446,12,2,0.8819731415289097,0.9356946594231248,0.8819731415289097,0.39079470756795803,0.14162823224729176,4,0.911663681790118,0.6751545164764896,0.3273517311195956,0.3132404780875545
48.0,current_union,current,50,8,chem_event,salt_shock_strict,8.0,1.2,44,339,12,2,0.8803439442579318,0.9615683483232765,0.8803439442579318,0.40524145477440415,0.13705254242083678,4,0.8706761936364519,0.6523788201096684,0.34732498140847873,0.3018029604486977
72.0,current_union,current,50,12,chem_event,salt_shock_strict,8.0,1.2,44,509,12,2,0.8746617590939325,0.9845318827087921,0.8746617590939325,0.3942045135051968,0.11280647146465944,4,0.8842531967313003,0.6386567235163131,0.3277975524234247,0.3216309322577096
72.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,1.2,44,323,12,2,0.8741046563554318,0.8979132002298831,0.8741046563554318,0.39802608785584526,0.16243794754084667,4,0.9360011496625794,0.772806100437903,0.30456426370131,0.26892619427162234
72.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,0.8,44,323,12,2,0.8878819610118235,0.8712466059713292,0.8712466059713292,0.3801117941044866,0.1710104383446346,4,0.9366988630882292,0.6850882529313169,0.30392945038953273,0.3113482444887625
72.0,current_union,current,50,8,chem_event,salt_shock_strict,8.0,1.2,44,446,12,2,0.8658586735269396,0.9588752078754771,0.8658586735269396,0.40174083085144197,0.1313621486407969,4,0.903861522708148,0.6933956179856018,0.3339828056171486,0.2980680268804769
96.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,1.2,44,364,12,2,0.8742352121203192,0.8458317188714333,0.8458317188714333,0.4018071602073987,0.18019681796051076,4,0.9365262936913807,0.7032195276621545,0.29685587942202646,0.29306332193021634
72.0,current_union,current,50,8,chem_event,salt_shock_strict,8.0,0.0,44,446,12,2,0.8937059151850353,0.8423346757092287,0.8423346757092287,0.38044769890985236,0.16946601373004805,4,0.9426848546327024,0.5536984630316897,0.29419635976105923,0.36744785082699016
96.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,1.0,44,364,12,2,0.8832145558678718,0.8420361268298872,0.8420361268298872,0.39294607681079924,0.18219861367935244,4,0.9371397098736477,0.6737670266726083,0.2959052496357904,0.3069340599856149
72.0,current_union,current,50,12,chem_event,salt_shock_strict,8.0,0.0,44,509,12,2,0.895040493501409,0.8408644645008929,0.8408644645008929,0.37787023288718724,0.16985823794666577,4,0.949928794222508,0.547432735656848,0.2667143006492406,0.37391519226820147
48.0,current_union,current,45,4,chem_event,salt_shock_strict,8.0,1.0,44,251,12,2,0.8399760539391472,0.8960406136060739,0.8399760539391472,0.43654819897890174,0.15862981462278108,4,0.9213697728144552,0.721646641241134,0.325595952538068,0.29319499522189935
48.0,current_union,current,45,4,chem_event,salt_shock_strict,8.0,0.8,44,251,12,2,0.839860440470055,0.8821061913414222,0.839860440470055,0.43430002566059533,0.1595872276711765,4,0.9260500020688449,0.663489130429433,0.3202986090585534,0.31873080784912067
48.0,current_union,current,45,4,chem_event,salt_shock_strict,8.0,1.2,44,251,12,2,0.8387341780092081,0.9104376359966019,0.8387341780092081,0.4410260972591351,0.15748981543715201,4,0.9164056445887511,0.7767578088597011,0.3308932960175826,0.26430328477205256
96.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,0.8,44,364,12,2,0.8893610523962421,0.838311968876354,0.838311968876354,0.38408499341419977,0.184046773145065,4,0.9377330163836112,0.6439288189877639,0.29495461984955434,0.31981871979764254
