feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,feature_count,blend,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
current_union,ph_like,55,4,chem_event,salt_shock_strict,8.0,44,1.2,2,0.9639229601053678,0.9818097669338516,0.9639229601053678,0.23878699033792128,0.11811073098992032,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,55,4,chem_event,salt_shock_strict,8.0,44,1.0,2,0.9643755184788133,0.9601827734062078,0.9601827734062078,0.23712642575932663,0.13607545332933182,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,44,1.0,2,0.9484599871952489,0.9602582607488683,0.9484599871952489,0.2710968658746297,0.13286028400067768,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,44,1.2,2,0.9480364511695195,0.981590617753649,0.9480364511695195,0.27264290875814884,0.11613450802950144,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_plus_ph_momentum,ph_like,55,4,chem_event,salt_shock_strict,8.0,49,1.0,2,0.9451945345431554,0.9788858165543737,0.9451945345431554,0.2831813578713703,0.12232180904788692,4,0.8942247006389654,0.6543529901339882,0.358222479585533,0.2983143286179816
current_plus_ph_momentum,ph_like,55,4,chem_event,salt_shock_strict,8.0,49,0.8,2,0.9447800923570554,0.951363359815032,0.9447800923570554,0.28347307904672325,0.14478340152231914,4,0.9029271228854205,0.6260276629193575,0.34971855524981244,0.3168561741264541
current_plus_ph_momentum,ph_like,55,4,chem_event,salt_shock_strict,8.0,49,1.2,2,0.9439533025923561,0.967479088644107,0.9439533025923561,0.2867863942621944,0.1326335401899123,4,0.8848189318416906,0.6731542725614421,0.36672640392125355,0.2772418169190538
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,44,0.8,2,0.9474868704898789,0.9299043929663898,0.9299043929663898,0.2762233725590829,0.1475084527145256,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
current_union,ph_like,55,4,chem_event,salt_shock_strict,8.0,44,0.8,2,0.9633357200045359,0.9294096665280743,0.9294096665280743,0.24263267367966537,0.1518086715775388,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
current_union,ph_like,50,4,chem_event,salt_shock_strict,8.0,44,1.0,2,0.9284128342851815,0.9603929342148392,0.9284128342851815,0.29592719659027217,0.131182045383087,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,50,4,chem_event,salt_shock_strict,8.0,44,1.2,2,0.9279910596008513,0.9816463213420585,0.9279910596008513,0.2974470353571215,0.11473975714023582,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,50,4,chem_event,salt_shock_strict,8.0,44,0.8,2,0.9274437644391935,0.9301514328821512,0.9274437644391935,0.3009668133309212,0.14558194005093744,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
current_plus_ph_momentum,ph_like,51,4,chem_event,salt_shock_strict,8.0,49,1.0,2,0.9273896661413539,0.9787827325711385,0.9273896661413539,0.3172367488123107,0.1196996301910125,4,0.8942247006389654,0.6543529901339882,0.358222479585533,0.2983143286179816
current_plus_ph_momentum,ph_like,51,4,chem_event,salt_shock_strict,8.0,49,0.8,2,0.9270018019304699,0.9516352295184459,0.9270018019304699,0.3175083512859153,0.14061214732238037,4,0.9029271228854205,0.6260276629193575,0.34971855524981244,0.3168561741264541
current_plus_ph_momentum,ph_like,51,4,chem_event,salt_shock_strict,8.0,49,1.2,2,0.9262280337900455,0.9675314048390995,0.9262280337900455,0.32059316200376764,0.12930020746117404,4,0.8848189318416906,0.6731542725614421,0.36672640392125355,0.2772418169190538
current_plus_ph_momentum,ph_like,50,4,chem_event,salt_shock_strict,8.0,49,1.0,2,0.9103366137483102,0.9788558868072426,0.9103366137483102,0.3390928938447309,0.11804830750825611,4,0.8942247006389654,0.6543529901339882,0.358222479585533,0.2983143286179816
current_plus_ph_momentum,ph_like,50,4,chem_event,salt_shock_strict,8.0,49,0.8,2,0.9099503625319543,0.951808880619087,0.9099503625319543,0.33935989288657936,0.1386063751967195,4,0.9029271228854205,0.6260276629193575,0.34971855524981244,0.3168561741264541
current_plus_ph_momentum,ph_like,50,4,chem_event,salt_shock_strict,8.0,49,1.2,2,0.9091798122284462,0.9676462101676356,0.9091798122284462,0.34239241867701065,0.12748616312977085,4,0.8848189318416906,0.6731542725614421,0.36672640392125355,0.2772418169190538
current_union,ph_like,45,4,chem_event,salt_shock_strict,8.0,44,1.0,2,0.8549701668898435,0.9593069127839354,0.8549701668898435,0.37903295392002734,0.13148779682489647,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,45,4,chem_event,salt_shock_strict,8.0,44,1.2,2,0.8545647874626007,0.9802969996788393,0.8545647874626007,0.3804340552832165,0.11633006235101803,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_plus_ph_momentum,ph_like,45,4,chem_event,salt_shock_strict,8.0,49,1.0,2,0.8544386659207499,0.9771459449177696,0.8544386659207499,0.4013181560270386,0.11984342550093985,4,0.8942247006389654,0.6543529901339882,0.358222479585533,0.2983143286179816
current_plus_ph_momentum,ph_like,45,4,chem_event,salt_shock_strict,8.0,49,0.8,2,0.8540674290905763,0.9504340139329289,0.8540674290905763,0.4015642957687427,0.138795394151242,4,0.9029271228854205,0.6260276629193575,0.34971855524981244,0.3168561741264541
