mode,max_rows,blend,wf_active,ho_active,n_spec,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,wf_min,ho_min,ok
union_shock8,4,1.0,2,4,178,0.9554130552478979,0.960595085934676,0.25030164927873144,0.14364374640155766,0.906310092889867,0.6863338401670874,0.35394168387819835,0.31776289756320314,2.144824663241942,0.9554130552478979,0.6863338401670874,False
union_shock8,4,1.2,2,4,178,0.9548196119859186,0.9827688744329353,0.2523627240669041,0.12427832619547471,0.9008553969893623,0.72195926876141,0.35918005853361423,0.29042047150251826,1.8714004026350934,0.9548196119859186,0.72195926876141,False
union_shock8,8,1.0,2,4,188,0.9536407267065127,0.9579013661740581,0.2513371517334002,0.14495958514752824,0.9035988583381964,0.683536974715006,0.35955528773218565,0.3173634673559168,2.157411072504023,0.9536407267065127,0.683536974715006,False
union_shock3,4,1.0,2,4,178,0.9545271654444766,0.9530632668276204,0.2554997331484597,0.14763957568150618,0.9055984608781236,0.6942799476703166,0.35389795865221874,0.3177811418617275,2.145007106227186,0.9530632668276204,0.6942799476703166,False
shock_or_acid_shock3,4,1.0,2,4,178,0.9545271654444766,0.9530632668276204,0.2554997331484597,0.14763957568150618,0.9055984608781236,0.6942799476703166,0.35389795865221874,0.3177811418617275,2.145007106227186,0.9530632668276204,0.6942799476703166,False
union_shock8,8,1.2,2,4,188,0.9530609949373241,0.9796590830524211,0.2533575791481631,0.12325886829099905,0.8969844970634548,0.715790129874237,0.3654476711868143,0.29184592155944933,1.902235614539348,0.9530609949373241,0.715790129874237,False
union_shock3,4,1.2,2,4,178,0.9523104870483181,0.9782846746895927,0.258600424710578,0.13086098703364893,0.8999385716617769,0.7354874994727038,0.3591275882624386,0.29077397605602623,1.874935448170173,0.9523104870483181,0.7354874994727038,False
shock_or_acid_shock3,4,1.2,2,4,178,0.9523104870483181,0.9782846746895927,0.258600424710578,0.13086098703364893,0.8999385716617769,0.7354874994727038,0.3591275882624386,0.29077397605602623,1.874935448170173,0.9523104870483181,0.7354874994727038,False
union_shock3,8,1.2,2,4,188,0.951131495906076,0.9747289861398728,0.25839293849663697,0.13072812781588597,0.8998065589361353,0.7366310382202128,0.36237183566888137,0.28860877565001497,1.8698641554450048,0.951131495906076,0.7366310382202128,False
shock_or_acid_shock3,8,1.2,2,4,188,0.951131495906076,0.9747289861398728,0.25839293849663697,0.13072812781588597,0.8998065589361353,0.7366310382202128,0.36237183566888137,0.28860877565001497,1.8698641554450048,0.951131495906076,0.7366310382202128,False
union,4,1.0,2,4,178,0.952183930905102,0.9509100046126626,0.2613246488984017,0.14869115105819636,0.8992852696851424,0.6848531843521721,0.3595482654942058,0.3257835082479777,2.2250307700896883,0.9509100046126626,0.6848531843521721,False
shock_or_acid,4,1.0,2,4,178,0.952183930905102,0.9509100046126626,0.2613246488984017,0.14869115105819636,0.8992852696851424,0.6848531843521721,0.3595482654942058,0.3257835082479777,2.2250307700896883,0.9509100046126626,0.6848531843521721,False
union_shock3,8,1.0,2,4,188,0.9530224397227726,0.9494232387512139,0.25553328452379515,0.14949301755264421,0.9058345131538091,0.6981279005980925,0.3569920914672416,0.31465578292839275,2.130334228228782,0.9494232387512139,0.6981279005980925,False
shock_or_acid_shock3,8,1.0,2,4,188,0.9530224397227726,0.9494232387512139,0.25553328452379515,0.14949301755264421,0.9058345131538091,0.6981279005980925,0.3569920914672416,0.31465578292839275,2.130334228228782,0.9494232387512139,0.6981279005980925,False
union,8,1.0,2,4,188,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9016021873506496,0.6973097205340721,0.3605466401153409,0.3194393693018191,2.178170091963046,0.9481007862944115,0.6973097205340721,False
shock_or_acid,8,1.0,2,4,188,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9016021873506496,0.6973097205340721,0.3605466401153409,0.3194393693018191,2.178170091963046,0.9481007862944115,0.6973097205340721,False
union,4,1.2,2,4,178,0.9475540459238959,0.9766580161354909,0.2655903236105084,0.1325755598529008,0.8919149523331777,0.7302328340247333,0.3659079564728233,0.30161864650692544,1.9833821526791655,0.9475540459238959,0.7302328340247333,False
shock_or_acid,4,1.2,2,4,178,0.9475540459238959,0.9766580161354909,0.2655903236105084,0.1325755598529008,0.8919149523331777,0.7302328340247333,0.3659079564728233,0.30161864650692544,1.9833821526791655,0.9475540459238959,0.7302328340247333,False
union,8,1.2,2,4,188,0.9459474245198148,0.9737394697961322,0.2663020392819466,0.13178644587178093,0.8943996911376789,0.7413177488321743,0.3666372940466006,0.2951550519916356,1.935326918861211,0.9459474245198148,0.7413177488321743,False
shock_or_acid,8,1.2,2,4,188,0.9459474245198148,0.9737394697961322,0.2663020392819466,0.13178644587178093,0.8943996911376789,0.7413177488321743,0.3666372940466006,0.2951550519916356,1.935326918861211,0.9459474245198148,0.7413177488321743,False
union_shock3,4,1.5,2,4,178,0.9449657129216059,0.9643426470145434,0.27337680830075184,0.1446526185714854,0.8908958889776554,0.7735789826582473,0.3669720324973248,0.2863388159276107,1.8305838468860172,0.9449657129216059,0.7735789826582473,False
shock_or_acid_shock3,4,1.5,2,4,178,0.9449657129216059,0.9643426470145434,0.27337680830075184,0.1446526185714854,0.8908958889776554,0.7735789826582473,0.3669720324973248,0.2863388159276107,1.8305838468860172,0.9449657129216059,0.7735789826582473,False
union_shock3,8,1.5,2,4,188,0.943908452777968,0.9616721356405226,0.27402204062447627,0.1438092443984912,0.8901147132786101,0.7717738825724753,0.3704414517734351,0.2848572914560486,1.8323493135053406,0.943908452777968,0.7717738825724753,False
shock_or_acid_shock3,8,1.5,2,4,188,0.943908452777968,0.9616721356405226,0.27402204062447627,0.1438092443984912,0.8901147132786101,0.7717738825724753,0.3704414517734351,0.2848572914560486,1.8323493135053406,0.943908452777968,0.7717738825724753,False
union_shock8,4,1.5,2,4,178,0.9508134762939094,0.9376391853405641,0.26557968249615943,0.15788837545070164,0.8921597961119034,0.7444474456615844,0.36703762033629433,0.3038405232686971,2.0056009202968816,0.9376391853405641,0.7444474456615844,False
union,4,1.5,2,4,178,0.9353741121213792,0.9693710052187814,0.28211418192566484,0.14125817417992356,0.8800267587600021,0.7859802497261048,0.3754474927603056,0.263055705544189,1.5977527430518008,0.9353741121213792,0.7859802497261048,False
shock_or_acid,4,1.5,2,4,178,0.9353741121213792,0.9693710052187814,0.28211418192566484,0.14125817417992356,0.8800267587600021,0.7859802497261048,0.3754474927603056,0.263055705544189,1.5977527430518008,0.9353741121213792,0.7859802497261048,False
union,8,1.5,2,4,188,0.9332579811693409,0.9648187884494178,0.28390841660611327,0.141714322430415,0.8827409844625078,0.7945418929434914,0.37577327474558403,0.25874301249677256,1.5712065239125803,0.9332579811693409,0.7945418929434914,False
shock_or_acid,8,1.5,2,4,188,0.9332579811693409,0.9648187884494178,0.28390841660611327,0.141714322430415,0.8827409844625078,0.7945418929434914,0.37577327474558403,0.25874301249677256,1.5712065239125803,0.9332579811693409,0.7945418929434914,False
union_shock8,8,1.5,2,4,188,0.9485469915326366,0.9308196273784833,0.2677278414388839,0.15883074791068708,0.8863259932688292,0.7361087053412423,0.3742862461708512,0.3040087921966121,2.0238643209109757,0.9308196273784833,0.7361087053412423,False
union_shock8,4,0.8,2,4,178,0.9543446474170556,0.9284176458061062,0.25620840740864814,0.15962282702689312,0.9114908916650644,0.6416837502949719,0.3487033092227825,0.3419485596581291,2.3866812841912024,0.9284176458061062,0.6416837502949719,False
union_shock8,8,0.8,2,4,188,0.9522767754141405,0.9256353579887584,0.25810809802524115,0.16098886406207116,0.909820173226753,0.6428858886835659,0.35366290427755703,0.3400171675121856,2.383948074066711,0.9256353579887584,0.6428858886835659,False
union_shock3,4,0.8,2,4,178,0.9545999736899818,0.9219875296172662,0.25328928775928605,0.16195141605001115,0.9109634973313319,0.6462702627820017,0.3486683290419988,0.34178775239635667,2.385073211573478,0.9219875296172662,0.6462702627820017,False
shock_or_acid_shock3,4,0.8,2,4,178,0.9545999736899818,0.9219875296172662,0.25328928775928605,0.16195141605001115,0.9109634973313319,0.6462702627820017,0.3486683290419988,0.34178775239635667,2.385073211573478,0.9219875296172662,0.6462702627820017,False
union,4,0.8,2,4,178,0.9540217591765973,0.9202189752177499,0.25794922035923973,0.16257056740021664,0.9062114709749616,0.6361773220387013,0.35318857451558855,0.3474654222338164,2.441849909948075,0.9202189752177499,0.6361773220387013,False
shock_or_acid,4,0.8,2,4,178,0.9540217591765973,0.9202189752177499,0.25794922035923973,0.16257056740021664,0.9062114709749616,0.6361773220387013,0.35318857451558855,0.3474654222338164,2.441849909948075,0.9202189752177499,0.6361773220387013,False
union_shock3,8,0.8,2,4,188,0.9525738489276552,0.9183683741518746,0.2547511917929252,0.16363041970570066,0.9115158463499464,0.6529794503897302,0.35161234726560175,0.33786425323649577,2.3624189313098123,0.9183683741518746,0.6529794503897302,False
shock_or_acid_shock3,8,0.8,2,4,188,0.9525738489276552,0.9183683741518746,0.2547511917929252,0.16363041970570066,0.9115158463499464,0.6529794503897302,0.35161234726560175,0.33786425323649577,2.3624189313098123,0.9183683741518746,0.6529794503897302,False
union,8,0.8,2,4,188,0.9520834065869288,0.917279555624864,0.2591734262661735,0.16401266050742647,0.9083487035971953,0.6497901705570124,0.35445598618408125,0.34122415765874214,2.396017975532276,0.917279555624864,0.6497901705570124,False
shock_or_acid,8,0.8,2,4,188,0.9520834065869288,0.917279555624864,0.2591734262661735,0.16401266050742647,0.9083487035971953,0.6497901705570124,0.35445598618408125,0.34122415765874214,2.396017975532276,0.917279555624864,0.6497901705570124,False
union_shock8,4,0.5,2,4,178,0.9496260648717518,0.8822813237496753,0.2694253658379035,0.1761563116643305,0.9187485326464679,0.5667672471980529,0.34084574742010243,0.37314910895102316,2.6986867771201424,0.8822813237496753,0.5667672471980529,False
