weight_mode,gate,ph_blend,ec_blend,wf_active,ho_active,n_train,n_spec,n_shock,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
shock_multi,general,1.0,1.3,2,4,256,188,12,0.9536817017691916,0.9669855092055997,0.25009017638995407,0.1384586469382703,0.9015219479705369,0.7153468502206841,0.36165566492099355,0.2995403850995727,1.9791802499405815,0.9536817017691916,0.7153468502206841,False
shock_multi,gap2_or_short,1.0,1.3,2,4,256,188,12,0.9536817017691916,0.9669855092055997,0.25009017638995407,0.1384586469382703,0.9015219479705369,0.7153468502206841,0.36165566492099355,0.2995403850995727,1.9791802499405815,0.9536817017691916,0.7153468502206841,False
shock_multi,general,1.0,1.15,2,4,256,188,12,0.9536817017691916,0.980853309785881,0.25009017638995407,0.11931367431352202,0.9015219479705369,0.6994290125099094,0.36165566492099355,0.3004978385087797,1.988754784032652,0.9536817017691916,0.6994290125099094,False
shock_multi,gap2_or_short,1.0,1.15,2,4,256,188,12,0.9536817017691916,0.980853309785881,0.25009017638995407,0.11931367431352202,0.9015219479705369,0.6994290125099094,0.36165566492099355,0.3004978385087797,1.988754784032652,0.9536817017691916,0.6994290125099094,False
shock_multi,general,1.0,1.0,2,4,256,188,12,0.9536817017691916,0.9680087957466499,0.25009017638995407,0.13825639661272893,0.9015219479705369,0.6761585446123977,0.36165566492099355,0.31905961730060955,2.1743725719509506,0.9536817017691916,0.6761585446123977,False
shock_multi,gap2_or_short,1.0,1.0,2,4,256,188,12,0.9536817017691916,0.9680087957466499,0.25009017638995407,0.13825639661272893,0.9015219479705369,0.6761585446123977,0.36165566492099355,0.31905961730060955,2.1743725719509506,0.9536817017691916,0.6761585446123977,False
shock10,general,1.0,1.3,2,4,256,188,12,0.9536794099023582,0.9748697323121638,0.25029834209616103,0.13139691938431616,0.9021796950603074,0.7182901635981824,0.3610102739276916,0.29814841100153355,1.9652605089601904,0.9536794099023582,0.7182901635981824,False
shock10,gap2_or_short,1.0,1.3,2,4,256,188,12,0.9536794099023582,0.9748697323121638,0.25029834209616103,0.13139691938431616,0.9021796950603074,0.7182901635981824,0.3610102739276916,0.29814841100153355,1.9652605089601904,0.9536794099023582,0.7182901635981824,False
shock10,general,1.0,1.15,2,4,256,188,12,0.9536794099023582,0.9793994830104621,0.25029834209616103,0.12413880835151463,0.9021796950603074,0.7018066607146018,0.3610102739276916,0.29992510992543336,1.9830274981991884,0.9536794099023582,0.7018066607146018,False
shock10,gap2_or_short,1.0,1.15,2,4,256,188,12,0.9536794099023582,0.9793994830104621,0.25029834209616103,0.12413880835151463,0.9021796950603074,0.7018066607146018,0.3610102739276916,0.29992510992543336,1.9830274981991884,0.9536794099023582,0.7018066607146018,False
shock10,general,1.0,1.0,2,4,256,188,12,0.9536794099023582,0.9634838510291843,0.25029834209616103,0.14149724008541828,0.9021796950603074,0.6780704865717744,0.3610102739276916,0.31857415801406147,2.1695179790854695,0.9536794099023582,0.6780704865717744,False
shock10,gap2_or_short,1.0,1.0,2,4,256,188,12,0.9536794099023582,0.9634838510291843,0.25029834209616103,0.14149724008541828,0.9021796950603074,0.6780704865717744,0.3610102739276916,0.31857415801406147,2.1695179790854695,0.9536794099023582,0.6780704865717744,False
shock_gap,general,1.0,1.3,2,4,256,188,12,0.9536723832985591,0.9783442742107026,0.25061655590089094,0.12668083882920486,0.9041025810476191,0.7252634493452288,0.3589077245192949,0.2949304648276883,1.933081047221738,0.9536723832985591,0.7252634493452288,False
shock_gap,gap2_or_short,1.0,1.3,2,4,256,188,12,0.9536723832985591,0.9783442742107026,0.25061655590089094,0.12668083882920486,0.9041025810476191,0.7252634493452288,0.3589077245192949,0.2949304648276883,1.933081047221738,0.9536723832985591,0.7252634493452288,False
shock_gap,general,1.0,1.15,2,4,256,188,12,0.9536723832985591,0.9775768847739355,0.25061655590089094,0.12738464227219592,0.9041025810476191,0.7075195915440009,0.3589077245192949,0.2984172575685065,1.9679489746299197,0.9536723832985591,0.7075195915440009,False
shock_gap,gap2_or_short,1.0,1.15,2,4,256,188,12,0.9536723832985591,0.9775768847739355,0.25061655590089094,0.12738464227219592,0.9041025810476191,0.7075195915440009,0.3589077245192949,0.2984172575685065,1.9679489746299197,0.9536723832985591,0.7075195915440009,False
shock_gap,general,1.0,1.0,2,4,256,188,12,0.9536723832985591,0.9600329061173398,0.25061655590089094,0.14369317947863833,0.9041025810476191,0.682717780581755,0.3589077245192949,0.317307352085713,2.1568499198019846,0.9536723832985591,0.682717780581755,False
shock_gap,gap2_or_short,1.0,1.0,2,4,256,188,12,0.9536723832985591,0.9600329061173398,0.25061655590089094,0.14369317947863833,0.9041025810476191,0.682717780581755,0.3589077245192949,0.317307352085713,2.1568499198019846,0.9536723832985591,0.682717780581755,False
shock_multi20,general,1.0,1.3,2,4,256,188,12,0.9535255970951352,0.9800100495478696,0.2526613810197327,0.12314084819160907,0.8912910630580678,0.6717848562958946,0.37180062698299976,0.3186302029753215,2.1700784286980697,0.9535255970951352,0.6717848562958946,False
shock_multi20,gap2_or_short,1.0,1.3,2,4,256,188,12,0.9535255970951352,0.9800100495478696,0.2526613810197327,0.12314084819160907,0.8912910630580678,0.6717848562958946,0.37180062698299976,0.3186302029753215,2.1700784286980697,0.9535255970951352,0.6717848562958946,False
shock_multi20,general,1.0,1.15,2,4,256,188,12,0.9535255970951352,0.9757516484815837,0.2526613810197327,0.1298341534291635,0.8912910630580678,0.6643346115439723,0.37180062698299976,0.3080709912393158,2.0644863113380127,0.9535255970951352,0.6643346115439723,False
shock_multi20,gap2_or_short,1.0,1.15,2,4,256,188,12,0.9535255970951352,0.9757516484815837,0.2526613810197327,0.1298341534291635,0.8912910630580678,0.6643346115439723,0.37180062698299976,0.3080709912393158,2.0644863113380127,0.9535255970951352,0.6643346115439723,False
shock_multi20,general,1.0,1.0,2,4,256,188,12,0.9535255970951352,0.957207125943896,0.2526613810197327,0.1453592953754115,0.8912910630580678,0.6479453821191312,0.37180062698299976,0.32562438325544274,2.2400202314992814,0.9535255970951352,0.6479453821191312,False
shock_multi20,gap2_or_short,1.0,1.0,2,4,256,188,12,0.9535255970951352,0.957207125943896,0.2526613810197327,0.1453592953754115,0.8912910630580678,0.6479453821191312,0.37180062698299976,0.32562438325544274,2.2400202314992814,0.9535255970951352,0.6479453821191312,False
shock5,general,1.0,1.3,2,4,256,188,12,0.953427078035829,0.980675793839697,0.2534154259178299,0.12076047435029715,0.9055100998423015,0.738933169096103,0.3575189729458379,0.2868071998602832,1.8518483975476867,0.953427078035829,0.738933169096103,False
shock5,gap2_or_short,1.0,1.3,2,4,256,188,12,0.953427078035829,0.980675793839697,0.2534154259178299,0.12076047435029715,0.9055100998423015,0.738933169096103,0.3575189729458379,0.2868071998602832,1.8518483975476867,0.953427078035829,0.738933169096103,False
shock5,general,1.0,1.15,2,4,256,188,12,0.953427078035829,0.9743006078946336,0.2534154259178299,0.1314878819586329,0.9055100998423015,0.7178480845413715,0.3575189729458379,0.2969508903914363,1.9532853028592174,0.953427078035829,0.7178480845413715,False
shock5,gap2_or_short,1.0,1.15,2,4,256,188,12,0.953427078035829,0.9743006078946336,0.2534154259178299,0.1314878819586329,0.9055100998423015,0.7178480845413715,0.3575189729458379,0.2969508903914363,1.9532853028592174,0.953427078035829,0.7178480845413715,False
shock5,general,1.0,1.0,2,4,256,188,12,0.953427078035829,0.9551899160523174,0.2534154259178299,0.14648865259052032,0.9055100998423015,0.6905249527770125,0.3575189729458379,0.3160034628612428,2.143811027557283,0.953427078035829,0.6905249527770125,False
shock5,gap2_or_short,1.0,1.0,2,4,256,188,12,0.953427078035829,0.9551899160523174,0.2534154259178299,0.14648865259052032,0.9055100998423015,0.6905249527770125,0.3575189729458379,0.3160034628612428,2.143811027557283,0.953427078035829,0.6905249527770125,False
shock20,general,1.0,1.3,2,4,256,188,12,0.9532944275448187,0.979636822654423,0.25422638876187753,0.12410406095199872,0.892041808616352,0.6761695643203702,0.3711744994337384,0.316889576346845,2.1526721624133045,0.9532944275448187,0.6761695643203702,False
shock20,gap2_or_short,1.0,1.3,2,4,256,188,12,0.9532944275448187,0.979636822654423,0.25422638876187753,0.12410406095199872,0.892041808616352,0.6761695643203702,0.3711744994337384,0.316889576346845,2.1526721624133045,0.9532944275448187,0.6761695643203702,False
shock20,general,1.0,1.15,2,4,256,188,12,0.9532944275448187,0.976287497421732,0.25422638876187753,0.12916650560210613,0.892041808616352,0.6678516485363246,0.3711744994337384,0.3074885052243008,2.058661451187863,0.9532944275448187,0.6678516485363246,False
shock20,gap2_or_short,1.0,1.15,2,4,256,188,12,0.9532944275448187,0.976287497421732,0.25422638876187753,0.12916650560210613,0.892041808616352,0.6678516485363246,0.3711744994337384,0.3074885052243008,2.058661451187863,0.9532944275448187,0.6678516485363246,False
shock20,general,1.0,1.0,2,4,256,188,12,0.9532944275448187,0.9579964215946575,0.25422638876187753,0.14490439071568315,0.892041808616352,0.6507730461211012,0.3711744994337384,0.3250883933694742,2.234660332639597,0.9532944275448187,0.6507730461211012,False
shock20,gap2_or_short,1.0,1.0,2,4,256,188,12,0.9532944275448187,0.9579964215946575,0.25422638876187753,0.14490439071568315,0.892041808616352,0.6507730461211012,0.3711744994337384,0.3250883933694742,2.234660332639597,0.9532944275448187,0.6507730461211012,False
