,importance
photo_temp_interaction,0.17595653
ph0,0.10192823
t1_morning,0.09084749
gap_hours,0.08276869
overnight_h,0.06739958
t0_morning,0.055737413
hist_salt_buildup,0.052804876
transpiration_pull,0.05123395
ec0,0.03888924
hist_acid_decay,0.03862257
temp_x_canopy,0.038218766
ET0_per_hour,0.03612786
soil_delta,0.03222134
hist_irr_mid,0.031109437
hist_hrs_since_fert,0.024567202
rad_morning,0.023812218
hist_irr_recent,0.02289312
hist_hrs_since_irr,0.015278391
hist_irr_prior,0.011530526
rad_t1_log,0.008052554
