,importance
ET0_per_hour,0.16371849
ph0,0.12180818
photo_temp_interaction,0.12048921
t0_morning,0.08940098
t1_morning,0.078998655
transpiration_pull,0.060201075
hist_hrs_since_fert,0.05403099
hist_irr_mid,0.04190414
ec0,0.037215203
overnight_h,0.034380984
soil_delta,0.032145467
hist48_irr_prevday,0.03200983
hist_salt_buildup,0.0301851
hist_acid_decay,0.027592333
rad_morning,0.017474214
hist_irr_prior,0.013664621
hist_hrs_since_irr,0.013423863
gap_hours,0.010029211
temp_x_canopy,0.00952218
rad_t1_log,0.007699381
hist_irr_recent,0.0041059474
