,importance
stage_x_salt_conc,0.1280713
ec0_x_p48_salt,0.10589258
soil_temp_mean,0.075983405
last_event_salt_conc,0.06903397
ec0,0.066127986
irr_to_et0,0.06506181
ec_log_anchor,0.057412516
log_ec_drive,0.055107683
prev_ec_slope,0.052696202
salt_recency_pressure,0.03190599
hrs_since_fert,0.030899063
temp_trend,0.030325415
irr_total_t0_t1,0.02729342
timing_balance,0.025964031
salt_conc_t0_t1,0.023256145
rad_t1_log,0.021079574
hrs_since_irr,0.02023783
hour_cos_b,0.017880155
hour_sin_b,0.017067924
hrs_since_last_salt_event,0.01678067
hist_hrs_since_fert,0.016645554
hist_major_last_event_salt_conc_t1,0.01587538
salt_event_pos,0.0124439
irr_after_last_salt,0.008642207
recent_salt_conc_2h,0.008315324
