,coefficient
rad_t1_log,0.68761383973846
fert_salt_total_t0_t1,0.4755563226338439
ec_log_anchor,-0.46617143899363633
gap_hours,0.43165103590829373
hour_sin_b,-0.41111439229636254
ec0,0.4057254271836993
ET0_sum_t0_t1,-0.40390004350834374
low_dilution_event,0.3836859989668227
ec0_x_p48_salt,-0.25191410048578033
salt_conc_t0_t1,-0.21235332057528294
salt_event_pos,-0.20636249124825998
hour_cos_b,0.1543598101514662
soil_temp_mean,-0.12700226164134384
timing_balance,0.10768316370439479
hist_hrs_since_fert,0.10741362605215944
hrs_since_last_salt_event,0.1058335413116226
super_shock_event,-0.06929617731297802
prev_ec_slope,-0.05604623129461291
irr_to_et0,0.049231616529230394
recent_salt_conc_2h,0.047872855761675805
temp_trend,-0.03952844855647779
irr_total_t0_t1,-0.020232536450883687
hist_major_last_event_salt_conc_t1,0.005084506616577044
last_event_salt_conc,0.005084506616577044
irr_after_last_salt,0.0
fertigation_event,0.0
