,coefficient
acid_conc_t0_t1,-2.1032495681104826
salt_conc_t0_t1,1.8760837251762121
gap_hours,-1.455867471905586
ET0_sum_t0_t1,1.0468422471564776
ph0,-1.0233586413987419
h3po4_total,-0.7311879005868002
ec0_x_p48_salt,-0.6925713608947673
hist_major_last_event_salt_conc_t1,-0.5771405944702837
last_event_salt_conc,0.40277769243400635
rad_t1_log,-0.38568950899857596
hour_cos_b,-0.3724766405840899
irr_total_t0_t1,0.33588467854217524
fertigation_event,0.3293262913650294
low_dilution_event,-0.32465283290230246
timing_balance,0.26127767900225024
irr_to_et0,-0.24799113456928948
recent_salt_conc_2h,-0.22860698656948816
soil_temp_mean,0.19202539872062513
hist_dark_recent_6h,0.17367380726893172
hist48_acid_prevday,0.13650162036449126
hist_acid_decay,0.13120452724287623
ec_log_anchor,-0.1268701947194565
irr_after_last_salt,0.11731369941973271
fert_salt_total_t0_t1,0.09263359133884128
salt_event_pos,0.08235679575565327
soil_delta,0.06027746403213423
super_shock_event,0.054176111204634496
temp_trend,-0.05208341944487733
hrs_since_last_salt_event,-0.04466707620028651
ec0,0.028625014489220075
weighted_fert_acid,0.025656418481385307
hist_hrs_since_fert,-0.011036409823077253
hour_sin_b,-0.009922136304135092
prev_ec_slope,-0.008401231333136987
