evaluation,t0,t1,ec0,salt_conc_t0_t1,gap_hours,activate_ec0_le_0p8,activate_ec0_le_0p9,activate_ec0_lt_1p0
walkforward_w52,2025-09-18 07:10:00,2025-09-18 09:40:00,0.47,3.223267326732673,2.5,True,True,True
walkforward_w30,2025-09-18 07:10:00,2025-09-18 09:40:00,0.47,3.223267326732673,2.5,True,True,True
walkforward_w52,2025-09-21 06:30:00,2025-09-21 07:20:00,0.501,3.2446843853820595,0.8333333333333334,True,True,True
walkforward_w30,2025-09-21 06:30:00,2025-09-21 07:20:00,0.501,3.2446843853820595,0.8333333333333334,True,True,True
holdout,2025-09-21 06:30:00,2025-09-21 08:40:00,0.501,3.2446843853820595,2.1666666666666665,True,True,True
holdout,2025-09-21 06:30:00,2025-09-21 11:40:00,0.501,3.2446843853820595,5.166666666666667,True,True,True
holdout,2025-09-21 06:30:00,2025-09-21 13:40:00,0.501,3.2446843853820595,7.166666666666667,True,True,True
holdout,2025-09-21 06:30:00,2025-09-21 15:30:00,0.501,3.2446843853820595,9.0,True,True,True
walkforward_w30,2025-08-20 12:00:00,2025-08-20 12:20:00,0.9119,3.223267326732673,0.3333333333333333,False,False,True
walkforward_w52,2025-09-18 10:30:00,2025-09-18 12:00:00,0.968,3.223267326732673,1.5,False,False,True
walkforward_w30,2025-09-18 10:30:00,2025-09-18 12:00:00,0.968,3.223267326732673,1.5,False,False,True
walkforward_w52,2025-09-18 12:00:00,2025-09-18 13:10:00,0.98,3.223267326732673,1.1666666666666667,False,False,True
walkforward_w30,2025-09-18 12:00:00,2025-09-18 13:10:00,0.98,3.223267326732673,1.1666666666666667,False,False,True
holdout,2025-09-18 12:00:00,2025-09-18 14:10:00,0.98,3.223267326732673,2.1666666666666665,False,False,True
holdout,2025-09-18 12:00:00,2025-09-18 15:10:00,0.98,3.223267326732673,3.1666666666666665,False,False,True
