,importance
photo_temp_interaction,0.16297418931866386
ph0,0.16259270843526286
transpiration_pull,0.05694133726688496
ET0_per_hour,0.053006193644100426
soil_temp_mean,0.04964454307603168
ec0,0.044213259076512024
hist_salt_buildup,0.03866717589580989
temp_trend,0.038583251087080786
ec0_x_p48_salt,0.03430054327334408
hour_sin_b,0.029919559896302336
soil_delta,0.02932493157858691
temp_x_canopy,0.02496522811015182
pre_anchor_salt_buildup,0.024021918219973962
ec_log_anchor,0.023896558259892557
log_ec_drive,0.023727814043182645
rad_t1_log,0.018899563905975542
stage_x_salt_conc,0.018610475537514597
hist_hrs_since_fert,0.01734251782661392
pre_salt_irr_ratio_24h,0.014031912020491642
irr_to_et0,0.013936330942942504
hrs_since_fert,0.01324397731136437
hist48_irr_prevday,0.012880604845887262
hist_irr_recent,0.010680192903043008
hist_dark_recent_6h,0.009714689483021354
hist_irr_prior,0.008526271327139654
salt_recency_pressure,0.008471753364823725
hour_cos_b,0.008313611452795204
fert_salt_total_t0_t1,0.008272338233100756
pre_salt_irr_ratio_6h,0.005601737415634827
rad_morning,0.005578685306616161
irr_after_last_salt,0.005489932260530601
salt_conc_t0_t1,0.0054237819380293095
gap_hours,0.005147716750608628
salt_event_pos,0.004610209177612587
ET0_sum_t0_t1,0.0046067591354267984
irr_total_t0_t1,0.003221967095809158
t1_early_day,0.0006157605832377079
t1_morning_short,0.0
