,ph_xgb_gain_importance,ec_xgb_gain_importance
photo_temp_interaction,0.19514893137873782,0.028467935178940033
ph0,0.1986663520474525,0.01178712726269241
transpiration_pull,0.05960331327004062,0.04581296768661675
ET0_per_hour,0.06387184791995752,0.007582412073636696
soil_temp_mean,0.05169731834858228,0.04106293232105175
ec0,0.029802809530299148,0.10445602917585108
hist_salt_buildup,0.04116543145917855,0.028223238316293746
temp_trend,0.040642903808500705,0.029972889211618864
ec0_x_p48_salt,0.00964616960023422,0.13736795698374318
hour_sin_b,0.03581540209992943,0.005272038299140821
soil_delta,0.03372040607095723,0.010949685305234928
temp_x_canopy,0.02108791554719386,0.04117430254495604
pre_anchor_salt_buildup,0.026604404906835487,0.0132258530963783
ec_log_anchor,0.01042123724779647,0.08023003093492367
log_ec_drive,0.009202031139978643,0.08445273432719984
rad_t1_log,0.01687075902469,0.027380966630279967
stage_x_salt_conc,0.0041414405660519255,0.07909816154271611
hist_hrs_since_fert,0.01933221011879059,0.009024624971041801
pre_salt_irr_ratio_24h,0.011186603110331605,0.025926703365250135
irr_to_et0,0.01356909686317201,0.015471550102435686
hrs_since_fert,0.012629007652153796,0.015814853096958962
hist48_irr_prevday,0.011735810223832507,0.017666409688840864
hist_irr_recent,0.01005527508166671,0.013292656901714415
hist_dark_recent_6h,0.011437502194643371,0.0025124845984596483
hist_irr_prior,0.00610834902472261,0.018634376346032364
salt_recency_pressure,0.006542896094513878,0.016535325893707986
hour_cos_b,0.006098700785767829,0.017573027939171947
fert_salt_total_t0_t1,0.007723638553896324,0.010566172892587879
pre_salt_irr_ratio_6h,0.003801847892684453,0.013126161298983025
rad_morning,0.004519461280578773,0.010006762951219291
irr_after_last_salt,0.006146196033018412,0.002746426761710246
salt_conc_t0_t1,0.0051355428487284685,0.006628763166040807
gap_hours,0.00440133201622101,0.008267972216281198
salt_event_pos,0.0039802185823938265,0.00724387986712161
ET0_sum_t0_t1,0.004944406902835953,0.0031952253202356877
irr_total_t0_t1,0.002203326015125372,0.007480388059054039
t1_early_day,0.0003399047585058469,0.001768973671878127
t1_morning_short,0.0,0.0
