,importance
ET0_per_hour,0.17589525566611985
ph0,0.14462991654751745
soil_temp_mean,0.0987956779843066
climate_demand_soil,0.06272601364484169
climate_demand_pull,0.05001966132065557
ec0,0.04518417370502281
ec0_x_p48_salt,0.04382134669003008
soil_delta,0.034510675284519614
hist_salt_buildup,0.03248796126665332
temp_x_canopy,0.02277526179387443
log_ec_drive,0.022503955042353023
rad_t1_log,0.02248124745388509
stage_x_salt_conc,0.02070267031898822
hour_sin_b,0.019410876765505486
pre_anchor_salt_buildup,0.01805550730769754
ec_log_anchor,0.0169610927669804
pre_salt_irr_ratio_24h,0.014882149149101265
hist_hrs_since_fert,0.01458135242366152
hist_dark_recent_6h,0.01325485397196389
hist48_irr_prevday,0.012432742970202504
irr_to_et0,0.01199950389456422
hrs_since_fert,0.010285658632411689
hist_irr_prior,0.009794676977663017
hour_cos_b,0.008932409392786339
salt_event_pos,0.008846356614987028
salt_recency_pressure,0.008838540627097583
rad_morning,0.007742960432150674
fert_salt_total_t0_t1,0.007069203403606049
temp_trend,0.007050708304149514
salt_conc_t0_t1,0.006002550841954835
pre_salt_irr_ratio_6h,0.005385839004070464
ET0_sum_t0_t1,0.003961625960525888
hist_irr_recent,0.0038456780833283086
ec_salt_carryover_pressure,0.0031364022639903863
gap_hours,0.00289980900816983
salt_carryover_pressure,0.002761466843703401
irr_after_last_salt,0.002597730895260391
irr_total_t0_t1,0.00194538673640254
t1_early_day,0.0007855241842426813
t1_morning_short,5.57582505484526e-06
high_ec_salt_carryover,0.0
