,ph_xgb_gain_importance,ec_xgb_gain_importance
ph0,0.22495844706025894,0.00970362193358427
ET0_per_hour,0.10265756398982957,0.00978802063055109
soil_temp_mean,0.08877626202775135,0.03934725446180986
climate_demand_soil,0.08555186187143986,0.0061923811885802186
climate_demand_pull,0.0658340742518989,0.023482031020382484
ec0_x_p48_salt,0.014662028158751231,0.14291677343139453
temp_x_canopy,0.032305052775494426,0.061747967785064965
temp_trend,0.039412863862447495,0.03132769216699384
hist_salt_buildup,0.03392415963342442,0.043547615071111344
hour_sin_b,0.037061030960923884,0.010201573258363647
ec0,0.017435202304606053,0.09109062788475855
ec_log_anchor,0.01926914246521604,0.08083911704297664
log_ec_drive,0.009088391927939836,0.10949636333559878
soil_delta,0.030120836687809606,0.006586837149589538
irr_to_et0,0.01944420758396863,0.024375740490067074
stage_x_salt_conc,0.006747879001983201,0.07204082139704221
hist48_irr_prevday,0.018233237608591753,0.023050892526760156
pre_anchor_salt_buildup,0.01926500878077757,0.01694912020448746
hist_hrs_since_fert,0.020043999517922687,0.005656552037032607
hist_dark_recent_6h,0.017989787984467286,0.0027318708601719545
rad_t1_log,0.011985136302984518,0.026064106061004476
pre_salt_irr_ratio_24h,0.0089110104998525,0.014806623032968666
hrs_since_fert,0.009511217223566053,0.009854463483410203
hist_irr_recent,0.006689231486903595,0.019754283080085224
hist_irr_prior,0.005896832524725392,0.014912925376661734
salt_conc_t0_t1,0.005993352359560697,0.012092578103327435
hour_cos_b,0.005159029373936152,0.015504252037053452
rad_morning,0.00552380845296776,0.01091961463923793
salt_recency_pressure,0.003106730768730361,0.014310191902037552
salt_event_pos,0.005789055405257566,0.002615502303347836
pre_salt_irr_ratio_6h,0.0030218965963868375,0.013271422846416088
salt_carryover_pressure,0.005102007374444159,0.003317280266854077
ET0_sum_t0_t1,0.005262416483129995,0.0022177714749067145
fert_salt_total_t0_t1,0.004810710364240704,0.0012449853492065928
irr_after_last_salt,0.0035151188532079624,0.004260916607038056
irr_total_t0_t1,0.001342918760342228,0.012782344483431138
gap_hours,0.0031592838236577654,0.0042617337673483665
ec_salt_carryover_pressure,0.001190690063907696,0.0052483351275030175
t1_early_day,0.0010620427390202298,0.001455080168987006
t1_morning_short,0.00018647208767524708,0.0
high_ec_salt_carryover,0.0,3.2716012853145174e-05
