,importance
photo_temp_interaction,0.13530483075362912
ET0_per_hour,0.12858423429873142
ph0,0.11693182357843318
soil_temp_mean,0.09916207055681511
transpiration_pull,0.08774239426327043
temp_x_canopy,0.02819919702774114
ec0,0.027240495340221372
ec_log_anchor,0.025882681576576323
temp_trend,0.024787621303828323
log_ec_drive,0.0241969579064356
pre_anchor_salt_buildup,0.0225453959597722
hist_salt_buildup,0.022527993762325296
ec0_x_p48_salt,0.022274068430902946
hist_hrs_since_fert,0.021981602230266194
hist48_irr_prevday,0.019159429136167853
irr_to_et0,0.017957855687160244
hour_sin_b,0.015989036324101636
hist_dark_recent_6h,0.015278542611146636
soil_delta,0.013784687189170206
hrs_since_fert,0.011478301819386917
rad_t1_log,0.011408265174737229
stage_x_salt_conc,0.01004953378859813
hist_irr_prior,0.008950869569438611
rad_morning,0.008750734667273101
pre_salt_irr_ratio_24h,0.008183019171034568
irr_after_last_salt,0.008080060808679922
salt_event_pos,0.007965198907407621
hour_cos_b,0.007459175191924493
ET0_sum_t0_t1,0.007420520887518402
pre_salt_irr_ratio_6h,0.0071317529684531795
irr_total_t0_t1,0.006769462007154913
gap_hours,0.006335099171055524
hist_irr_recent,0.006294982701911295
salt_conc_t0_t1,0.005395099208263866
fert_salt_total_t0_t1,0.004915097213613451
salt_recency_pressure,0.0033538692549428817
t1_early_day,0.0004977458337174957
t1_morning_short,3.0293718193188808e-05
