,ph_xgb_gain_importance,ec_xgb_gain_importance
ET0_per_hour,0.1482190568698807,0.008574072899288621
ph0,0.14248691854401374,0.024097411631870718
photo_temp_interaction,0.12893997372773303,0.055163259335696185
soil_temp_mean,0.11746725331312005,0.06506061211778792
transpiration_pull,0.1000566589165394,0.06806373375970276
temp_x_canopy,0.02608155988568078,0.04755853248848106
pre_anchor_salt_buildup,0.030984477873405723,0.009955003916180191
ec_log_anchor,0.012407333434730142,0.0969804258257341
log_ec_drive,0.008247345800192766,0.1139570655309498
ec0_x_p48_salt,0.010821032150766085,0.09984799429720655
temp_trend,0.024223236881822405,0.026497601241341078
ec0,0.018823110087314295,0.05227405249174357
hist_salt_buildup,0.02082836288355945,0.03077641987738748
hist_hrs_since_fert,0.024515599108743784,0.010865795043439286
irr_to_et0,0.0190576708921301,0.02604200603991932
hist48_irr_prevday,0.01728092964321532,0.0258651554287747
hist_dark_recent_6h,0.01736670633226275,0.0010581065435436156
soil_delta,0.013995389616256612,0.011687193598922804
rad_t1_log,0.00758934341501267,0.026057541086209533
hour_sin_b,0.010785451587029215,0.00858923729144735
rad_morning,0.009554857300012176,0.008984186952279531
stage_x_salt_conc,0.00427223875923528,0.03478113664076282
hrs_since_fert,0.008278662208439192,0.014834674980126998
pre_salt_irr_ratio_24h,0.008686418613249878,0.010942772116179013
gap_hours,0.008233458245144909,0.008718156975512351
irr_after_last_salt,0.009044304941536848,0.0032451697027467826
hist_irr_prior,0.005525284431261391,0.01742408965909561
pre_salt_irr_ratio_6h,0.006883365945947556,0.010241368048751726
ET0_sum_t0_t1,0.006231638269627349,0.010932591334499574
irr_total_t0_t1,0.005386869859674249,0.011818872542829503
hist_irr_recent,0.005717976094398868,0.009409815243570784
salt_event_pos,0.005474540629384972,0.006589177780909579
fert_salt_total_t0_t1,0.003950088123563759,0.01393691644067003
hour_cos_b,0.004943223044779952,0.008710453790159516
salt_recency_pressure,0.0042315890685492175,0.009883924588292943
salt_conc_t0_t1,0.003138088647841866,0.00913418581964368
t1_early_day,0.00014755409947971826,0.0012998802092716185
t1_morning_short,0.0001224307544636885,0.00014140672907135513
