,importance
ph0,0.17281127977352198
photo_temp_interaction,0.10435583270233555
ET0_per_hour,0.08670537515092823
transpiration_pull,0.07018908475894454
soil_delta,0.043020244758522036
hour_sin_b,0.04084849109503557
hist_salt_buildup,0.04014613357961871
ec0_x_p48_salt,0.03983375652598696
ec0,0.038146645302214566
temp_x_canopy,0.038051115218568396
ec_log_anchor,0.029330421675105977
soil_temp_mean,0.029062285024329986
pre_anchor_salt_buildup,0.02555210618632521
hist_hrs_since_fert,0.024225745120601973
temp_trend,0.0232421134909735
log_ec_drive,0.020440192260138514
irr_to_et0,0.01814691211212942
fert_salt_total_t0_t1,0.016893799142407715
rad_t1_log,0.016601572732325234
hist48_irr_prevday,0.01449897233253346
stage_x_salt_conc,0.012616160381382639
pre_salt_irr_ratio_24h,0.012446076286654867
hrs_since_fert,0.011623185358813957
hist_dark_recent_6h,0.00978727590937598
salt_conc_t0_t1,0.008630113944120462
hist_irr_prior,0.00831707662876137
hour_cos_b,0.007430721410187912
hist_irr_recent,0.006802143183330224
pre_salt_irr_ratio_6h,0.005295872507607042
rad_morning,0.004446286589950676
irr_total_t0_t1,0.004324917025019143
salt_recency_pressure,0.004295093828607934
salt_event_pos,0.004065155411995188
gap_hours,0.003086222804264252
ET0_sum_t0_t1,0.0022006907037800116
irr_after_last_salt,0.0017877510597156367
t1_early_day,0.0007373680584947522
t1_morning_short,5.809965390377567e-06
