,ph_xgb_gain_importance,ec_xgb_gain_importance
ph0,0.2080486855758572,0.0164692563683108
photo_temp_interaction,0.1227604229449679,0.022697980401350987
ET0_per_hour,0.104281350531977,0.008723937760005487
transpiration_pull,0.07506588225379589,0.04855161256932055
soil_delta,0.05075184608961446,0.008716522088185612
hour_sin_b,0.048168855079511345,0.008369354469156882
hist_salt_buildup,0.03995389560231968,0.0409990588634733
ec0_x_p48_salt,0.008814136161353125,0.1774622255532657
ec0,0.02773755871598844,0.08432988784337762
temp_x_canopy,0.03646486267687398,0.04508903206725221
ec_log_anchor,0.01952874286817192,0.07281870529167378
soil_temp_mean,0.024960458721754702,0.04726134960356295
pre_anchor_salt_buildup,0.02932816218980977,0.008798425754008975
hist_hrs_since_fert,0.02841825374304885,0.005624339419683427
temp_trend,0.02269051346300608,0.025689463473731973
log_ec_drive,0.0035706093898969058,0.0952874932995549
irr_to_et0,0.01577881726123074,0.028653722479549434
fert_salt_total_t0_t1,0.02044679755375145,0.0011297850744888126
rad_t1_log,0.016064684510308836,0.0189836490816264
hist48_irr_prevday,0.013532418654781579,0.018787396927611437
stage_x_salt_conc,0.0034362948533811534,0.05334557046583292
pre_salt_irr_ratio_24h,0.013277473170196953,0.008757318046196031
hrs_since_fert,0.011006128514498408,0.014360955447153831
hist_dark_recent_6h,0.010711269164677736,0.005687684243718502
salt_conc_t0_t1,0.00468266771864974,0.02614422192457959
hist_irr_prior,0.006932016940116608,0.014462337022628488
hour_cos_b,0.005064650965810359,0.01792854985046256
hist_irr_recent,0.005217920730877736,0.013831052891659937
pre_salt_irr_ratio_6h,0.0025714280768532076,0.017383741783468586
rad_morning,0.004022556130425365,0.006326302326416068
irr_total_t0_t1,0.0024949650553694894,0.012444084346082782
salt_recency_pressure,0.0033299899452388956,0.008577085947112383
salt_event_pos,0.004082002076416292,0.00399040979598706
gap_hours,0.0026150276609476428,0.005176830794479726
ET0_sum_t0_t1,0.0016213669918132272,0.004771045679500229
irr_after_last_salt,0.0019179619641189664,0.0012100287274294744
t1_early_day,0.0006493260525883943,0.0011279945826284145
t1_morning_short,0.0,3.158773547201278e-05
