,pH_delta,EC_log_delta
ph0,-1.0035986132433508,-0.08362361015748825
ec0,0.17577630340508335,0.9264469861821076
gap_hours,-1.0900510792076887,-0.5982734240549454
ET0_per_hour,-0.35002757158305553,0.17946502799484138
transpiration_pull,1.4285160893876154,-0.6065870656998132
photo_temp_interaction,-0.7967703859130765,0.5263274750617402
temp_x_canopy,-0.7420169482636546,0.332874203013121
t0_morning,0.0704576648422517,-0.18468039597253957
t1_morning,-0.6207376066695325,0.5421764234243259
soil_delta,-0.14153859219898826,-0.07523461648403111
rad_t1_log,0.1441886863333383,0.12004457638855573
hist_dark_recent_6h,0.10423975623506126,0.1081208177691744
rad_morning,0.3128336751361364,0.20261981907159662
hist_irr_recent,-0.3363879980712742,0.13379441300887324
hist_irr_mid,0.17032809534246637,0.08046357788386753
hist_irr_prior,-0.004236431657807669,0.14352893800725233
hist_salt_buildup,-0.3472381707332666,0.4839965569327271
hist_hrs_since_fert,-0.1935254631289702,0.31699213468644044
hist48_irr_prevday,0.3782768513970526,-0.185270822531236
h3po4_total,-0.46496299940653435,0.2059524974837182
stage_x_salt_conc,-0.8505674393658457,0.3615026110325542
log_ec_drive,0.6247393219849743,-0.05499199003240936
soil_temp_mean,0.5862592469201959,-0.5103747537964023
ec_log_anchor,0.14784071147217498,-0.9126380976730811
salt_conc_t0_t1,0.38439890367325436,-0.3123075633732915
irr_to_et0,-0.2094529813948862,-0.0649898341805075
temp_trend,-0.008757792037351421,-0.052937525756223736
prev_ec_slope,0.009089464814262937,0.03200609207891634
irr_total_t0_t1,0.14632206699842482,0.050950562325238445
hour_cos_b,0.03332817969320509,-0.20779909804351587
hour_sin_b,0.1575545217067671,-0.6701846671420194
salt_recency_pressure,0.1669603310357338,-0.1695922186532232
hrs_since_fert,0.1950557433246961,-0.13773500202696415
hrs_since_last_salt_event,-0.2282296112412055,0.049807111979623724
irr_after_last_salt,0.011699894991886681,-0.055399420905730544
hist_major_last_event_salt_conc_t1,-0.08935234703069254,-0.1058327494376133
salt_event_pos,0.22309605602686772,-0.09010091960105812
ec0_x_p48_salt,-0.7515178156196228,-0.4264348889622783
fert_salt_total_t0_t1,0.10386916789416827,-0.05629810722232989
ET0_sum_t0_t1,0.4990399142097791,0.31154643163372875
