,importance
t1_morning,0.32687864
t0_morning,0.1336332
photo_temp_interaction,0.08488792
ET0_per_hour,0.053620555
ph0,0.052054893
transpiration_pull,0.02657099
hist_salt_buildup,0.02077437
hour_sin_b,0.019770207
temp_x_canopy,0.018796474
ec_log_anchor,0.018563123
ec0,0.017276216
soil_temp_mean,0.014855201
rad_morning,0.0141048655
hist_irr_mid,0.013396685
hist48_irr_prevday,0.012944946
ec0_x_p48_salt,0.012832264
irr_to_et0,0.012388544
gap_hours,0.0122343935
irr_after_last_salt,0.011952154
soil_delta,0.011300325
h3po4_total,0.010412281
hist_hrs_since_fert,0.00996621
hist_dark_recent_6h,0.008834405
prev_ec_slope,0.008391664
ET0_sum_t0_t1,0.0072105345
hist_irr_recent,0.007153905
salt_recency_pressure,0.0068005095
hist_irr_prior,0.0066271443
hrs_since_fert,0.006047415
temp_trend,0.005028981
log_ec_drive,0.0048379037
stage_x_salt_conc,0.00474328
hour_cos_b,0.004514613
rad_t1_log,0.00439795
fert_salt_total_t0_t1,0.0035415154
salt_event_pos,0.0030240058
irr_total_t0_t1,0.0027886361
salt_conc_t0_t1,0.002473016
hist_major_last_event_salt_conc_t1,0.0023942252
hrs_since_last_salt_event,0.0019758916
