,pH_delta,EC_log_delta
ph0,-0.9357360168252559,-0.14299453470118687
ec0,0.22215646006492618,0.9888415388703308
gap_hours,-0.8395274401961784,-0.3127405795650735
ET0_per_hour,-0.28377671137137733,0.19794839379596726
transpiration_pull,1.4498523314399987,-0.565760283966552
photo_temp_interaction,-0.7890548887799066,0.4444840039805248
temp_x_canopy,-0.7533290818106315,0.2328704331050478
t0_morning,0.06061869020678245,-0.22438874620101673
t1_morning,-0.5693664929210857,0.542182025079045
soil_delta,-0.1283348409229049,-0.044128913966575076
rad_t1_log,0.1322711670180517,0.14317431342458
hist_dark_recent_6h,0.07765072283405837,0.12418800312080469
rad_morning,0.5949135466573962,0.29079968721712435
hist_irr_recent,-0.22912662841471038,0.054292773698392915
hist_irr_mid,0.2086222764952586,0.03822345439729853
hist_irr_prior,0.024523814610942028,0.18633378951648866
hist_salt_buildup,-0.15309860435172212,0.4284243817323062
hist_hrs_since_fert,-0.007998441846352159,0.14965265925888513
hist_hrs_since_irr,0.14141174226413353,-0.03720663710226049
hist48_irr_prevday,0.39294315641666583,-0.1524282043581977
hist48_acid_prevday,-0.008626082977308663,-0.017187895218140802
h3po4_total,-0.35772811908801555,0.14129306940623582
stage_x_salt_conc,-1.3482643609023413,0.5951111062351855
log_ec_drive,0.6212209673287002,-0.12234139549337444
soil_temp_mean,0.6024052080913893,-0.45410026548167653
ec_log_anchor,0.11018897812084301,-0.951676788031184
salt_conc_t0_t1,0.9391943552115969,-0.5063575812648098
irr_to_et0,-0.16923237780955458,-0.06422536205387785
temp_trend,-0.017552518040823327,-0.0726339616675283
prev_ec_slope,-0.011034675683217157,0.02621321540294035
hour_cos_b,0.06827747722688032,-0.19667151318267515
hour_sin_b,0.21614817683963308,-0.7671712289842191
salt_recency_pressure,0.11844303989096934,-0.13497626467175805
hrs_since_last_salt_event,-0.13864322217387415,-0.06871780492687506
irr_after_last_salt,0.035008959415863385,0.04839103876827919
hist_major_last_event_salt_conc_t1,-0.01118578495788414,-0.1460601571292904
salt_event_pos,0.29863868511643643,-0.12285810893552614
ec0_x_p48_salt,-0.8347472779334643,-0.4849542835199473
fert_salt_total_t0_t1,-0.17460360029880134,0.018790060702914373
ET0_sum_t0_t1,0.21125300729426547,-0.09329731962281138
