,importance
t1_morning,0.43966487
photo_temp_interaction,0.08760703
ph0,0.053572472
ET0_per_hour,0.04912156
transpiration_pull,0.02632885
ec_log_anchor,0.021067703
soil_temp_mean,0.019584224
t0_morning,0.01870887
hist_salt_buildup,0.017077582
ec0,0.016691597
temp_x_canopy,0.015746953
irr_to_et0,0.015684463
hour_sin_b,0.015450166
rad_morning,0.014455806
ec0_x_p48_salt,0.012939381
soil_delta,0.01217042
irr_after_last_salt,0.011910511
hist48_irr_prevday,0.010919588
hist_dark_recent_6h,0.009804785
hist_irr_mid,0.009447814
hist_hrs_since_fert,0.009292135
h3po4_total,0.009122227
hist_hrs_since_irr,0.008859966
prev_ec_slope,0.0086536445
hist_irr_prior,0.007851034
gap_hours,0.007344605
ET0_sum_t0_t1,0.0070616724
salt_conc_t0_t1,0.0067210076
salt_event_pos,0.00656027
log_ec_drive,0.0063554095
stage_x_salt_conc,0.0062978924
hist_irr_recent,0.0055181845
salt_recency_pressure,0.0054538134
fert_salt_total_t0_t1,0.0051507573
hist48_acid_prevday,0.004830889
hrs_since_last_salt_event,0.003995234
hour_cos_b,0.0039793076
temp_trend,0.0039035066
rad_t1_log,0.0034444216
hist_major_last_event_salt_conc_t1,0.0016494263
