,pH_delta,EC_log_delta
ph0,-0.9483398180480725,-0.158462875565693
ec0,0.34828682248567017,0.817770733738783
gap_hours,-0.21956771587483442,-0.5413415127065987
ET0_per_hour,-0.3186972311106694,0.18277665266674814
transpiration_pull,1.3413775832457275,-0.5489775820545291
photo_temp_interaction,-0.8010182272580674,0.5037965940719779
temp_x_canopy,-0.8201718978268534,0.2535031814892065
t0_morning,0.15195248498129085,-0.26865003464012055
t1_morning,-0.6219610401549075,0.571791391467203
soil_delta,0.0195098246732667,-0.0637978992034506
rad_t1_log,0.1972156295823055,0.13743944971317512
hist_dark_recent_6h,0.11379003281357306,0.09150686063957922
rad_morning,0.054535392624007924,0.44592908571529477
hist_irr_recent,-0.17732146626490633,0.0860262541365974
hist_irr_mid,0.24449095248462568,0.048932953782930916
hist_irr_prior,0.08837047980963127,0.15974516484063422
hist_salt_buildup,0.033014955008297785,0.45470520438415296
hist_hrs_since_fert,-0.26087895835810065,0.30027485457523073
hist_hrs_since_irr,0.23674379118764666,-0.05530410683627841
hist48_irr_prevday,0.41328620189553156,-0.19363165245824307
hist48_acid_prevday,0.07717127189007937,-0.010508857862559036
h3po4_total,-0.5289105571537045,0.13062597569579593
stage_x_salt_conc,-0.7439008705467951,0.49267079690989385
log_ec_drive,0.5288887165226918,-0.10006893788081232
soil_temp_mean,0.6537752689096873,-0.4559217622491101
ec_log_anchor,0.08879444919203561,-0.9105116649234186
salt_conc_t0_t1,0.377170843370985,-0.4399078847789122
irr_to_et0,-0.2820027974288127,-0.026695979505363822
temp_trend,-0.03855959558639087,-0.053697033121741795
prev_ec_slope,-0.036107433258296545,0.015237412482378235
irr_total_t0_t1,0.1401111263016486,-0.003674758991149073
hour_cos_b,0.10885050451517993,-0.1820639116038401
hour_sin_b,0.14314636012116927,-0.7201051627432083
salt_recency_pressure,0.20051519600834414,-0.22199255415808608
last_event_salt_conc,-0.026825852046106536,0.1331341030701152
hrs_since_irr,-0.006853831436995183,0.031533988243052515
hrs_since_fert,0.17971169504864504,-0.1320158738066185
hrs_since_last_salt_event,-0.209255061665005,0.014747164015403231
irr_after_last_salt,0.0740243315680094,0.020064521156652547
recent_salt_conc_2h,-0.06838989775402098,0.036221812983797154
hist_major_last_event_salt_conc_t1,-0.16535515243590923,-0.16723152939667973
timing_balance,-0.15409567921937672,0.026636386996340522
salt_event_pos,0.3245535109393485,-0.09849453874025349
ec0_x_p48_salt,-0.9763714665636097,-0.38660553904705397
