,pH_delta,EC_log_delta
ph0,-1.0030435702836684,-0.14975130734430225
ec0,0.39133569456730644,0.8468467066947664
gap_hours,-0.6640323321153755,-0.6475087837700081
ET0_per_hour,-0.3895351887956498,0.22501039390178046
transpiration_pull,1.5193020342214956,-0.6158996467666449
photo_temp_interaction,-0.9293247975766115,0.512455049627938
temp_x_canopy,-0.7715122844428294,0.28961931291465387
t0_morning,0.16817581591813643,-0.3119367694499788
t1_morning,-0.4174592784290645,0.5837205411581833
soil_delta,-0.18672160224328926,-0.060224767913233834
rad_t1_log,0.26376580046563125,0.12532503681428753
hist_dark_recent_6h,0.19721627338602815,0.09856841523033556
rad_morning,0.5408574911746352,0.5713766077626449
hist_irr_recent,-0.29179764859310836,0.04822568859219297
hist_irr_mid,0.19508525304808583,-0.011944168037546679
hist_irr_prior,0.0025408908801959696,0.07875710150263035
hist_salt_buildup,-0.15149249375338225,0.3066432071831253
hist_hrs_since_fert,-0.22711972563712088,0.32517664112188227
hist_hrs_since_irr,0.12895035061745425,-0.07160442745266753
hist48_irr_prevday,0.42195655701095347,-0.18158185127184268
hist48_acid_prevday,0.004857310108824816,-0.011735165266652527
h3po4_total,-0.5717845763508114,0.20020391810057925
stage_x_salt_conc,-1.0897223330290169,0.6977752285940116
log_ec_drive,0.5377029154076062,-0.11029453217201174
soil_temp_mean,0.7950086643388927,-0.44726020437834263
ec_log_anchor,0.03938636720997438,-0.9486521454609547
salt_conc_t0_t1,0.7671409870658579,-0.6344881528625897
irr_to_et0,-0.15992337293091316,0.0585584595440476
temp_trend,0.10484581770043154,-0.08096501881955653
prev_ec_slope,0.008952436804183627,0.004502351790329669
irr_total_t0_t1,0.055404865638800545,-0.030133353493563105
hour_cos_b,-0.08383492298547171,-0.19697989894332021
hour_sin_b,-0.12920322020067532,-0.7132517057148061
salt_recency_pressure,0.04864264050611641,-0.23156245706844222
last_event_salt_conc,0.17385444166190547,0.07704280998963575
hrs_since_irr,0.08663174756236179,0.038923813108455226
hrs_since_fert,0.13440344736681306,-0.13165987990001282
hrs_since_last_salt_event,-0.20537473674687473,0.002721596600909292
irr_after_last_salt,0.13079847202681233,-0.03748470079449168
recent_salt_conc_2h,-0.030100709754150072,0.0851061924032106
hist_major_last_event_salt_conc_t1,-0.1057145522972579,-0.10141593018948154
timing_balance,-0.09800900321826883,0.041973172087924095
salt_event_pos,0.30202963125556137,-0.15704394419061848
ec0_x_p48_salt,-0.9756060276405536,-0.3379946911572342
