,pH_delta,EC_log_delta
ph0,-0.04514093145465346,-0.04160456509012989
ec0,0.057206822467809754,-0.019415470405983147
gap_hours,-0.014091748027148389,-0.00654763916893232
ET0_per_hour,-0.05572416083089724,0.03288542419647706
transpiration_pull,0.08944953950706491,0.018136098174607273
photo_temp_interaction,0.07447727991519669,0.005981190727737412
temp_x_canopy,-0.01299543456242019,-0.01929060989555909
t0_morning,0.0,0.0
t1_morning,-0.03158716903586952,-0.001674065603020119
soil_delta,-0.03013479871680253,0.004673657219445898
rad_t1_log,-0.0011396415687719805,0.025102799307941126
hist_dark_recent_6h,-0.0850257646010188,0.05024441144762066
rad_morning,-0.07547294303447381,0.0433636089404064
hist_irr_recent,0.2473355314645108,-0.03701934489524491
hist_irr_mid,-0.12040408481254171,-0.002257547775032695
hist_irr_prior,0.0,0.0
hist_salt_buildup,-0.03565879588639968,0.0585511078391838
hist_hrs_since_fert,-0.026948577262110494,0.02020362315485342
hist_hrs_since_irr,-0.026948577262110494,0.02020362315485342
hist48_irr_prevday,-0.01004249067084068,-0.05646318265318225
hist48_acid_prevday,-0.010042490668963542,-0.05646318265318244
h3po4_total,0.01205228829780147,0.035989316674346926
stage_x_salt_conc,0.012511504561826337,0.06133238593230421
log_ec_drive,-0.057426163118552906,0.018831457177319176
soil_temp_mean,-0.011305880830808785,-0.017902342689405434
ec_log_anchor,0.0576641396076523,-0.018410350261293153
salt_conc_t0_t1,0.015297433118460406,0.047608509387783174
irr_to_et0,-0.193896510734102,0.0976872002473168
temp_trend,-0.31447297425378273,0.13134700402896266
prev_ec_slope,0.05149067944603428,-0.029119549655113396
irr_total_t0_t1,0.012052288297801144,0.03598931667434765
hour_cos_b,0.02802483947461059,-0.012830448664650832
hour_sin_b,0.02302639333237351,0.009421405440822697
salt_recency_pressure,0.039317739353882455,-0.05436480086941268
last_event_salt_conc,0.026593055387765203,-0.050144855286480605
hrs_since_irr,-0.026948577262110494,0.02020362315485342
hrs_since_fert,-0.026948577262110494,0.02020362315485342
hrs_since_last_salt_event,-0.02894015522840064,0.02441824049681441
irr_after_last_salt,0.0,0.0
recent_salt_conc_2h,-0.0469475602534255,0.004166437509360853
hist_major_last_event_salt_conc_t1,0.026593055387765203,-0.050144855286480605
timing_balance,-0.022919949322214965,-0.031922330208341926
salt_event_pos,0.01760634266345729,-0.019920025730491717
ec0_x_p48_salt,0.02513511075195109,-0.0504466963859319
