,importance
t1_morning,0.18593948
ET0_per_hour,0.11547122
soil_temp_mean,0.05684491
photo_temp_interaction,0.05644955
ph0,0.053059343
transpiration_pull,0.041161444
t0_morning,0.039740827
hist_dark_recent_6h,0.02980446
ec0,0.025969421
stage_x_salt_conc,0.024373922
hist_irr_mid,0.023319546
hist_salt_buildup,0.021543488
temp_x_canopy,0.017854936
hist_irr_prior,0.017832482
irr_after_last_salt,0.017074209
ec_log_anchor,0.016341921
salt_conc_t0_t1,0.015604946
hrs_since_last_salt_event,0.015229269
irr_to_et0,0.014759647
ec0_x_p48_salt,0.0140778925
soil_delta,0.013879812
hrs_since_fert,0.013839841
gap_hours,0.013397529
hist_hrs_since_fert,0.013329308
rad_morning,0.012520791
hist_hrs_since_irr,0.010977884
hist48_irr_prevday,0.010657135
hour_sin_b,0.010248538
hist_major_last_event_salt_conc_t1,0.010020988
prev_ec_slope,0.009426173
log_ec_drive,0.0091432845
hist_irr_recent,0.008631035
salt_recency_pressure,0.008300512
hrs_since_irr,0.007889659
temp_trend,0.007555522
h3po4_total,0.006375735
timing_balance,0.0058574583
irr_total_t0_t1,0.0051990184
salt_event_pos,0.004856964
rad_t1_log,0.004598269
hour_cos_b,0.0036020665
hist48_acid_prevday,0.0032000227
recent_salt_conc_2h,0.0024538315
last_event_salt_conc,0.0015856095
