,global_xgb_total_gain,global_xgb_gain_importance,global_xgb_split_count,ph_xgb_total_gain,ph_xgb_gain_importance,ph_xgb_split_count,ec_xgb_total_gain,ec_xgb_gain_importance,ec_xgb_split_count,mean_target_xgb_gain_importance
photo_temp_interaction,2732.427101109413,0.26345155339708565,667,2600.5573849369694,0.3056877519851346,345,131.86971617244316,0.07072981823804293,322,0.18820878511158876
ph0,1377.6237580331685,0.1328259110382891,754,1345.4816844373656,0.1581573526641479,460,32.14207359580281,0.01723976580227148,294,0.0876985592332097
ET0_per_hour,836.3690518825822,0.08063992845124798,488,817.9748959489028,0.09615050549209661,322,18.3941559336794,0.009865914203758907,166,0.053008209847927756
soil_temp_mean,679.2966201440025,0.06549552583549838,574,535.3711493470871,0.06293127929787076,353,143.92547079691542,0.07719605899491473,221,0.07006366914639275
transpiration_pull,519.1847200475028,0.050058067767301304,807,432.2908822964148,0.05081450183652237,449,86.8938377510879,0.04660649562711933,358,0.04871049873182085
ec0,460.69470059161495,0.04441865419333149,580,292.3617153082788,0.034366246265806505,324,168.33298528333614,0.09028730627574941,256,0.062326776270777956
ec0_x_p48_salt,385.2036055928806,0.03714005333441432,499,102.50696743192641,0.012049387803775947,241,282.69663816095414,0.1516275488716677,258,0.08183846833772183
hist_salt_buildup,311.0428177513476,0.02998971627690567,611,224.7208868254802,0.026415268940297526,308,86.32193092586742,0.04629974691353263,303,0.03635750792691508
temp_x_canopy,300.57876933646844,0.028980807454195293,652,237.91475537796777,0.02796616877475553,302,62.66401395850066,0.03361055476569788,350,0.030788361770226706
log_ec_drive,237.60561417862388,0.022909144813346112,552,90.83198850296792,0.010677028907202842,200,146.77362567565595,0.07872369917443617,352,0.04470036404081951
ec_log_anchor,214.1319610321245,0.020645893075417306,170,161.3688645525625,0.01896842797286017,89,52.763096479562,0.028300085356941142,81,0.023634256664900655
irr_to_et0,205.1202750483706,0.019777016218580846,529,146.65383998006826,0.0172387207923817,265,58.46643506830233,0.031359135709367075,264,0.024298928250874388
hist_hrs_since_fert,202.9152471296652,0.019564414744151385,400,177.24492699519894,0.020834611686619205,256,25.67032013446627,0.013768567415803623,144,0.017301589551211416
hour_sin_b,168.85099922483448,0.01628005300502672,342,150.2270004593377,0.01765873513265994,172,18.6239987654968,0.009989193014009043,170,0.013823964073334492
soil_delta,163.7788517611737,0.015791013378747956,761,138.27150983924184,0.016253402924762884,409,25.50734192193186,0.013681152202637882,352,0.014967277563700383
prev_ec_slope,163.691913565426,0.015782631086422583,616,41.68460608167004,0.004899900920971381,336,122.00730748375598,0.06544000345579264,280,0.03516995218838201
temp_trend,159.2769439090657,0.015356954363447294,618,118.94840914798016,0.013982030162174393,359,40.32853476108553,0.021630667117900782,259,0.01780634864003759
hist_irr_prior,138.03363487027306,0.013308745002878458,325,125.13292116023806,0.014709001074295989,183,12.900713710035,0.006919444147878449,142,0.010814222611087219
hist48_irr_prevday,119.4913359005241,0.011520958069733873,197,64.5043823589687,0.007582297453121048,105,54.9869535415554,0.0294928763202317,92,0.018537586886676373
hist_dark_recent_6h,104.22108656715866,0.010048651304073944,350,101.49640122079454,0.011930598764509841,239,2.72468534636412,0.0014614158951565656,111,0.006696007329833204
gap_hours,94.97679217638263,0.009157347116554691,415,74.94677462274002,0.008809769469292914,208,20.0300175536426,0.010743327141322858,207,0.009776548305307886
rad_t1_log,94.33956842367975,0.009095908116977015,651,53.92522224340707,0.006338748784536211,277,40.41434618027268,0.02167669304605186,374,0.014007720915294036
ET0_sum_t0_t1,93.34955019400712,0.0090004538446955,345,85.73217623427372,0.010077561209626494,208,7.6173739597334,0.004085664937039826,137,0.0070816130733331595
irr_after_last_salt,82.2565942274387,0.007930907842911462,118,79.5653325875017,0.009352667161087265,63,2.6912616399369997,0.001443488711045996,55,0.005398077936066631
stage_x_salt_conc,79.09851179502483,0.0076264160150278665,276,24.65025414866162,0.0028975637377635652,125,54.44825764636321,0.029203940665720254,151,0.01605075220174191
hrs_since_fert,74.92666851423292,0.007224180730358212,350,51.1445222850033,0.006011885811177825,134,23.78214622922961,0.012755823921728275,216,0.00938385486645305
rad_morning,65.3679801267281,0.006302563717006099,330,38.024383909052304,0.004469652738718415,156,27.3435962176758,0.014666048025170447,174,0.00956785038194443
hour_cos_b,60.84859170554204,0.005866819283245049,470,33.80283158952254,0.003973421874550823,248,27.0457601160195,0.014506300253306513,222,0.009239861063928668
irr_total_t0_t1,57.391164982697305,0.005533465672266658,308,37.3764192240476,0.004393486425653324,142,20.0147457586497,0.010735135940830668,166,0.007564311183241996
hist_irr_recent,56.66320680077836,0.005463278360130572,482,35.27769416286056,0.004146787564207249,214,21.3855126379178,0.011470362306909877,268,0.007808574935558563
fert_salt_total_t0_t1,49.564499948941,0.004778844602879457,112,44.47297321856,0.005227665148256747,58,5.091526730381,0.00273089812162074,54,0.003979281634938743
salt_event_pos,27.54816662967493,0.0026561028065059463,245,19.5230917694927,0.0022948811164035725,145,8.02507486018223,0.004304339940074815,100,0.0032996105282391934
salt_recency_pressure,24.39181233131266,0.0023517775995727085,168,8.411429702887661,0.0009887384342103407,73,15.980382628425,0.008571259508929433,95,0.004779998971569887
salt_conc_t0_t1,22.658385866399602,0.002184646372285603,113,11.032352127692,0.0012968200357956429,44,11.6260337387076,0.006235755084911458,69,0.0037662875603535506
t1_early_day,4.55619769712,0.00043929346199323327,16,2.93309428401,0.0003447764710876381,6,1.62310341311,0.0008705699285853741,10,0.0006076731998365062
t1_morning_short,4.17253157273,0.0004023016474941947,7,0.870759394928,0.00010235516566458226,5,3.301772177802,0.0017709429638414903,2,0.0009366490647530363
