variant,family,n_features,ph_mae,ph_rmse,ph_r2,ph_naive_mae,ec_mae,ec_rmse,ec_r2,ec_naive_mae,w52_ec_low_mae,w52_ec_high_mae,w52_ec_shock_mae,w52_ec_balanced_mae,w52_ph_mid_mae,w52_ph_acidic_mae,w52_ph_alkaline_mae,w52_ph_jump_mae,w52_ph_balanced_mae,w30_ec_mae,w30_ec_rmse,w30_ec_r2,w30_ec_naive_mae,w30_ec_low_mae,w30_ec_high_mae,w30_ec_shock_mae,w30_ec_balanced_mae,ho_ec_mae,ho_ec_rmse,ho_ec_r2,ho_ec_naive_mae,ho_ec_low_mae,ho_ec_high_mae,ho_ec_shock_mae,ho_ec_balanced_mae,ho_ph_mid_mae,ho_ph_acidic_mae,ho_ph_alkaline_mae,ho_ph_jump_mae,ho_ph_balanced_mae,aug17_drop_abs_err,aug17_spike_abs_err,sep21_0720_abs_err,score
t1morning_weight_strong,strict_combo,36,0.3044697423267455,0.3954326446104693,0.9381907623789614,0.8768421052631579,0.1482640322039929,0.2175530990077404,0.9704594910565514,0.1960771929824561,0.1125139431449202,0.4521397892061106,0.3466994314436585,0.3037843879315631,0.3347588081381156,0.126358362711606,0.3220124446494238,0.3454876852187364,0.2821543251794705,0.1861758760035506,0.2876987614427482,0.9407357239612542,0.2467346835443037,0.1363428066835851,0.4175436978462477,0.4222290743687032,0.3253718596328454,0.330383433603334,0.7371313454189949,0.6955649107252639,0.5569225,0.0963566350248781,1.266490627917157,1.2728012269764897,0.8785494966395083,0.425807715146802,1.0884852013781812,0.1975744042266158,0.4591313194366815,0.5427496600470701,0.5409403421191259,1.2300420132221632,0.4112450053169456,2.222338777074825
t1morning_weight_strong_gate2p5,strict_combo_short_gate,36,0.30446974232674556,0.3954326446104693,0.9381907623789614,0.8768421052631579,0.14826403220399295,0.21755309900774045,0.9704594910565514,0.19607719298245616,0.11251394314492026,0.4521397892061106,0.3466994314436585,0.30378438793156315,0.33475880813811565,0.12635836271160603,0.3220124446494238,0.3454876852187364,0.2821543251794705,0.18617587600355068,0.28769876144274825,0.9407357239612542,0.24673468354430375,0.13634280668358517,0.41754369784624773,0.4222290743687032,0.3253718596328454,0.34020822473116263,0.7697735345780462,0.6680054912139033,0.5569225,0.09635663502487818,1.3156145835563002,1.3219251826156329,0.9112988003989372,0.42580771514680205,0.8679686322665641,0.19757440422661587,0.4223785579180787,0.4784323273895152,0.5409403421191259,1.2300420132221632,0.41124500531694563,2.230526103014683
t1morning_weight_strong_gate4p0,strict_combo_short_gate,36,0.30446974232674556,0.3954326446104693,0.9381907623789614,0.8768421052631579,0.14826403220399295,0.21755309900774045,0.9704594910565514,0.19607719298245616,0.11251394314492026,0.4521397892061106,0.3466994314436585,0.30378438793156315,0.33475880813811565,0.12635836271160603,0.3220124446494238,0.3454876852187364,0.2821543251794705,0.18617587600355068,0.28769876144274825,0.9407357239612542,0.24673468354430375,0.13634280668358517,0.41754369784624773,0.4222290743687032,0.3253718596328454,0.34020822473116263,0.7697735345780462,0.6680054912139033,0.5569225,0.09635663502487818,1.3156145835563002,1.3219251826156329,0.9112988003989372,0.42580771514680205,0.8679686322665641,0.19757440422661587,0.4223785579180787,0.4784323273895152,0.5409403421191259,1.2300420132221632,0.41124500531694563,2.230526103014683
t1morning_weight_strong_gate3p0,strict_combo_short_gate,36,0.30446974232674556,0.3954326446104693,0.9381907623789614,0.8768421052631579,0.14826403220399295,0.21755309900774045,0.9704594910565514,0.19607719298245616,0.11251394314492026,0.4521397892061106,0.3466994314436585,0.30378438793156315,0.33475880813811565,0.12635836271160603,0.3220124446494238,0.3454876852187364,0.2821543251794705,0.18617587600355068,0.28769876144274825,0.9407357239612542,0.24673468354430375,0.13634280668358517,0.41754369784624773,0.4222290743687032,0.3253718596328454,0.34020822473116263,0.7697735345780462,0.6680054912139033,0.5569225,0.09635663502487818,1.3156145835563002,1.3219251826156329,0.9112988003989372,0.42580771514680205,0.8679686322665641,0.19757440422661587,0.4223785579180787,0.4784323273895152,0.5409403421191259,1.2300420132221632,0.41124500531694563,2.230526103014683
t1morning_weight_medium,strict_combo,36,0.2872917751668511,0.3824835030173983,0.9421725868792776,0.8768421052631579,0.1518881114299026,0.2276102193757526,0.9676651433571444,0.1960771929824561,0.1126022329806291,0.4858180782487273,0.4163881272275057,0.3382694794856207,0.3160855434249928,0.1398021089164931,0.2966921744176319,0.324109850612566,0.2691724193429209,0.1924772158406986,0.2977662855441258,0.9365154499521112,0.2467346835443037,0.1359258533375691,0.4550371131766569,0.4699680450316152,0.3536436705152804,0.3295467876805841,0.7376580662995234,0.6951296840602796,0.5569225,0.0966321953420832,1.2612051570345877,1.288279243861325,0.8820388654126653,0.4248397584166374,1.0900772487044477,0.1960537680611012,0.4688022624274117,0.5449432594023995,0.5666028336094631,1.2627959341364574,0.4246423210840824,2.2809580963544
t1morning_weight_medium_gate2p5,strict_combo_short_gate,36,0.28729177516685117,0.3824835030173983,0.9421725868792776,0.8768421052631579,0.15188811142990263,0.22761021937575265,0.9676651433571444,0.19607719298245616,0.11260223298062917,0.4858180782487273,0.4163881272275057,0.3382694794856207,0.3160855434249928,0.13980210891649314,0.2966921744176319,0.324109850612566,0.26917241934292097,0.19247721584069863,0.2977662855441258,0.9365154499521111,0.24673468354430375,0.13592585333756915,0.45503711317665696,0.4699680450316152,0.3536436705152804,0.3453573448716558,0.7905651142268507,0.6498289476605517,0.5569225,0.09663219534208323,1.340257942989946,1.3673320298166833,0.9347407227162375,0.42483975841663746,0.8710059009349771,0.1960537680611012,0.4322903711324999,0.4810474496363039,0.5666028336094631,1.2627959341364574,0.4246423210840824,2.2941335606802924
t1morning_weight_medium_gate3p0,strict_combo_short_gate,36,0.28729177516685117,0.3824835030173983,0.9421725868792776,0.8768421052631579,0.15188811142990263,0.22761021937575265,0.9676651433571444,0.19607719298245616,0.11260223298062917,0.4858180782487273,0.4163881272275057,0.3382694794856207,0.3160855434249928,0.13980210891649314,0.2966921744176319,0.324109850612566,0.26917241934292097,0.19247721584069863,0.2977662855441258,0.9365154499521111,0.24673468354430375,0.13592585333756915,0.45503711317665696,0.4699680450316152,0.3536436705152804,0.3453573448716558,0.7905651142268507,0.6498289476605517,0.5569225,0.09663219534208323,1.340257942989946,1.3673320298166833,0.9347407227162375,0.42483975841663746,0.8710059009349771,0.1960537680611012,0.4322903711324999,0.4810474496363039,0.5666028336094631,1.2627959341364574,0.4246423210840824,2.2941335606802924
t1morning_weight_medium_gate4p0,strict_combo_short_gate,36,0.28729177516685117,0.3824835030173983,0.9421725868792776,0.8768421052631579,0.15188811142990263,0.22761021937575265,0.9676651433571444,0.19607719298245616,0.11260223298062917,0.4858180782487273,0.4163881272275057,0.3382694794856207,0.3160855434249928,0.13980210891649314,0.2966921744176319,0.324109850612566,0.26917241934292097,0.19247721584069863,0.2977662855441258,0.9365154499521111,0.24673468354430375,0.13592585333756915,0.45503711317665696,0.4699680450316152,0.3536436705152804,0.3453573448716558,0.7905651142268507,0.6498289476605517,0.5569225,0.09663219534208323,1.340257942989946,1.3673320298166833,0.9347407227162375,0.42483975841663746,0.8710059009349771,0.1960537680611012,0.4322903711324999,0.4810474496363039,0.5666028336094631,1.2627959341364574,0.4246423210840824,2.2941335606802924
t1morning_weight_light,strict_combo,36,0.2705302500503824,0.3613463487235429,0.9483874056621524,0.8768421052631579,0.1359132614138196,0.2246809954190317,0.9684920531870722,0.1960771929824561,0.1105549230969575,0.3514591371071465,0.2280172657406976,0.2300104419816006,0.2854961491536192,0.1201191415729925,0.3000000922098044,0.3245284318122119,0.257535953687157,0.1822669514808517,0.3081819315447841,0.9319964876125052,0.2467346835443037,0.13668823556544,0.3938824182309773,0.3958515661032248,0.3088074066332141,0.3295931499904665,0.7403662652810732,0.6928870051283109,0.5569225,0.098118338302509,1.2554923967422968,1.258159690415496,0.8705901418201005,0.3909391292929647,1.0898392496861662,0.1721150100976227,0.4304279468681686,0.5208303339862306,0.6132323867134086,1.3879480481669797,0.4165660696326618,2.3693872207543007
union44_weight_strong,strict_combo,44,0.2878877685704211,0.4047605222583152,0.9352403275394152,0.8768421052631579,0.1494886542356339,0.2584892528273069,0.9582965093636974,0.1960771929824561,0.0960249470778516,0.6039301650767833,0.5361300049676111,0.4120283723740821,0.3052053077020564,0.1636740511497782,0.3053776441479011,0.3407133605304864,0.2787425908825555,0.1910536723605518,0.3190205669929747,0.9271290612714111,0.2467346835443037,0.1209318451723157,0.5166192985916479,0.4988910437975157,0.3788140625204931,0.3051490620774062,0.7261717881920463,0.7045502040787003,0.5569225,0.079494856662575,1.2077658837367309,1.2308342709188596,0.8393650037727219,0.3644063297286627,0.9150360732666328,0.2642576374113556,0.4576923429865251,0.5003480958482942,0.5499024841887035,1.3910292769388946,0.5944015326589023,2.522612481658116
