variant,family,n_features,ph_mae,ph_rmse,ph_r2,ph_naive_mae,ec_mae,ec_rmse,ec_r2,ec_naive_mae,w52_ec_low_mae,w52_ec_high_mae,w52_ec_shock_mae,w52_ec_balanced_mae,w52_ph_mid_mae,w52_ph_acidic_mae,w52_ph_alkaline_mae,w52_ph_jump_mae,w52_ph_balanced_mae,w30_ec_mae,w30_ec_rmse,w30_ec_r2,w30_ec_naive_mae,w30_ec_low_mae,w30_ec_high_mae,w30_ec_shock_mae,w30_ec_balanced_mae,ho_ec_mae,ho_ec_rmse,ho_ec_r2,ho_ec_naive_mae,ho_ec_low_mae,ho_ec_high_mae,ho_ec_shock_mae,ho_ec_balanced_mae,ho_ph_mid_mae,ho_ph_acidic_mae,ho_ph_alkaline_mae,ho_ph_jump_mae,ho_ph_balanced_mae,aug17_drop_abs_err,aug17_spike_abs_err,sep21_0720_abs_err,score,walkforward_score,params_variant,weight_strength,feature_count
t1_medium_smooth_blend099,,,0.28440777651080074,0.38306056738697825,0.9419979633323774,0.8768421052631579,0.12938384732513705,0.17786483711484397,0.9802545232993952,0.19607719298245616,,,,,,,,,,0.17786269097089769,0.283325257997699,0.9425238612043463,0.24673468354430375,0.13161241536169013,0.39259611344221856,0.43163638977200913,0.31861497285863927,0.3214312190204509,0.7334658207780044,0.6985851045645902,0.5569225,0.08658810697624666,1.2608036671972678,1.282730826015847,0.8767075333964538,,,,,,0.4063340610761692,1.454583673650511,0.12812755589165192,,1.5021018837348523,secondpass,,36
t1_strong_smooth,,,0.28766871220722395,0.3951160802266601,0.9382896857806905,0.8768421052631579,0.12747582623727988,0.17502031515782626,0.9808810363200642,0.19607719298245616,,,,,,,,,,0.17094100155070116,0.27915107368391384,0.9442049585921805,0.24673468354430375,0.12752087250983335,0.3725344578118728,0.4171444287331162,0.3057332530182741,0.3156112229903897,0.7335305247883499,0.6985319225015811,0.5569225,0.08453434091943564,1.2399187512742058,1.2628197216996013,0.8624242712977477,,,,,,0.33019801944740634,1.4803177723646885,0.45041745844179104,,1.764592287739096,secondpass,,36
t1_medium_smooth,strict_walkforward_optimized,36.0,0.282343798844562,0.3819308385301035,0.9423395800588036,0.8768421052631579,0.1352842246342075,0.1873272881139517,0.9780977103976328,0.1960771929824561,0.1110945839582856,0.3408961703795441,0.3433086378461869,0.2650997973946722,0.2959101535565606,0.1661739701444141,0.3023325852375653,0.3468893978479356,0.2778265266966189,0.1821199252318726,0.2876916611864451,0.9407386491483836,0.2467346835443037,0.1317060820638087,0.4161841970835978,0.4683289643252658,0.338739747824224,0.3224092749833482,0.7355077442606961,0.6969045276503949,0.5569225,0.0865881069762466,1.2656939470117543,1.2876211058303335,0.8799677199394448,0.4106118602305648,1.0864539811851603,0.2163847581855953,0.4654487055182792,0.5447248262798999,0.4063340610761692,1.454583673650511,0.4583607268709615,2.276243464462429,1.8146902526698936,smooth_more_trees,medium,36
t1_medium_smooth_eps135,,,0.28936286020797086,0.38928273306582095,0.9400983714589036,0.8768421052631579,0.13520788646197113,0.18744514195427558,0.9780701428077885,0.19607719298245616,,,,,,,,,,0.18206484579114504,0.2877470420941036,0.9407158312239804,0.24673468354430375,0.1314528498476937,0.417049112671455,0.46967438857304344,0.33939211703073074,0.3296930343011645,0.7782726192628865,0.6606339039585747,0.5569225,0.08658810697624666,1.302112743600836,1.3240399024194152,0.9042469176654993,,,,,,0.4063340610761692,1.454583673650511,0.4704695451009613,,1.8257999574188113,secondpass,,36
t1_strong_baseline,strict_walkforward_optimized,36.0,0.3044697423267455,0.3954326446104693,0.9381907623789614,0.8768421052631579,0.1482640322039929,0.2175530990077404,0.9704594910565514,0.1960771929824561,0.1125139431449202,0.4521397892061106,0.3466994314436585,0.3037843879315631,0.3347588081381156,0.126358362711606,0.3220124446494238,0.3454876852187364,0.2821543251794705,0.1861758760035506,0.2876987614427482,0.9407357239612542,0.2467346835443037,0.1363428066835851,0.4175436978462477,0.4222290743687032,0.3253718596328454,0.330383433603334,0.7371313454189949,0.6955649107252639,0.5569225,0.0963566350248781,1.266490627917157,1.2728012269764897,0.8785494966395083,0.425807715146802,1.0884852013781812,0.1975744042266158,0.4591313194366815,0.5427496600470701,0.5409403421191259,1.2300420132221632,0.4112450053169456,2.222338777074825,1.8402022832781308,baseline,strong,36
t1_medium_baseline,strict_walkforward_optimized,36.0,0.2872917751668511,0.3824835030173983,0.9421725868792776,0.8768421052631579,0.1518881114299026,0.2276102193757526,0.9676651433571444,0.1960771929824561,0.1126022329806291,0.4858180782487273,0.4163881272275057,0.3382694794856207,0.3160855434249928,0.1398021089164931,0.2966921744176319,0.324109850612566,0.2691724193429209,0.1924772158406986,0.2977662855441258,0.9365154499521112,0.2467346835443037,0.1359258533375691,0.4550371131766569,0.4699680450316152,0.3536436705152804,0.3295467876805841,0.7376580662995234,0.6951296840602796,0.5569225,0.0966321953420832,1.2612051570345877,1.288279243861325,0.8820388654126653,0.4248397584166374,1.0900772487044477,0.1960537680611012,0.4688022624274117,0.5449432594023995,0.5666028336094631,1.2627959341364574,0.4246423210840824,2.2809580963544,1.8651565161586368,baseline,medium,36
union44_light_smooth,strict_walkforward_optimized,44.0,0.2910110040716394,0.3940723767962595,0.9386152721266404,0.8768421052631579,0.1400196388482916,0.2250514815445637,0.9683880579080458,0.1960771929824561,0.1014632698090579,0.4677487756817779,0.6924455509493498,0.4205525321467285,0.3045999233774111,0.1924285153886602,0.3051061831627571,0.3459806397381928,0.2870288154167553,0.1754753338615463,0.2888290160832008,0.940269157480772,0.2467346835443037,0.1226341482792787,0.4208094097792179,0.5108531936072864,0.351432250555261,0.3105031956400284,0.7320422945106405,0.6997539542444866,0.5569225,0.080088805241301,1.232160757234938,1.2871052470304354,0.8664516031688914,0.3683415840137748,0.9209839407623392,0.1575197935849428,0.4144964412520424,0.4653354399032748,0.3502348617209656,1.4034079140717532,0.5696363917472613,2.2779940282871727,1.8766626064959944,smooth_more_trees,light,44
t1_light_smooth,strict_walkforward_optimized,36.0,0.2955442358724577,0.3903468270200967,0.9397704448776952,0.8768421052631579,0.1384828932829956,0.2018647086830728,0.9745663773322896,0.1960771929824561,0.10936231941517,0.3860077711595132,0.536526315890215,0.3439654688216327,0.2969267110095683,0.2212746853047839,0.3183916203961485,0.3491172668489665,0.2964275708898668,0.1862097509760694,0.2970322721882214,0.9368280513156952,0.2467346835443037,0.1342362436872456,0.4275153205313226,0.5049321854487832,0.3555612498891171,0.3183433736219593,0.7318147526219749,0.6999405771624378,0.5569225,0.0860276538608946,1.247606252666218,1.2927436197429625,0.8754591754233584,0.3780781732499597,1.0879125555277014,0.2044670749083164,0.4379014174958094,0.5270898052954467,0.4507513349528074,1.443148234957298,0.4688764497545792,2.3292442017553543,1.877501916100268,smooth_more_trees,light,36
t1_light_baseline,strict_walkforward_optimized,36.0,0.2705302500503824,0.3613463487235429,0.9483874056621524,0.8768421052631579,0.1359132614138196,0.2246809954190317,0.9684920531870722,0.1960771929824561,0.1105549230969575,0.3514591371071465,0.2280172657406976,0.2300104419816006,0.2854961491536192,0.1201191415729925,0.3000000922098044,0.3245284318122119,0.257535953687157,0.1822669514808517,0.3081819315447841,0.9319964876125052,0.2467346835443037,0.13668823556544,0.3938824182309773,0.3958515661032248,0.3088074066332141,0.3295931499904665,0.7403662652810732,0.6928870051283109,0.5569225,0.098118338302509,1.2554923967422968,1.258159690415496,0.8705901418201005,0.3909391292929647,1.0898392496861662,0.1721150100976227,0.4304279468681686,0.5208303339862306,0.6132323867134086,1.3879480481669797,0.4165660696326618,2.3693872207543007,1.9201951583472392,baseline,light,36
t1_medium_shallow,strict_walkforward_optimized,36.0,0.2775802029186893,0.3730291208916356,0.944996057189117,0.8768421052631579,0.1297947372086734,0.1808486912178426,0.9795864674589908,0.1960771929824561,0.1089059460747166,0.3073494618473062,0.2739467336863906,0.2300673805361378,0.2759408513102779,0.222864608358764,0.2980826009455182,0.3258687076780052,0.2806891920731413,0.1811883671612134,0.2901993088759384,0.9397010504269896,0.2467346835443037,0.1359888379638091,0.3910433241491617,0.4370065594824556,0.3213462405318088,0.3205850074258954,0.7349719727585377,0.6973459391034318,0.5569225,0.0927841552672494,1.2317884160604795,1.2385222582830775,0.8543649432036023,0.3407083549164233,1.0859941992906998,0.2135062865167856,0.4250684810802054,0.5163193304510285,0.5971637560615444,1.3700232271270696,0.4629016346901959,2.3759475069554945,1.9417916373073107,shallow_regular,medium,36
