,importance
photo_temp_interaction,0.26291529639190214
ph0,0.13025338067633288
ET0_per_hour,0.08167201506143576
soil_temp_mean,0.06750362020834592
transpiration_pull,0.0488734807807623
ec0,0.04764583268274884
ec0_x_p48_salt,0.03720438308104042
hist_salt_buildup,0.030030706606133058
temp_x_canopy,0.028092621666217253
log_ec_drive,0.021807205572664835
irr_to_et0,0.021732102971367257
ec_log_anchor,0.020324759026118046
hist_hrs_since_fert,0.01774931699880993
temp_trend,0.01519656685546561
prev_ec_slope,0.015034824369401152
soil_delta,0.015019779000243419
hour_sin_b,0.013952387396005232
hist_irr_prior,0.013155491720415607
hist48_irr_prevday,0.012088484813450812
hist_dark_recent_6h,0.01031056127015816
ET0_sum_t0_t1,0.009653417772075496
rad_t1_log,0.009551970281566827
stage_x_salt_conc,0.00874717032974898
irr_after_last_salt,0.007835951013933213
gap_hours,0.006944151315480434
hour_cos_b,0.006788327418765316
rad_morning,0.006571451726453075
irr_total_t0_t1,0.005812299219686923
hrs_since_fert,0.00579041023601576
fert_salt_total_t0_t1,0.005382894915402002
hist_irr_recent,0.004831780317109825
t1_morning,0.004545469930568705
salt_event_pos,0.0025965208195079994
salt_recency_pressure,0.002431055693794041
salt_conc_t0_t1,0.00174393315214094
t1_early_day,0.00021037870873186022
