,global_xgb_total_gain,global_xgb_gain_importance,global_xgb_split_count,ph_xgb_total_gain,ph_xgb_gain_importance,ph_xgb_split_count,ec_xgb_total_gain,ec_xgb_gain_importance,ec_xgb_split_count,mean_target_xgb_gain_importance
photo_temp_interaction,2754.9798845037303,0.2658710634862082,667,2620.8107615921963,0.30826776231143044,356,134.1691229115338,0.07212016484716224,311,0.19019396357929635
ph0,1338.7151502524257,0.12919354609619094,726,1308.8378165113793,0.1539494994592527,449,29.8773337410463,0.016060015805713437,277,0.08500475763248308
ET0_per_hour,832.7979372166612,0.08036968780873666,491,813.8241653845051,0.09572448268856952,317,18.97377183215613,0.010199004976799401,174,0.05296174383268446
soil_temp_mean,714.3095589213648,0.06893489246764423,612,571.6611486520973,0.06724052941094606,382,142.64841026926757,0.07667805110858944,230,0.07195929025976774
transpiration_pull,527.1785691590258,0.05087569880921138,811,439.0901695214358,0.05164712614698183,435,88.0883996375899,0.04735031253930602,376,0.049498719343143927
ec0,458.96723386370263,0.04429292106960232,555,293.0028367654506,0.034463888108317096,317,165.964397098252,0.08921113455722594,238,0.061837511332771516
ec0_x_p48_salt,391.42301886361946,0.03777452419294125,518,111.61199890311012,0.013128144028249107,266,279.8110199605093,0.15040731017456602,252,0.08176772710140756
hist_salt_buildup,318.927342500772,0.030778283428659136,613,230.26686140328167,0.027084691172491137,300,88.66048109749029,0.047657824493611826,313,0.03737125783305148
temp_x_canopy,305.78882885048523,0.02951034291973631,686,240.5075328723895,0.028289230212322658,312,65.28129597809574,0.0350907699566688,374,0.031690000084495726
log_ec_drive,230.69958987257843,0.022263808766902614,575,84.70970817460353,0.009963814468304064,211,145.9898816979749,0.0784741981284172,364,0.04421900629836063
irr_to_et0,213.3545225868612,0.020589912158280304,514,155.398705816059,0.0182784701627621,261,57.9558167708022,0.031153092221659524,253,0.024715781192210812
ec_log_anchor,206.444357127131,0.01992304230199637,155,153.5219693106651,0.018057722685895637,79,52.9223878164659,0.02844746429434148,76,0.02325259349011856
hist_hrs_since_fert,202.9681955854195,0.019587573149882694,402,178.6015627443166,0.02100766102588296,247,24.36663284110288,0.013097839049222472,155,0.017052750037552716
prev_ec_slope,161.22322155331642,0.015558948221059058,598,41.65806933539382,0.004899949284562076,342,119.5651522179226,0.06427006676952306,256,0.03458500802704256
soil_delta,161.02994699698783,0.01554029613865187,802,135.07146926604076,0.01588751854691847,429,25.958477730947088,0.01395350623534826,373,0.014920512391133364
temp_trend,150.2936803466764,0.014504185984728189,610,110.84798390179832,0.013038278251490898,362,39.44569644487809,0.021203314655276577,248,0.017120796453383737
hist_irr_prior,132.50904729396433,0.012787868805777793,321,119.9224918675576,0.01410564958011838,174,12.58655542640673,0.006765673297342274,147,0.010435661438730327
hist48_irr_prevday,119.9679707711834,0.011577584341949734,201,65.11348613951522,0.00765884701127002,106,54.85448463166819,0.02948602769692811,95,0.018572437354099067
hour_sin_b,116.6684112089059,0.011259158274742047,333,97.1920242488464,0.01143202258964632,154,19.47638696005949,0.010469176571369402,179,0.01095059958050786
