,importance
ph0,0.1725279420727564
photo_temp_interaction,0.141308630252675
ET0_per_hour,0.08395776487231564
soil_temp_mean,0.08167214805152681
transpiration_pull,0.060072805048843665
ec0,0.04788656274601323
temp_x_canopy,0.036502417007735787
hour_sin_b,0.032102423818703596
irr_to_et0,0.02928540963948693
hist_hrs_since_fert,0.02730556176234728
ec0_x_p48_salt,0.026647360206339423
soil_delta,0.02478130400073344
ec_log_anchor,0.022558675902160385
prev_ec_slope,0.020650253532767514
hist_salt_buildup,0.020536775881331657
temp_trend,0.014178859467119897
rad_t1_log,0.01375031883895173
gap_hours,0.012189082944724192
hist_dark_recent_6h,0.01191061653377926
fresh_irr_to_et0,0.011879274501074049
log_ec_drive,0.011529469931344374
hist_irr_recent,0.0113726700575771
rad_morning,0.010912930027181371
hour_cos_b,0.010036087622623242
hist48_irr_prevday,0.007630892253503224
hist_irr_prior,0.007337429993545645
fert_salt_total_t0_t1,0.006669917245814214
ET0_sum_t0_t1,0.006038739025684544
salt_event_pos,0.005971463317451734
irr_after_last_salt,0.00490105226524108
hrs_since_fert,0.004401185857307468
ec_flush_log,0.0038796201907224603
fresh_flush_log,0.0034420224374317504
salt_conc_t0_t1,0.0033381897366469675
stage_x_salt_conc,0.0031756586746916424
salt_recency_pressure,0.002750664147660874
irr_total_t0_t1,0.0023080352498123227
t1_morning,0.002100233148432035
t1_early_day,0.0004995517359418982
