,global_xgb_total_gain,global_xgb_gain_importance,global_xgb_split_count,ph_xgb_total_gain,ph_xgb_gain_importance,ph_xgb_split_count,ec_xgb_total_gain,ec_xgb_gain_importance,ec_xgb_split_count,mean_target_xgb_gain_importance
ph0,406.2782603013998,0.1725279420727564,323,399.0565821496041,0.1973655610305306,229,7.2216781517957,0.021690703469221365,94,0.10952813224987598
photo_temp_interaction,332.7613126018743,0.141308630252675,230,312.3802092017793,0.15449712647724298,121,20.381103400095,0.06121575358728426,109,0.10785644003226362
ET0_per_hour,197.708349391508,0.08395776487231564,186,194.87618943222898,0.0963819422589168,132,2.832159959279,0.00850654661740189,54,0.05244424443815934
soil_temp_mean,192.3260535470812,0.08167214805152681,175,184.3187530056096,0.09116044120721198,99,8.00730054147158,0.024050363085041177,76,0.057605402146126576
transpiration_pull,141.4627360267071,0.060072805048843665,251,127.79263687164901,0.06320373250299713,128,13.6700991550581,0.04105888699754493,123,0.05213130975027103
ec0,112.76590429659004,0.04788656274601323,252,80.34197530832111,0.039735565682470636,155,32.42392898826893,0.09738703583968973,97,0.06856130076108019
temp_x_canopy,85.95789354773116,0.036502417007735787,284,72.82095376126587,0.036015815893703146,170,13.1369397864653,0.03945751380936039,114,0.037736664851531765
hour_sin_b,75.59654826822766,0.032102423818703596,189,67.06138238186296,0.03316724482022795,91,8.5351658863647,0.02563583538484284,98,0.029401540102535394
irr_to_et0,68.96288877964534,0.02928540963948693,214,57.62128435760642,0.028498357434122608,118,11.341604422038921,0.034065126306201454,96,0.03128174187016203
hist_hrs_since_fert,64.30063441364527,0.02730556176234728,167,59.14999345339257,0.029254426978739707,100,5.1506409602527,0.015470230519410091,67,0.0223623287490749
ec0_x_p48_salt,62.75066529044216,0.026647360206339423,196,30.19663730173364,0.014934664728967735,89,32.55402798870852,0.0977777952699581,107,0.056356229999462916
soil_delta,58.35637379348269,0.02478130400073344,214,53.043952612886194,0.02623449890320159,121,5.3124211805965,0.01595614621835191,93,0.02109532256077675
ec_log_anchor,53.122407246751,0.022558675902160385,96,31.5956901432,0.015626608832432862,50,21.526717103551,0.0646566667115782,46,0.04014163777200553
prev_ec_slope,48.6283495837306,0.020650253532767514,305,18.1641841297722,0.008983649316402855,178,30.4641654539584,0.09150077937699304,127,0.05024221434669795
hist_salt_buildup,48.36112618643878,0.020536775881331657,207,42.78437089899798,0.021160310952228256,113,5.5767552874408,0.016750088098320005,94,0.01895519952527413
temp_trend,33.38915591383006,0.014178859467119897,224,27.84342530358463,0.013770812215279994,131,5.54573061024543,0.016656903791414032,93,0.015213858003347014
rad_t1_log,32.3800049392754,0.01375031883895173,252,21.6346998442424,0.010700098340653998,139,10.745305095033,0.03227410881565245,113,0.021487103578153224
gap_hours,28.7035210294437,0.012189082944724192,139,20.553246490568,0.010165232716519828,62,8.1502745388757,0.024479793269593347,77,0.017322512993056587
hist_dark_recent_6h,28.04777305243849,0.01191061653377926,122,27.31642499964,0.01351016819810576,102,0.73134805279849,0.002196643690372713,20,0.007853405944239236
fresh_irr_to_et0,27.973967114868028,0.011879274501074049,119,22.22383522833903,0.010991473150158023,57,5.750131886529,0.01727083415211487,62,0.014131153651136447
log_ec_drive,27.150228129009612,0.011529469931344374,172,9.544533506002,0.004720539127658268,67,17.60569462300761,0.0528796622350675,105,0.028800100681362885
