,importance
photo_temp_interaction,0.26345155339708565
ph0,0.1328259110382891
ET0_per_hour,0.08063992845124798
soil_temp_mean,0.06549552583549838
transpiration_pull,0.050058067767301304
ec0,0.04441865419333149
ec0_x_p48_salt,0.03714005333441432
hist_salt_buildup,0.02998971627690567
temp_x_canopy,0.028980807454195293
log_ec_drive,0.022909144813346112
ec_log_anchor,0.020645893075417306
irr_to_et0,0.019777016218580846
hist_hrs_since_fert,0.019564414744151385
hour_sin_b,0.01628005300502672
soil_delta,0.015791013378747956
prev_ec_slope,0.015782631086422583
temp_trend,0.015356954363447294
hist_irr_prior,0.013308745002878458
hist48_irr_prevday,0.011520958069733873
hist_dark_recent_6h,0.010048651304073944
gap_hours,0.009157347116554691
rad_t1_log,0.009095908116977015
ET0_sum_t0_t1,0.0090004538446955
irr_after_last_salt,0.007930907842911462
stage_x_salt_conc,0.0076264160150278665
hrs_since_fert,0.007224180730358212
rad_morning,0.006302563717006099
hour_cos_b,0.005866819283245049
irr_total_t0_t1,0.005533465672266658
hist_irr_recent,0.005463278360130572
fert_salt_total_t0_t1,0.004778844602879457
salt_event_pos,0.0026561028065059463
salt_recency_pressure,0.0023517775995727085
salt_conc_t0_t1,0.002184646372285603
t1_early_day,0.00043929346199323327
t1_morning_short,0.0004023016474941947
