,importance
ET0_per_hour,0.1554232424513039
ph0,0.123779500286048
photo_temp_interaction,0.08009930681000321
transpiration_pull,0.06511360156248223
temp_trend,0.04848986040807285
soil_temp_mean,0.0484006332597593
soil_delta,0.04813638004892435
hour_sin_b,0.03731791841312166
ec0,0.034482606242357196
ec_log_anchor,0.03385046548781003
ec0_x_p48_salt,0.03127389755718466
hist_salt_buildup,0.028436129902059685
temp_x_canopy,0.028391276521872927
irr_to_et0,0.026326245587401022
hist_dark_recent_6h,0.025700643011649683
hist_hrs_since_fert,0.018484686312996167
hist48_irr_prevday,0.017477739080493233
prev_ec_slope,0.01659522317003771
ET0_sum_t0_t1,0.014793671448996076
hrs_since_fert,0.013285321144412174
log_ec_drive,0.011886808308791406
hist_irr_recent,0.010697382097936083
salt_event_pos,0.009540917543841137
rad_t1_log,0.009419097954287093
rad_morning,0.009278729050573304
hist_irr_prior,0.008367379940654167
hour_cos_b,0.007804495794941427
gap_hours,0.00737466152824362
irr_after_last_salt,0.006609190594533327
stage_x_salt_conc,0.006264246100514473
irr_total_t0_t1,0.005546404755693513
salt_recency_pressure,0.004498672392828694
salt_conc_t0_t1,0.0034268097057731407
fert_salt_total_t0_t1,0.0033312379538844457
t1_early_day,9.561757051813153e-05
