,global_xgb_total_gain,global_xgb_gain_importance,global_xgb_split_count,ph_xgb_total_gain,ph_xgb_gain_importance,ph_xgb_split_count,ec_xgb_total_gain,ec_xgb_gain_importance,ec_xgb_split_count,mean_target_xgb_gain_importance
ET0_per_hour,311.60698647473134,0.1690738171678752,191,305.6633047870765,0.19297515084093947,131,5.9436816876548,0.02294222838727522,60,0.10795868961410734
ph0,213.69292468142658,0.11594694614007273,256,207.87969288542257,0.13124118748659386,179,5.813231796004,0.02243870020985547,77,0.07683994384822466
photo_temp_interaction,143.9013471812243,0.07807896202449942,160,123.1565572111198,0.07775272606380415,83,20.7447899701045,0.08007355278273359,77,0.07891313942326887
transpiration_pull,99.42539677955413,0.05394690134238357,217,89.722107825357,0.05664447455812938,116,9.70328895419713,0.037454070220027676,101,0.04704927238907853
soil_delta,94.7999138371725,0.05143717565824274,185,87.91650456561878,0.05550453870076635,119,6.88340927155372,0.02656951631832492,66,0.04103702750954563
soil_temp_mean,93.553424289733,0.050760846965392514,158,85.47669084601391,0.0539642052253676,96,8.0767334437191,0.031175670741893424,62,0.04256993798363051
temp_trend,91.2761159968054,0.04952520969580084,170,86.4066499325498,0.05455131853661435,107,4.8694660642556,0.01879582528826811,63,0.03667357191244123
ec0,79.33713994937457,0.04304727967166561,215,55.54056487707502,0.03506455867317997,126,23.79657507229955,0.09185324666318913,89,0.06345890266818455
hour_sin_b,65.965924964517,0.03579223579977384,136,62.102841936015196,0.039207536863483695,75,3.8630830285018,0.01491125160739639,61,0.027059394235440043
hist_salt_buildup,62.84520799671035,0.034098976171622296,151,56.5404475597649,0.035695817016898175,79,6.30476043694545,0.024335969096711898,72,0.030015893056805035
ec_log_anchor,62.301596631805,0.03380401985642478,112,41.261589262324996,0.026049778586869184,69,21.04000736948,0.08121307292467488,43,0.05363142575577203
temp_x_canopy,56.01748280760016,0.03039434305875169,205,47.181006803100104,0.029786898728317957,129,8.83647600450006,0.03410822807940581,76,0.03194756340386189
ec0_x_p48_salt,54.62640680422804,0.02963956367295692,177,27.68325170750186,0.017477334015426553,92,26.94315509672618,0.1039988428362099,85,0.060738088425818224
irr_to_et0,49.0092320079466,0.026591759144403777,170,38.491788336566,0.024301113493360338,100,10.5174436713806,0.04059665497570133,70,0.032448884234530836
hist_dark_recent_6h,46.2382375055511,0.025088254286661456,79,45.0244617965641,0.028425401972201107,72,1.213775708987,0.00468509603809119,7,0.01655524900514615
prev_ec_slope,29.0851942191605,0.015781240547060885,245,14.1039290433073,0.008904267512510411,142,14.9812651758532,0.05782671839722497,103,0.03336549295486769
hrs_since_fert,25.0658025889664,0.01360037196867093,140,20.386709755626402,0.01287079060073289,67,4.67909283334,0.018060996881901603,73,0.015465893741317247
hist_hrs_since_fert,23.1484921476278,0.012560064757718111,137,19.2272530144148,0.012138787982084526,76,3.921239133213,0.01513573042482194,61,0.013637259203453232
log_ec_drive,22.991170554482988,0.012474704148263094,149,11.039610425905,0.006969663854966924,79,11.95156012857799,0.046132252106232494,70,0.02655095798059971
hist48_irr_prevday,22.384773204064,0.01214568099022765,69,13.120190749703001,0.008283201644860587,33,9.264582454361,0.035760691394723536,36,0.02202194651979206
hist_irr_recent,20.053253983192,0.010880629590280732,177,15.747347107799,0.009941810599702143,94,4.305906875393,0.01662052312706929,83,0.013281166863385718
ET0_sum_t0_t1,19.10361665169818,0.010365368971842077,99,17.17960290025678,0.010846040100802645,68,1.9240137514414,0.007426569124236457,31,0.00913630461251955
rad_t1_log,19.0953666300479,0.010360892619537173,219,12.4002612628463,0.007828686826937681,108,6.6951053672016,0.025842675379175204,111,0.016835681103056443
hist_irr_prior,17.25601801777681,0.00936288646281602,93,12.30363632451681,0.007767684371761982,55,4.95238169326,0.019115874274310652,38,0.013441779323036317
stage_x_salt_conc,16.271449447124258,0.008828672617398134,67,9.92741925796,0.00626750152459608,41,6.34403018916426,0.024487547810287176,26,0.015377524667441628
rad_morning,15.7310802782956,0.00853547547478175,92,12.4038794705516,0.007830971118727926,46,3.327200807744,0.012842780759968378,46,0.010336875939348152
hour_cos_b,15.1768665977222,0.008234766483750187,167,11.9993708693012,0.007575591728659728,109,3.177495728421,0.012264928798666828,58,0.009920260263663279
gap_hours,14.499868431415,0.007867436259584972,115,9.810207562324,0.006193501982317246,55,4.689660869091,0.018101788819045193,60,0.01214764540068122
irr_after_last_salt,14.3427167645253,0.007782167849861781,54,12.837934599097,0.008105004189078585,22,1.5047821654283,0.005808362211600263,32,0.006956683200339424
salt_event_pos,12.674682517183,0.006877114594941337,91,9.369905645092,0.005915525111810701,43,3.304776872091,0.012756225813030146,48,0.009335875462420424
salt_recency_pressure,10.16321208637892,0.005514424055668954,66,6.726269283885,0.004246511796889286,25,3.43694280249392,0.013266377789475729,41,0.008756444793182508
salt_conc_t0_t1,8.71430861249942,0.004728268251500337,38,7.040930346295,0.0044451675237343466,20,1.67337826620442,0.006459132298639699,18,0.005452149911187023
irr_total_t0_t1,8.5437701353428,0.004635736336112091,89,4.956143524068,0.0031289740350501005,44,3.5876266112748,0.013848007583429163,45,0.008488490809239631
fert_salt_total_t0_t1,3.9796713621239,0.002159316887853309,30,3.3235688518338997,0.002098276732824266,19,0.65610251029,0.002532513419721341,11,0.0023153950762728037
t1_early_day,0.1446597763,7.849047560323322e-05,3,0.0,0.0,0,0.1446597763,0.0005583774166809814,3,0.0002791887083404907
